[5.269050598144531e-05]Start running EvoMol from [H][H]...
[0.0006732940673828125] Updated in round 1! max:(0.25, 'c1ccccc1'), min:(-99999, '')
[0.007012605667114258] Updated in round 2! max:(0.5, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.024505615234375] Updated in round 3! max:(0.6875, 'c1ccc(-c2cccc3ccccc23)cc1'), min:(-99999, '')
[0.05202460289001465] Updated in round 4! max:(0.6875, 'c1ccc(-c2cccc3ccccc23)cc1'), min:(-99999, '')
[0.05429339408874512] Updated in round 5! max:(0.75, 'C=Cc1ccc2ccccc2c1-c1ccccc1'), min:(-99999, '')
[0.08651280403137207] Updated in round 6! max:(0.75, 'C=Cc1ccc2ccccc2c1-c1ccccc1'), min:(-99999, '')
[0.09071731567382812] Updated in round 7! max:(0.75, 'C=Cc1ccc2ccccc2c1-c1ccccc1'), min:(-99999, '')
[0.09301233291625977] Updated in round 8! max:(0.75, 'C=Cc1ccc2ccccc2c1-c1ccccc1'), min:(-99999, '')
[0.09518313407897949] Updated in round 9! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.13001608848571777] Updated in round 10! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.1321420669555664] Updated in round 11! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.13416814804077148] Updated in round 12! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.13643598556518555] Updated in round 13! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.1383962631225586] Updated in round 14! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.14060258865356445] Updated in round 15! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.14276456832885742] Updated in round 16! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.14528822898864746] Updated in round 17! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.14761805534362793] Updated in round 18! max:(0.8125, 'C=Cc1cccc(-c2c(C=C)ccc3ccccc23)c1'), min:(-99999, '')
[0.1502852439880371] Updated in round 19! max:(0.875, 'C=Cc1ccc2ccc3ccc4cccc(c4)c1c2c3'), min:(-99999, '')
[0.1894383430480957] Updated in round 20! max:(0.875, 'C=Cc1ccc2ccc3ccc4cccc(c4)c1c2c3'), min:(-99999, '')
[0.19200348854064941] Updated in round 21! max:(0.875, 'C=Cc1ccc2ccc3ccc4cccc(c4)c1c2c3'), min:(-99999, '')
[0.19469046592712402] Updated in round 22! max:(0.9375, 'c1cc2ccc3ccc4ccc5ccc1cc5c4c3c2'), min:(-99999, '')
[0.23486328125] Updated in round 23! max:(0.9375, 'c1cc2ccc3ccc4ccc5ccc1cc5c4c3c2'), min:(-99999, '')
[0.2373368740081787] Updated in round 24! max:(0.9375, 'c1cc2ccc3ccc4ccc5ccc1cc5c4c3c2'), min:(-99999, '')
[0.24040961265563965] Updated in round 25! max:(0.9375, 'c1cc2ccc3ccc4ccc5ccc1cc5c4c3c2'), min:(-99999, '')
[0.24324774742126465] Updated in round 26! max:(0.9375, 'c1cc2ccc3ccc4ccc5ccc1cc5c4c3c2'), min:(-99999, '')
[0.24522614479064941] Updated in round 27! max:(0.9375, 'c1cc2ccc3ccc4ccc5ccc1cc5c4c3c2'), min:(-99999, '')
[0.24774885177612305] Updated in round 28! max:(0.9375, 'c1cc2ccc3ccc4ccc5ccc1cc5c4c3c2'), min:(-99999, '')
[0.25023341178894043] Updated in round 29! max:(0.9375, 'c1cc2ccc3ccc4ccc5ccc1cc5c4c3c2'), min:(-99999, '')
[0.25087857246398926] Reproduced in round 30!!
