[5.245208740234375e-05]Start running EvoMol from [H][H]...
[0.00042438507080078125] Updated in round 1! max:(0.0625, 'C=C'), min:(-99999, '')
[0.0010235309600830078] Updated in round 2! max:(0.125, 'C=CC=C'), min:(-99999, '')
[0.002808094024658203] Updated in round 3! max:(0.1875, 'C=CC=CC=C'), min:(-99999, '')
[0.0053141117095947266] Updated in round 4! max:(0.25, 'c1ccccc1'), min:(-99999, '')
[0.010433435440063477] Updated in round 5! max:(0.3125, 'C=Cc1ccccc1'), min:(-99999, '')
[0.015295028686523438] Updated in round 6! max:(0.375, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.022141218185424805] Updated in round 7! max:(0.4375, 'C=CC(=C)c1ccccc1C=C'), min:(-99999, '')
[0.03014373779296875] Updated in round 8! max:(0.5, 'C=c1ccc2ccccc2c1=C'), min:(-99999, '')
[0.03913712501525879] Updated in round 9! max:(0.5, 'C=c1ccc2ccccc2c1=C'), min:(-99999, '')
[0.04102206230163574] Updated in round 10! max:(0.5625, 'C=CC=c1ccc2ccccc2c1=C'), min:(-99999, '')
[0.05295443534851074] Updated in round 11! max:(0.625, 'C=CC=c1ccc2ccccc2c1=CC=C'), min:(-99999, '')
[0.06769704818725586] Updated in round 12! max:(0.625, 'C=CC=c1ccc2ccccc2c1=CC=C'), min:(-99999, '')
[0.0699002742767334] Updated in round 13! max:(0.625, 'C=CC=c1ccc2ccccc2c1=CC=C'), min:(-99999, '')
[0.07189822196960449] Updated in round 14! max:(0.625, 'C=CC=c1ccc2ccccc2c1=CC=C'), min:(-99999, '')
[0.07421112060546875] Updated in round 15! max:(0.6875, 'C=CC=c1ccc2ccc(C=C)cc2c1=CC=C'), min:(-99999, '')
[0.09237194061279297] Updated in round 16! max:(0.75, 'C=CC=c1ccc2ccc3cccccc1c2c3'), min:(-99999, '')
[0.1136176586151123] Updated in round 17! max:(0.75, 'C=CC=c1ccc2ccc3cccccc1c2c3'), min:(-99999, '')
[0.11574888229370117] Updated in round 18! max:(0.75, 'C=CC=c1ccc2ccc3cccccc1c2c3'), min:(-99999, '')
[0.11853337287902832] Updated in round 19! max:(0.75, 'C=CC=c1ccc2ccc3cccccc1c2c3'), min:(-99999, '')
[0.12119030952453613] Updated in round 20! max:(0.8125, 'C=CC=c1ccc2ccc3cccc4c3c2c1=C4'), min:(-99999, '')
[0.14191365242004395] Updated in round 21! max:(0.8125, 'C=CC=c1ccc2ccc3cccc4c3c2c1=C4'), min:(-99999, '')
[0.14408636093139648] Updated in round 22! max:(0.8125, 'C=CC=c1ccc2ccc3cccc4c3c2c1=C4'), min:(-99999, '')
[0.1465449333190918] Updated in round 23! max:(0.875, 'C=CC=c1ccc2ccc3ccc(C=C)c4c3c2c1=C4'), min:(-99999, '')
[0.171156644821167] Updated in round 24! max:(0.875, 'C=CC=c1ccc2ccc3ccc(C=C)c4c3c2c1=C4'), min:(-99999, '')
[0.173478364944458] Updated in round 25! max:(0.875, 'C=CC=c1ccc2ccc3ccc(C=C)c4c3c2c1=C4'), min:(-99999, '')
[0.17584228515625] Updated in round 26! max:(0.875, 'C=CC=c1ccc2ccc3ccc(C=C)c4c3c2c1=C4'), min:(-99999, '')
[0.17854046821594238] Updated in round 27! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.20635652542114258] Updated in round 28! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.20910382270812988] Updated in round 29! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.21171283721923828] Updated in round 30! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.2141435146331787] Updated in round 31! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.21646380424499512] Updated in round 32! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.21895885467529297] Updated in round 33! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.2221393585205078] Updated in round 34! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.22287774085998535] Reproduced in round 35!!
