[5.078315734863281e-05]Start running EvoMol from [H][H]...
[0.0007584095001220703] Updated in round 1! max:(0.18181818181818182, 'c1ccccc1'), min:(-99999, '')
[0.0074291229248046875] Updated in round 2! max:(0.36363636363636365, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.026191234588623047] Updated in round 3! max:(0.5454545454545454, 'c1ccc(-c2ccccc2-c2ccccc2)cc1'), min:(-99999, '')
[0.06176257133483887] Updated in round 4! max:(0.5454545454545454, 'c1ccc(-c2ccccc2-c2ccccc2)cc1'), min:(-99999, '')
[0.0653529167175293] Updated in round 5! max:(0.5909090909090909, 'C=Cc1cccc(-c2ccccc2-c2ccccc2)c1'), min:(-99999, '')
[0.10662531852722168] Updated in round 6! max:(0.6818181818181818, 'C=Cc1ccc2ccc3cccc(-c4ccccc4)c3c2c1'), min:(-99999, '')
[0.15582966804504395] Updated in round 7! max:(0.6818181818181818, 'C=Cc1ccc2ccc3cccc(-c4ccccc4)c3c2c1'), min:(-99999, '')
[0.16031765937805176] Updated in round 8! max:(0.7727272727272727, 'c1ccc(-c2cccc3ccc4ccc5ccccc5c4c23)cc1'), min:(-99999, '')
[0.22171735763549805] Updated in round 9! max:(0.7727272727272727, 'c1ccc(-c2cccc3ccc4ccc5ccccc5c4c23)cc1'), min:(-99999, '')
[0.2257530689239502] Updated in round 10! max:(0.8181818181818182, 'C=Cc1ccc2ccc3ccc4cccc(-c5ccccc5)c4c3c2c1'), min:(-99999, '')
[0.29680371284484863] Updated in round 11! max:(0.8181818181818182, 'C=Cc1ccc2ccc3ccc4cccc(-c5ccccc5)c4c3c2c1'), min:(-99999, '')
[0.3013617992401123] Updated in round 12! max:(0.8636363636363636, 'C=Cc1ccc2ccc3ccc4cccc(-c5ccccc5C=C)c4c3c2c1'), min:(-99999, '')
[0.37883496284484863] Updated in round 13! max:(0.8636363636363636, 'C=Cc1ccc2ccc3ccc4cccc(-c5ccccc5C=C)c4c3c2c1'), min:(-99999, '')
[0.3821840286254883] Updated in round 14! max:(0.8636363636363636, 'C=Cc1ccc2ccc3ccc4cccc(-c5ccccc5C=C)c4c3c2c1'), min:(-99999, '')
[0.3865022659301758] Updated in round 15! max:(0.9090909090909091, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1'), min:(-99999, '')
[0.4681999683380127] Updated in round 16! max:(0.9090909090909091, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1'), min:(-99999, '')
[0.47292113304138184] Updated in round 17! max:(0.9090909090909091, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1'), min:(-99999, '')
[0.477567195892334] Updated in round 18! max:(0.9090909090909091, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1'), min:(-99999, '')
[0.48061442375183105] Updated in round 19! max:(0.9090909090909091, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1'), min:(-99999, '')
[0.48459315299987793] Updated in round 20! max:(0.9090909090909091, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1'), min:(-99999, '')
[0.48835110664367676] Updated in round 21! max:(0.9090909090909091, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1'), min:(-99999, '')
[0.49166345596313477] Updated in round 22! max:(0.9090909090909091, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1'), min:(-99999, '')
[0.4956185817718506] Updated in round 23! max:(0.9090909090909091, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1'), min:(-99999, '')
[0.5006282329559326] Updated in round 24! max:(0.9545454545454546, 'C=Cc1ccc2ccc3ccc4ccc5ccc6cccc7c6c5c4c3c2c1-7'), min:(-99999, '')
[0.5860326290130615] Updated in round 25! max:(0.9545454545454546, 'C=Cc1ccc2ccc3ccc4ccc5ccc6cccc7c6c5c4c3c2c1-7'), min:(-99999, '')
[0.5913667678833008] Updated in round 26! max:(0.9545454545454546, 'C=Cc1ccc2ccc3ccc4ccc5ccc6cccc7c6c5c4c3c2c1-7'), min:(-99999, '')
[0.5959699153900146] Updated in round 27! max:(0.9545454545454546, 'C=Cc1ccc2ccc3ccc4ccc5ccc6cccc7c6c5c4c3c2c1-7'), min:(-99999, '')
[0.6003837585449219] Updated in round 28! max:(0.9545454545454546, 'C=Cc1ccc2ccc3ccc4ccc5ccc6cccc7c6c5c4c3c2c1-7'), min:(-99999, '')
[0.6044120788574219] Updated in round 29! max:(0.9545454545454546, 'C=Cc1ccc2ccc3ccc4ccc5ccc6cccc7c6c5c4c3c2c1-7'), min:(-99999, '')
[0.6102643013000488] Updated in round 30! max:(0.9545454545454546, 'C=Cc1ccc2ccc3ccc4ccc5ccc6cccc7c6c5c4c3c2c1-7'), min:(-99999, '')
[0.6130375862121582] Reproduced in round 31!!
