[5.4836273193359375e-05]Start running EvoMol from [H][H]...
[0.00046539306640625] Updated in round 1! max:(0.045454545454545456, 'C=C'), min:(-99999, '')
[0.0011188983917236328] Updated in round 2! max:(0.09090909090909091, 'C=CC=C'), min:(-99999, '')
[0.0030879974365234375] Updated in round 3! max:(0.13636363636363635, 'C=CC=CC=C'), min:(-99999, '')
[0.005838632583618164] Updated in round 4! max:(0.18181818181818182, 'c1ccccc1'), min:(-99999, '')
[0.011154890060424805] Updated in round 5! max:(0.22727272727272727, 'C=c1ccccc1=C'), min:(-99999, '')
[0.015429019927978516] Updated in round 6! max:(0.2727272727272727, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.02088451385498047] Updated in round 7! max:(0.2727272727272727, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.023786067962646484] Updated in round 8! max:(0.3181818181818182, 'C=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.03094768524169922] Updated in round 9! max:(0.36363636363636365, 'C=CC=c1ccc(C=C)c(C=C)c1=C'), min:(-99999, '')
[0.040891408920288086] Updated in round 10! max:(0.4090909090909091, 'C=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.053336381912231445] Updated in round 11! max:(0.45454545454545453, 'C=CC=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.06906867027282715] Updated in round 12! max:(0.45454545454545453, 'C=CC=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.07218408584594727] Updated in round 13! max:(0.5, 'C=CC=CC=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.09297347068786621] Updated in round 14! max:(0.5454545454545454, 'c1ccccc2c(ccc1)ccc1ccccc12'), min:(-99999, '')
[0.11810493469238281] Updated in round 15! max:(0.5909090909090909, 'C=Cc1cccccc2ccc3ccccc3c2cc1'), min:(-99999, '')
[0.1490035057067871] Updated in round 16! max:(0.5909090909090909, 'C=Cc1cccccc2ccc3ccccc3c2cc1'), min:(-99999, '')
[0.1526033878326416] Updated in round 17! max:(0.5909090909090909, 'C=Cc1cccccc2ccc3ccccc3c2cc1'), min:(-99999, '')
[0.15668678283691406] Updated in round 18! max:(0.6363636363636364, 'C=Cc1cccccc2ccc3ccccc3c2cc1C=C'), min:(-99999, '')
[0.1933917999267578] Updated in round 19! max:(0.6363636363636364, 'C=Cc1cccccc2ccc3ccccc3c2cc1C=C'), min:(-99999, '')
[0.19636797904968262] Updated in round 20! max:(0.6363636363636364, 'C=Cc1cccccc2ccc3ccccc3c2cc1C=C'), min:(-99999, '')
[0.2001326084136963] Updated in round 21! max:(0.6363636363636364, 'C=Cc1cccccc2ccc3ccccc3c2cc1C=C'), min:(-99999, '')
[0.20350146293640137] Updated in round 22! max:(0.6818181818181818, 'C=CC=Cc1cc2c(cccccc1C=C)ccc1ccccc12'), min:(-99999, '')
[0.24760079383850098] Updated in round 23! max:(0.7272727272727273, 'C=CC=Cc1cc2c(cccccc1C=C)ccc1cccc(C=C)c12'), min:(-99999, '')
[0.2975919246673584] Updated in round 24! max:(0.7727272727272727, 'C=Cc1ccc2cccccc3ccc4cccc(C=C)c4c3cc2c1'), min:(-99999, '')
[0.3513789176940918] Updated in round 25! max:(0.7727272727272727, 'C=Cc1ccc2cccccc3ccc4cccc(C=C)c4c3cc2c1'), min:(-99999, '')
[0.3559989929199219] Updated in round 26! max:(0.7727272727272727, 'C=Cc1ccc2cccccc3ccc4cccc(C=C)c4c3cc2c1'), min:(-99999, '')
[0.36017537117004395] Updated in round 27! max:(0.7727272727272727, 'C=Cc1ccc2cccccc3ccc4cccc(C=C)c4c3cc2c1'), min:(-99999, '')
