[5.602836608886719e-05]Start running EvoMol from [H][H]...
[0.0007855892181396484] Updated in round 1! max:(0.17391304347826086, 'c1ccccc1'), min:(-99999, '')
[0.006937265396118164] Updated in round 2! max:(0.30434782608695654, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.019348621368408203] Updated in round 3! max:(0.30434782608695654, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.020709991455078125] Updated in round 4! max:(0.43478260869565216, 'c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.04211139678955078] Updated in round 5! max:(0.43478260869565216, 'c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.043755292892456055] Updated in round 6! max:(0.43478260869565216, 'c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.04575657844543457] Updated in round 7! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.07070326805114746] Updated in round 8! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.07257580757141113] Updated in round 9! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.0744326114654541] Updated in round 10! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.07639670372009277] Updated in round 11! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.0787363052368164] Updated in round 12! max:(0.5217391304347826, 'C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.1093149185180664] Updated in round 13! max:(0.5217391304347826, 'C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.11150574684143066] Updated in round 14! max:(0.6521739130434783, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccccc1'), min:(-99999, '')
[0.16367268562316895] Updated in round 15! max:(0.6521739130434783, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccccc1'), min:(-99999, '')
[0.16596412658691406] Updated in round 16! max:(0.6521739130434783, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccccc1'), min:(-99999, '')
[0.1682138442993164] Updated in round 17! max:(0.6521739130434783, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccccc1'), min:(-99999, '')
[0.17081499099731445] Updated in round 18! max:(0.6956521739130435, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccccc1'), min:(-99999, '')
[0.228654146194458] Updated in round 19! max:(0.6956521739130435, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccccc1'), min:(-99999, '')
[0.23065638542175293] Updated in round 20! max:(0.6956521739130435, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccccc1'), min:(-99999, '')
[0.23302984237670898] Updated in round 21! max:(0.7391304347826086, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2ccccc21'), min:(-99999, '')
[0.29467177391052246] Updated in round 22! max:(0.7391304347826086, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2ccccc21'), min:(-99999, '')
[0.297243595123291] Updated in round 23! max:(0.7391304347826086, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2ccccc21'), min:(-99999, '')
[0.3001134395599365] Updated in round 24! max:(0.7391304347826086, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2ccccc21'), min:(-99999, '')
[0.30289220809936523] Updated in round 25! max:(0.7391304347826086, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2ccccc21'), min:(-99999, '')
[0.30550575256347656] Updated in round 26! max:(0.7391304347826086, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2ccccc21'), min:(-99999, '')
[0.30824756622314453] Updated in round 27! max:(0.7391304347826086, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2ccccc21'), min:(-99999, '')
[0.3110969066619873] Updated in round 28! max:(0.7391304347826086, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2ccccc21'), min:(-99999, '')
[0.314453125] Updated in round 29! max:(0.8695652173913043, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2cc3ccccc3cc21'), min:(-99999, '')
[0.4031198024749756] Updated in round 30! max:(0.8695652173913043, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2cc3ccccc3cc21'), min:(-99999, '')
[0.4065523147583008] Updated in round 31! max:(0.8695652173913043, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2cc3ccccc3cc21'), min:(-99999, '')
[0.4096972942352295] Updated in round 32! max:(0.8695652173913043, 'C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2cc3ccccc3cc21'), min:(-99999, '')
[0.4122936725616455] Reproduced in round 33!!
