[5.555152893066406e-05]Start running EvoMol from [H][H]...
[0.00047016143798828125] Updated in round 1! max:(0.043478260869565216, 'C=C'), min:(-99999, '')
[0.0011069774627685547] Updated in round 2! max:(0.08695652173913043, 'C=CC=C'), min:(-99999, '')
[0.0028166770935058594] Updated in round 3! max:(0.13043478260869565, 'C=CC=CC=C'), min:(-99999, '')
[0.004998207092285156] Updated in round 4! max:(0.17391304347826086, 'c1ccccc1'), min:(-99999, '')
[0.01148080825805664] Updated in round 5! max:(0.21739130434782608, 'C=Cc1ccccc1'), min:(-99999, '')
[0.01601409912109375] Updated in round 6! max:(0.2608695652173913, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.022272586822509766] Updated in round 7! max:(0.30434782608695654, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.03024125099182129] Updated in round 8! max:(0.34782608695652173, 'C=Cc1ccc2ccccc2c1'), min:(-99999, '')
[0.039971113204956055] Updated in round 9! max:(0.391304347826087, 'C=Cc1ccc2ccc(C=C)cc2c1'), min:(-99999, '')
[0.05178499221801758] Updated in round 10! max:(0.391304347826087, 'C=Cc1ccc2ccc(C=C)cc2c1'), min:(-99999, '')
[0.05365705490112305] Updated in round 11! max:(0.391304347826087, 'C=Cc1ccc2ccc(C=C)cc2c1'), min:(-99999, '')
[0.05548548698425293] Updated in round 12! max:(0.43478260869565216, 'C=Cc1ccc2cc(C=C)c(C=C)cc2c1'), min:(-99999, '')
[0.07001638412475586] Updated in round 13! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.08759403228759766] Updated in round 14! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.09002256393432617] Updated in round 15! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.09153342247009277] Updated in round 16! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.09395098686218262] Updated in round 17! max:(0.5217391304347826, 'C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.11612868309020996] Updated in round 18! max:(0.5652173913043478, 'C=CC(=C)C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.14123892784118652] Updated in round 19! max:(0.5652173913043478, 'C=CC(=C)C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.14330554008483887] Updated in round 20! max:(0.5652173913043478, 'C=CC(=C)C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.1454315185546875] Updated in round 21! max:(0.5652173913043478, 'C=CC(=C)C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.14747095108032227] Updated in round 22! max:(0.5652173913043478, 'C=CC(=C)C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.1506657600402832] Updated in round 23! max:(0.5652173913043478, 'C=CC(=C)C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.15278863906860352] Updated in round 24! max:(0.5652173913043478, 'C=CC(=C)C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.15526342391967773] Updated in round 25! max:(0.6086956521739131, 'C=CC=CC(=C)C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.18635106086730957] Updated in round 26! max:(0.6521739130434783, 'C=CC(=C)C=CC(=C)C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.22181129455566406] Updated in round 27! max:(0.6956521739130435, 'C=Cc1ccc(C=Cc2ccc3cc4ccccc4cc3c2)cc1'), min:(-99999, '')
[0.26357316970825195] Updated in round 28! max:(0.6956521739130435, 'C=Cc1ccc(C=Cc2ccc3cc4ccccc4cc3c2)cc1'), min:(-99999, '')
[0.2661020755767822] Updated in round 29! max:(0.6956521739130435, 'C=Cc1ccc(C=Cc2ccc3cc4ccccc4cc3c2)cc1'), min:(-99999, '')
