[6.151199340820312e-05]Start running EvoMol from [H][H]...
[0.0008068084716796875] Updated in round 1! max:(0.16, 'c1ccccc1'), min:(-99999, '')
[0.006887912750244141] Updated in round 2! max:(0.32, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.023871660232543945] Updated in round 3! max:(0.48, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.0585024356842041] Updated in round 4! max:(0.48, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.06050682067871094] Updated in round 5! max:(0.48, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.06297063827514648] Updated in round 6! max:(0.52, 'C=Cc1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.10440993309020996] Updated in round 7! max:(0.56, 'C=CC(=C)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.15096521377563477] Updated in round 8! max:(0.6, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.20306134223937988] Updated in round 9! max:(0.6, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.20528554916381836] Updated in round 10! max:(0.6, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.2073202133178711] Updated in round 11! max:(0.6, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.20931768417358398] Updated in round 12! max:(0.6, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.21139311790466309] Updated in round 13! max:(0.6, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.21481871604919434] Updated in round 14! max:(0.72, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.2954258918762207] Updated in round 15! max:(0.72, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.2987544536590576] Updated in round 16! max:(0.72, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.30115389823913574] Updated in round 17! max:(0.72, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.30431365966796875] Updated in round 18! max:(0.76, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.3991830348968506] Updated in round 19! max:(0.76, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.40343236923217773] Updated in round 20! max:(0.76, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.40634632110595703] Updated in round 21! max:(0.76, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.4094657897949219] Updated in round 22! max:(0.76, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.4131510257720947] Updated in round 23! max:(0.8, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5168571472167969] Updated in round 24! max:(0.84, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6361203193664551] Updated in round 25! max:(0.84, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.639167070388794] Updated in round 26! max:(0.84, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.643017053604126] Updated in round 27! max:(0.84, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6463282108306885] Updated in round 28! max:(0.84, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
