[5.91278076171875e-05]Start running EvoMol from [H][H]...
[0.0005130767822265625] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.001148223876953125] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.0028717517852783203] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.005221366882324219] Updated in round 4! max:(0.16, 'c1ccccc1'), min:(-99999, '')
[0.012360572814941406] Updated in round 5! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.016997098922729492] Updated in round 6! max:(0.24, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.023102283477783203] Updated in round 7! max:(0.28, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.030512571334838867] Updated in round 8! max:(0.28, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.032651424407958984] Updated in round 9! max:(0.32, 'C=CC=Cc1ccc(C(=C)C=C)cc1'), min:(-99999, '')
[0.0420682430267334] Updated in round 10! max:(0.32, 'C=CC=Cc1ccc(C(=C)C=C)cc1'), min:(-99999, '')
[0.04321646690368652] Updated in round 11! max:(0.32, 'C=CC=Cc1ccc(C(=C)C=C)cc1'), min:(-99999, '')
[0.04519057273864746] Updated in round 12! max:(0.36, 'C=CC=Cc1ccc(C(C=C)=CC=C)cc1'), min:(-99999, '')
[0.057801246643066406] Updated in round 13! max:(0.36, 'C=CC=Cc1ccc(C(C=C)=CC=C)cc1'), min:(-99999, '')
[0.05903816223144531] Updated in round 14! max:(0.36, 'C=CC=Cc1ccc(C(C=C)=CC=C)cc1'), min:(-99999, '')
[0.06036067008972168] Updated in round 15! max:(0.36, 'C=CC=Cc1ccc(C(C=C)=CC=C)cc1'), min:(-99999, '')
[0.06223869323730469] Updated in round 16! max:(0.4, 'C=CC=Cc1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.07863688468933105] Updated in round 17! max:(0.44, 'C=CC=C(C=C)c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.09789729118347168] Updated in round 18! max:(0.48, 'C=CC=C(C=C)c1ccc(-c2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.12058377265930176] Updated in round 19! max:(0.48, 'C=CC=C(C=C)c1ccc(-c2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.12246394157409668] Updated in round 20! max:(0.48, 'C=CC=C(C=C)c1ccc(-c2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.12480425834655762] Updated in round 21! max:(0.52, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.1538374423980713] Updated in round 22! max:(0.56, 'C=CC=CC=CC=C(C=C)c1ccc(-c2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.18904876708984375] Updated in round 23! max:(0.56, 'C=CC=CC=CC=C(C=C)c1ccc(-c2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.1911783218383789] Updated in round 24! max:(0.56, 'C=CC=CC=CC=C(C=C)c1ccc(-c2ccc(C=C)cc2)cc1'), min:(-99999, '')
