[5.9604644775390625e-05]Start running EvoMol from [H][H]...
[0.0018820762634277344] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.009303569793701172] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.02390766143798828] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.030225753784179688] Updated in round 4! max:(0.16, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.04250597953796387] Updated in round 5! max:(0.2, 'C=CC=CC=C(C=C)C=C'), min:(-99999, '')
[0.04784417152404785] Updated in round 6! max:(0.24, 'C=CC=CC=CC=C(C=C)C=C'), min:(-99999, '')
[0.05522489547729492] Updated in round 7! max:(0.24, 'C=CC=CC=CC=C(C=C)C=C'), min:(-99999, '')
[0.056552886962890625] Updated in round 8! max:(0.28, 'C=CC=C(C=C)C=CC=C(C=C)C=C'), min:(-99999, '')
[0.0675208568572998] Updated in round 9! max:(0.32, 'C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.0791623592376709] Updated in round 10! max:(0.32, 'C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.08059024810791016] Updated in round 11! max:(0.36, 'C=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.09425473213195801] Updated in round 12! max:(0.36, 'C=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.09585070610046387] Updated in round 13! max:(0.4, 'C=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.11368250846862793] Updated in round 14! max:(0.4, 'C=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.1151890754699707] Updated in round 15! max:(0.4, 'C=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.11667585372924805] Updated in round 16! max:(0.4, 'C=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.11885833740234375] Updated in round 17! max:(0.4, 'C=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.12073540687561035] Updated in round 18! max:(0.4, 'C=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.12241864204406738] Updated in round 19! max:(0.44, 'C=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.14254522323608398] Updated in round 20! max:(0.44, 'C=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.14411449432373047] Updated in round 21! max:(0.44, 'C=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.1456432342529297] Updated in round 22! max:(0.44, 'C=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.14780712127685547] Updated in round 23! max:(0.48, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.1733081340789795] Updated in round 24! max:(0.48, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.17562651634216309] Updated in round 25! max:(0.52, 'C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.20877933502197266] Updated in round 26! max:(0.56, 'C=CC=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.2485051155090332] Updated in round 27! max:(0.56, 'C=CC=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.2506420612335205] Updated in round 28! max:(0.56, 'C=CC=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.2533681392669678] Updated in round 29! max:(0.56, 'C=CC=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.25545716285705566] Updated in round 30! max:(0.56, 'C=CC=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.2589259147644043] Updated in round 31! max:(0.6, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.30420947074890137] Updated in round 32! max:(0.6, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.3075399398803711] Updated in round 33! max:(0.6, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.3098318576812744] Updated in round 34! max:(0.6, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.3122425079345703] Updated in round 35! max:(0.6, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.31454014778137207] Updated in round 36! max:(0.6, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.3166334629058838] Updated in round 37! max:(0.6, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.3198988437652588] Updated in round 38! max:(0.6, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.3240053653717041] Updated in round 39! max:(0.64, 'C=CC=c1ccc(=c2ccc(=C(C=C)C=CC=CC=CC(=C)C=C)cc2)cc1'), min:(-99999, '')
[0.3781588077545166] Updated in round 40! max:(0.64, 'C=CC=c1ccc(=c2ccc(=C(C=C)C=CC=CC=CC(=C)C=C)cc2)cc1'), min:(-99999, '')
[0.382765531539917] Updated in round 41! max:(0.68, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.4457578659057617] Updated in round 42! max:(0.68, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.45050978660583496] Updated in round 43! max:(0.68, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.466749906539917] Updated in round 44! max:(0.68, 'C=CC(=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.4709043502807617] Updated in round 45! max:(0.72, 'C=CC=C(C=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.5458316802978516] Updated in round 46! max:(0.72, 'C=CC=C(C=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.550990104675293] Updated in round 47! max:(0.76, 'C=CC=CC=C(C=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.6402287483215332] Updated in round 48! max:(0.76, 'C=CC=CC=C(C=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.6444392204284668] Updated in round 49! max:(0.76, 'C=CC=CC=C(C=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.6478197574615479] Updated in round 50! max:(0.76, 'C=CC=CC=C(C=C)C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.6549766063690186] Updated in round 51! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7510733604431152] Updated in round 52! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7557954788208008] Updated in round 53! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7599565982818604] Updated in round 54! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7635059356689453] Updated in round 55! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7675116062164307] Updated in round 56! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7738094329833984] Updated in round 57! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7775554656982422] Updated in round 58! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7819714546203613] Updated in round 59! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7848968505859375] Updated in round 60! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7887439727783203] Updated in round 61! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7942917346954346] Updated in round 62! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7990856170654297] Updated in round 63! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.802459716796875] Updated in round 64! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.8061730861663818] Updated in round 65! max:(0.8, 'C=CC=CC=C(C=C)C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.811652660369873] Updated in round 66! max:(0.84, 'C=CC=CC=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9122624397277832] Updated in round 67! max:(0.84, 'C=CC=CC=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9164502620697021] Updated in round 68! max:(0.84, 'C=CC=CC=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9199552536010742] Updated in round 69! max:(0.84, 'C=CC=CC=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9241502285003662] Updated in round 70! max:(0.88, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0339221954345703] Updated in round 71! max:(0.88, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0375218391418457] Updated in round 72! max:(0.88, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0412747859954834] Updated in round 73! max:(0.88, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.044909954071045] Updated in round 74! max:(0.88, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0486485958099365] Updated in round 75! max:(0.88, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=c4ccc(=C(C=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0528125762939453] Updated in round 76! max:(0.92, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=C(C=C)C=CC=CC=C1'), min:(-99999, '')
[1.1932871341705322] Updated in round 77! max:(0.92, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=C(C=C)C=CC=CC=C1'), min:(-99999, '')
[1.198453664779663] Updated in round 78! max:(0.92, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=C(C=C)C=CC=CC=C1'), min:(-99999, '')
[1.2020723819732666] Updated in round 79! max:(0.92, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=C(C=C)C=CC=CC=C1'), min:(-99999, '')
[1.2057442665100098] Updated in round 80! max:(0.92, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=C(C=C)C=CC=CC=C1'), min:(-99999, '')
[1.2116224765777588] Updated in round 81! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.388854742050171] Updated in round 82! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.3940186500549316] Updated in round 83! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.3980181217193604] Updated in round 84! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.4026157855987549] Updated in round 85! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.4079840183258057] Updated in round 86! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.4140691757202148] Updated in round 87! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.4186499118804932] Updated in round 88! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.4241514205932617] Updated in round 89! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.429480791091919] Updated in round 90! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.4360265731811523] Updated in round 91! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.4423887729644775] Updated in round 92! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.4478754997253418] Updated in round 93! max:(0.96, 'C=CC1=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=c2ccc(cc2)=CC=C1'), min:(-99999, '')
[1.4518089294433594] Reproduced in round 94!!
