[5.793571472167969e-05]Start running EvoMol from [H][H]...
[0.0005238056182861328] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.0012259483337402344] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.003109455108642578] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.006661653518676758] Updated in round 4! max:(0.16, 'C=CC=CC(=C)C=C'), min:(-99999, '')
[0.010659217834472656] Updated in round 5! max:(0.16, 'C=CC=CC(=C)C=C'), min:(-99999, '')
[0.015167713165283203] Updated in round 6! max:(0.16, 'C=CC=CC(=C)C=C'), min:(-99999, '')
[0.02052474021911621] Updated in round 7! max:(0.2, 'C=c1ccc(=C)cc1'), min:(-99999, '')
[0.026787757873535156] Updated in round 8! max:(0.24, 'C=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.032000064849853516] Updated in round 9! max:(0.28, 'C=CC(C=C)=c1ccc(=C)cc1'), min:(-99999, '')
[0.038735389709472656] Updated in round 10! max:(0.32, 'C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.047653913497924805] Updated in round 11! max:(0.32, 'C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.05001974105834961] Updated in round 12! max:(0.36, 'C=CC=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.06211686134338379] Updated in round 13! max:(0.36, 'C=CC=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.06385660171508789] Updated in round 14! max:(0.4, 'C=CC(=C)C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.07855439186096191] Updated in round 15! max:(0.4, 'C=CC(=C)C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.0850675106048584] Updated in round 16! max:(0.4, 'C=CC(=C)C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.08732390403747559] Updated in round 17! max:(0.44, 'C=CC=CC(C=C)=c1ccc(=CC=CC(=C)C=C)cc1'), min:(-99999, '')
[0.11118865013122559] Updated in round 18! max:(0.48, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
