[5.602836608886719e-05]Start running EvoMol from [H][H]...
[0.0008287429809570312] Updated in round 1! max:(0.16, 'c1ccccc1'), min:(-99999, '')
[0.00716400146484375] Updated in round 2! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.014594316482543945] Updated in round 3! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.018106460571289062] Updated in round 4! max:(0.24, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.028919696807861328] Updated in round 5! max:(0.28, 'C=CC=CC=Cc1ccccc1'), min:(-99999, '')
[0.043978214263916016] Updated in round 6! max:(0.32, 'C=CC=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.06920480728149414] Updated in round 7! max:(0.36, 'C=CC=CC(C=C)=C(C=C)c1ccccc1'), min:(-99999, '')
[0.08684229850769043] Updated in round 8! max:(0.36, 'C=CC=CC(C=C)=C(C=C)c1ccccc1'), min:(-99999, '')
[0.08874678611755371] Updated in round 9! max:(0.36, 'C=CC=CC(C=C)=C(C=C)c1ccccc1'), min:(-99999, '')
[0.09035944938659668] Updated in round 10! max:(0.36, 'C=CC=CC(C=C)=C(C=C)c1ccccc1'), min:(-99999, '')
[0.09186363220214844] Updated in round 11! max:(0.36, 'C=CC=CC(C=C)=C(C=C)c1ccccc1'), min:(-99999, '')
[0.09367918968200684] Updated in round 12! max:(0.36, 'C=CC=CC(C=C)=C(C=C)c1ccccc1'), min:(-99999, '')
[0.09533953666687012] Updated in round 13! max:(0.4, 'C=CC=CC(C=C)=C(C=CC=C)c1ccccc1'), min:(-99999, '')
[0.1182870864868164] Updated in round 14! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.1463639736175537] Updated in round 15! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.1479952335357666] Updated in round 16! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.14998126029968262] Updated in round 17! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.1515665054321289] Updated in round 18! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.1537778377532959] Updated in round 19! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.1553795337677002] Updated in round 20! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.15734148025512695] Updated in round 21! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.15905404090881348] Updated in round 22! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.16068100929260254] Updated in round 23! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.1625080108642578] Updated in round 24! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.16418075561523438] Updated in round 25! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.16606640815734863] Updated in round 26! max:(0.44, 'C=CC=CC=CC(=C(C=C)C=CC=C)c1ccccc1'), min:(-99999, '')
[0.16844677925109863] Updated in round 27! max:(0.48, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=C)cc1'), min:(-99999, '')
[0.19952011108398438] Updated in round 28! max:(0.48, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=C)cc1'), min:(-99999, '')
[0.2016310691833496] Updated in round 29! max:(0.52, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=CC=C)cc1'), min:(-99999, '')
[0.24004173278808594] Updated in round 30! max:(0.52, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=CC=C)cc1'), min:(-99999, '')
[0.24229717254638672] Updated in round 31! max:(0.52, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=CC=C)cc1'), min:(-99999, '')
[0.24442458152770996] Updated in round 32! max:(0.56, 'C=CC=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.28973937034606934] Updated in round 33! max:(0.6, 'C=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.34125399589538574] Updated in round 34! max:(0.6, 'C=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.34324049949645996] Updated in round 35! max:(0.6, 'C=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.3453371524810791] Updated in round 36! max:(0.64, 'C=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.40584564208984375] Updated in round 37! max:(0.64, 'C=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.4080336093902588] Updated in round 38! max:(0.64, 'C=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.41044068336486816] Updated in round 39! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.4743211269378662] Updated in round 40! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.47672438621520996] Updated in round 41! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.4811999797821045] Updated in round 42! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.4836466312408447] Updated in round 43! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.4857065677642822] Updated in round 44! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.48873138427734375] Updated in round 45! max:(0.72, 'C=CC=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5641357898712158] Updated in round 46! max:(0.72, 'C=CC=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.567589282989502] Updated in round 47! max:(0.76, 'C=CC(C=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.653944730758667] Updated in round 48! max:(0.88, 'C=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.7810592651367188] Updated in round 49! max:(0.92, 'C=CC(=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.9208488464355469] Updated in round 50! max:(0.92, 'C=CC(=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.9242310523986816] Updated in round 51! max:(0.92, 'C=CC(=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.9277186393737793] Updated in round 52! max:(0.92, 'C=CC(=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.9307785034179688] Updated in round 53! max:(0.92, 'C=CC(=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.9346380233764648] Updated in round 54! max:(0.92, 'C=CC(=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.9381639957427979] Reproduced in round 55!!
