[6.413459777832031e-05]Start running EvoMol from [H][H]...
[0.0005984306335449219] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.001298666000366211] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.0032444000244140625] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.0060160160064697266] Updated in round 4! max:(0.16, 'c1ccccc1'), min:(-99999, '')
[0.011609554290771484] Updated in round 5! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.01699066162109375] Updated in round 6! max:(0.24, 'C=CC(=C)c1ccccc1'), min:(-99999, '')
[0.02417922019958496] Updated in round 7! max:(0.28, 'C=CC=CC(=C)c1ccccc1'), min:(-99999, '')
[0.032482147216796875] Updated in round 8! max:(0.28, 'C=CC=CC(=C)c1ccccc1'), min:(-99999, '')
[0.036684274673461914] Updated in round 9! max:(0.32, 'C=CC=CC=CC(=C)c1ccccc1'), min:(-99999, '')
[0.04725074768066406] Updated in round 10! max:(0.32, 'C=CC=CC=CC(=C)c1ccccc1'), min:(-99999, '')
[0.05013227462768555] Updated in round 11! max:(0.36, 'C=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.0625908374786377] Updated in round 12! max:(0.36, 'C=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.0642540454864502] Updated in round 13! max:(0.36, 'C=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.0672461986541748] Updated in round 14! max:(0.4, 'C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.08465695381164551] Updated in round 15! max:(0.44, 'C=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.10761857032775879] Updated in round 16! max:(0.44, 'C=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.11057209968566895] Updated in round 17! max:(0.44, 'C=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.11245441436767578] Updated in round 18! max:(0.48, 'C=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.13695693016052246] Updated in round 19! max:(0.48, 'C=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.13890385627746582] Updated in round 20! max:(0.52, 'C=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.16890573501586914] Updated in round 21! max:(0.52, 'C=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.17095017433166504] Updated in round 22! max:(0.52, 'C=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.17304229736328125] Updated in round 23! max:(0.56, 'C=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.20825886726379395] Updated in round 24! max:(0.56, 'C=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.2109522819519043] Updated in round 25! max:(0.56, 'C=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.2128610610961914] Updated in round 26! max:(0.56, 'C=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.21498489379882812] Updated in round 27! max:(0.6, 'C=CC=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.2578403949737549] Updated in round 28! max:(0.6, 'C=CC=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.2604198455810547] Updated in round 29! max:(0.64, 'C=CC=CC=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.3127462863922119] Updated in round 30! max:(0.64, 'C=CC=CC=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.3150954246520996] Updated in round 31! max:(0.64, 'C=CC=CC=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.3180375099182129] Updated in round 32! max:(0.68, 'C=CC(C=C)=CC=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.3777313232421875] Updated in round 33! max:(0.68, 'C=CC(C=C)=CC=CC(C=C)=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.38184022903442383] Updated in round 34! max:(0.72, 'C=CC(C=C)=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.44505882263183594] Updated in round 35! max:(0.72, 'C=CC(C=C)=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.44834256172180176] Updated in round 36! max:(0.76, 'C=CC(C=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5163397789001465] Updated in round 37! max:(0.76, 'C=CC(C=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.518824577331543] Updated in round 38! max:(0.76, 'C=CC(C=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5226950645446777] Updated in round 39! max:(0.76, 'C=CC(C=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5257871150970459] Updated in round 40! max:(0.76, 'C=CC(C=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5282247066497803] Updated in round 41! max:(0.76, 'C=CC(C=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5315475463867188] Updated in round 42! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.6118636131286621] Updated in round 43! max:(0.84, 'C=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.7077035903930664] Updated in round 44! max:(0.84, 'C=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.7106785774230957] Updated in round 45! max:(0.84, 'C=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.7147140502929688] Updated in round 46! max:(0.84, 'C=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.7197208404541016] Updated in round 47! max:(0.88, 'C=CC=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8301467895507812] Updated in round 48! max:(0.88, 'C=CC=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8333485126495361] Updated in round 49! max:(0.88, 'C=CC=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8365840911865234] Updated in round 50! max:(0.88, 'C=CC=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8403594493865967] Updated in round 51! max:(0.88, 'C=CC=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.843639612197876] Updated in round 52! max:(0.88, 'C=CC=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8465864658355713] Updated in round 53! max:(0.88, 'C=CC=CC=CC(C=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8508446216583252] Updated in round 54! max:(0.92, 'C=CC=CC=CC(C(C=C)=CC=C)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.9736006259918213] Updated in round 55! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.106544017791748] Updated in round 56! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1099762916564941] Updated in round 57! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1137604713439941] Updated in round 58! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1177458763122559] Updated in round 59! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1222655773162842] Updated in round 60! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.12738037109375] Updated in round 61! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1306607723236084] Updated in round 62! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1338391304016113] Updated in round 63! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1374015808105469] Updated in round 64! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1405651569366455] Updated in round 65! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1441469192504883] Updated in round 66! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1471295356750488] Updated in round 67! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1498703956604004] Updated in round 68! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1528143882751465] Updated in round 69! max:(0.96, 'C=CC=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[1.1557044982910156] Reproduced in round 70!!
