[6.198883056640625e-05]Start running EvoMol from [H][H]...
[0.0009298324584960938] Updated in round 1! max:(0.14285714285714285, 'c1ccccc1'), min:(-99999, '')
[0.007391929626464844] Updated in round 2! max:(0.17857142857142858, 'C=Cc1ccccc1'), min:(-99999, '')
[0.015135765075683594] Updated in round 3! max:(0.17857142857142858, 'C=Cc1ccccc1'), min:(-99999, '')
[0.016902685165405273] Updated in round 4! max:(0.21428571428571427, 'C=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.025371074676513672] Updated in round 5! max:(0.21428571428571427, 'C=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.027293920516967773] Updated in round 6! max:(0.25, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.0400693416595459] Updated in round 7! max:(0.2857142857142857, 'C=CC=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.05678510665893555] Updated in round 8! max:(0.32142857142857145, 'C=CC=CC=Cc1ccc(C=CC=C)cc1'), min:(-99999, '')
[0.07692813873291016] Updated in round 9! max:(0.4642857142857143, 'C=CC=Cc1ccc(C=CC=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.12429141998291016] Updated in round 10! max:(0.4642857142857143, 'C=CC=Cc1ccc(C=CC=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.12633919715881348] Updated in round 11! max:(0.4642857142857143, 'C=CC=Cc1ccc(C=CC=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.1283855438232422] Updated in round 12! max:(0.4642857142857143, 'C=CC=Cc1ccc(C=CC=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.13019108772277832] Updated in round 13! max:(0.4642857142857143, 'C=CC=Cc1ccc(C=CC=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.1329951286315918] Updated in round 14! max:(0.4642857142857143, 'C=CC=Cc1ccc(C=CC=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.13478875160217285] Updated in round 15! max:(0.4642857142857143, 'C=CC=Cc1ccc(C=CC=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.1377713680267334] Updated in round 16! max:(0.5, 'C=CC=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.19106078147888184] Updated in round 17! max:(0.5, 'C=CC=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.19417500495910645] Updated in round 18! max:(0.5357142857142857, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.25229573249816895] Updated in round 19! max:(0.5714285714285714, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3157041072845459] Updated in round 20! max:(0.5714285714285714, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3182196617126465] Updated in round 21! max:(0.5714285714285714, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3215367794036865] Updated in round 22! max:(0.5714285714285714, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3240025043487549] Updated in round 23! max:(0.5714285714285714, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3264913558959961] Updated in round 24! max:(0.5714285714285714, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.32917022705078125] Updated in round 25! max:(0.6071428571428571, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4047374725341797] Updated in round 26! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.48918962478637695] Updated in round 27! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.49195027351379395] Updated in round 28! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4947328567504883] Updated in round 29! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
