[6.008148193359375e-05]Start running EvoMol from [H][H]...
[0.0005590915679931641] Updated in round 1! max:(0.03571428571428571, 'C=C'), min:(-99999, '')
[0.0013091564178466797] Updated in round 2! max:(0.07142857142857142, 'C=CC=C'), min:(-99999, '')
[0.0032219886779785156] Updated in round 3! max:(0.10714285714285714, 'C=CC=CC=C'), min:(-99999, '')
[0.005904436111450195] Updated in round 4! max:(0.14285714285714285, 'c1ccccc1'), min:(-99999, '')
[0.010712385177612305] Updated in round 5! max:(0.17857142857142858, 'C=Cc1ccccc1'), min:(-99999, '')
[0.014916181564331055] Updated in round 6! max:(0.21428571428571427, 'C=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.020705461502075195] Updated in round 7! max:(0.21428571428571427, 'C=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.021922588348388672] Updated in round 8! max:(0.25, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.030545949935913086] Updated in round 9! max:(0.2857142857142857, 'C=CC=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.0421445369720459] Updated in round 10! max:(0.2857142857142857, 'C=CC=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.04433774948120117] Updated in round 11! max:(0.32142857142857145, 'C=CC=CC=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.057379722595214844] Updated in round 12! max:(0.32142857142857145, 'C=CC=CC=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.05922651290893555] Updated in round 13! max:(0.35714285714285715, 'C=CC=C(C=C)C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.07544875144958496] Updated in round 14! max:(0.35714285714285715, 'C=CC=C(C=C)C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.07717466354370117] Updated in round 15! max:(0.39285714285714285, 'C=CC(=C)C=C(C=C)C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.09666585922241211] Updated in round 16! max:(0.39285714285714285, 'C=CC(=C)C=C(C=C)C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.09804463386535645] Updated in round 17! max:(0.39285714285714285, 'C=CC(=C)C=C(C=C)C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.09996294975280762] Updated in round 18! max:(0.42857142857142855, 'C=CC=CC(=C)C=C(C=C)C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.12505817413330078] Updated in round 19! max:(0.4642857142857143, 'C=CC(C=CC=Cc1ccc(C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.1551532745361328] Updated in round 20! max:(0.4642857142857143, 'C=CC(C=CC=Cc1ccc(C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.15684986114501953] Updated in round 21! max:(0.4642857142857143, 'C=CC(C=CC=Cc1ccc(C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.15848684310913086] Updated in round 22! max:(0.4642857142857143, 'C=CC(C=CC=Cc1ccc(C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.16013836860656738] Updated in round 23! max:(0.4642857142857143, 'C=CC(C=CC=Cc1ccc(C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.16179585456848145] Updated in round 24! max:(0.4642857142857143, 'C=CC(C=CC=Cc1ccc(C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.1637253761291504] Updated in round 25! max:(0.4642857142857143, 'C=CC(C=CC=Cc1ccc(C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.16541719436645508] Updated in round 26! max:(0.4642857142857143, 'C=CC(C=CC=Cc1ccc(C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.16741347312927246] Updated in round 27! max:(0.5, 'C=Cc1ccc(C=c2ccc(=Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.19995474815368652] Updated in round 28! max:(0.5, 'C=Cc1ccc(C=c2ccc(=Cc3ccccc3)cc2)cc1'), min:(-99999, '')
