[6.198883056640625e-05]Start running EvoMol from [H][H]...
[0.0009272098541259766] Updated in round 1! max:(0.03225806451612903, 'C=C'), min:(-99999, '')
[0.001941680908203125] Updated in round 2! max:(0.06451612903225806, 'C=CC=C'), min:(-99999, '')
[0.004998683929443359] Updated in round 3! max:(0.0967741935483871, 'C=CC=CC=C'), min:(-99999, '')
[0.007738351821899414] Updated in round 4! max:(0.12903225806451613, 'c1ccccc1'), min:(-99999, '')
[0.012452840805053711] Updated in round 5! max:(0.16129032258064516, 'C=CC#CC(C=C)=CC=C'), min:(-99999, '')
[0.015752315521240234] Updated in round 6! max:(0.16129032258064516, 'C=CC#CC(C=C)=CC=C'), min:(-99999, '')
[0.016564369201660156] Updated in round 7! max:(0.16129032258064516, 'C=CC#CC(C=C)=CC=C'), min:(-99999, '')
[0.018388748168945312] Updated in round 8! max:(0.1935483870967742, 'C=CC=CC#CC(C=C)=CC=C'), min:(-99999, '')
[0.02295374870300293] Updated in round 9! max:(0.22580645161290322, 'C=CC=C(C#CC(C=C)=CC=C)C=C'), min:(-99999, '')
[0.028944015502929688] Updated in round 10! max:(0.25806451612903225, 'C=CC=C(C#Cc1ccccc1)C=C'), min:(-99999, '')
[0.03801894187927246] Updated in round 11! max:(0.2903225806451613, 'C(#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.048871517181396484] Updated in round 12! max:(0.3225806451612903, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.06109285354614258] Updated in round 13! max:(0.3225806451612903, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.06268763542175293] Updated in round 14! max:(0.3225806451612903, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.0650637149810791] Updated in round 15! max:(0.3548387096774194, 'C=CC#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.08123254776000977] Updated in round 16! max:(0.3870967741935484, 'C#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.09920048713684082] Updated in round 17! max:(0.41935483870967744, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.11968851089477539] Updated in round 18! max:(0.41935483870967744, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.12186741828918457] Updated in round 19! max:(0.45161290322580644, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC(=C)C=C)cc2)cc1'), min:(-99999, '')
[0.14661741256713867] Updated in round 20! max:(0.4838709677419355, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.1764202117919922] Updated in round 21! max:(0.4838709677419355, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.17901253700256348] Updated in round 22! max:(0.4838709677419355, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.18120431900024414] Updated in round 23! max:(0.4838709677419355, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.1843857765197754] Updated in round 24! max:(0.5161290322580645, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.22122883796691895] Updated in round 25! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.2633392810821533] Updated in round 26! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.2665116786956787] Updated in round 27! max:(0.5806451612903226, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.31799745559692383] Updated in round 28! max:(0.5806451612903226, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.321117639541626] Updated in round 29! max:(0.5806451612903226, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.324005126953125] Updated in round 30! max:(0.6129032258064516, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3800334930419922] Updated in round 31! max:(0.6451612903225806, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#C)cc3)cc2)cc1'), min:(-99999, '')
[0.4396049976348877] Updated in round 32! max:(0.6451612903225806, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#C)cc3)cc2)cc1'), min:(-99999, '')
[0.44284486770629883] Updated in round 33! max:(0.6774193548387096, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5100836753845215] Updated in round 34! max:(0.6774193548387096, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5137453079223633] Updated in round 35! max:(0.6774193548387096, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5164783000946045] Updated in round 36! max:(0.6774193548387096, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5201635360717773] Updated in round 37! max:(0.6774193548387096, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5255730152130127] Updated in round 38! max:(0.7096774193548387, 'C=CC#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.6021273136138916] Updated in round 39! max:(0.7419354838709677, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C(C#CC(=C)C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.6864378452301025] Updated in round 40! max:(0.7741935483870968, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C(C#CC(=C)C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7843868732452393] Updated in round 41! max:(0.7741935483870968, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C(C#CC(=C)C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7892892360687256] Updated in round 42! max:(0.7741935483870968, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C(C#CC(=C)C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7927234172821045] Updated in round 43! max:(0.7741935483870968, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C(C#CC(=C)C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7979111671447754] Updated in round 44! max:(0.8064516129032258, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C(C#CC(=C)C=CC=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.9148826599121094] Updated in round 45! max:(0.8064516129032258, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C(C#CC(=C)C=CC=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.9195024967193604] Updated in round 46! max:(0.8064516129032258, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C(C#CC(=C)C=CC=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.9248659610748291] Updated in round 47! max:(0.8387096774193549, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0475726127624512] Updated in round 48! max:(0.8387096774193549, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0577630996704102] Updated in round 49! max:(0.8709677419354839, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.200963020324707] Updated in round 50! max:(0.8709677419354839, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.2059969902038574] Updated in round 51! max:(0.8709677419354839, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.2124814987182617] Updated in round 52! max:(0.8709677419354839, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.2169773578643799] Updated in round 53! max:(0.8709677419354839, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.2219853401184082] Updated in round 54! max:(0.8709677419354839, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.2288026809692383] Updated in round 55! max:(0.8709677419354839, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.2326197624206543] Updated in round 56! max:(0.8709677419354839, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.237391471862793] Updated in round 57! max:(0.8709677419354839, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#CC(=C)C=CC=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.2452952861785889] Updated in round 58! max:(0.9032258064516129, 'C=CC=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.3925702571868896] Updated in round 59! max:(0.9032258064516129, 'C=CC=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.4016149044036865] Updated in round 60! max:(0.9032258064516129, 'C=CC=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.4136285781860352] Updated in round 61! max:(0.9032258064516129, 'C=CC=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.4274530410766602] Updated in round 62! max:(0.9032258064516129, 'C=CC=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.4358246326446533] Updated in round 63! max:(0.9032258064516129, 'C=CC=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.4438209533691406] Updated in round 64! max:(0.9354838709677419, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[1.5887470245361328] Updated in round 65! max:(0.9354838709677419, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[1.5923097133636475] Updated in round 66! max:(0.9354838709677419, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[1.5977914333343506] Updated in round 67! max:(0.9354838709677419, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
