[7.009506225585938e-05]Start running EvoMol from [H][H]...
[0.03894233703613281] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.06939101219177246] Updated in round 2! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.21595096588134766] Updated in round 3! max:(0.10810810810810811, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.35960817337036133] Updated in round 4! max:(0.13513513513513514, 'C=c1ccccc1=C'), min:(-99999, '')
[0.3973197937011719] Updated in round 5! max:(0.13513513513513514, 'C=c1ccccc1=C'), min:(-99999, '')
[0.39991188049316406] Updated in round 6! max:(0.16216216216216217, 'C=Cc1ccc(=C)c(=C)c1'), min:(-99999, '')
[0.4379451274871826] Updated in round 7! max:(0.1891891891891892, 'C=CC=Cc1ccc(=C)c(=C)c1'), min:(-99999, '')
[0.4485645294189453] Updated in round 8! max:(0.21621621621621623, 'C=CC=Cc1ccc(=CC=C)c(=C)c1'), min:(-99999, '')
[0.5122554302215576] Updated in round 9! max:(0.24324324324324326, 'C=CC=c1ccc(C=C(C=C)C=C)cc1=C'), min:(-99999, '')
[0.5276424884796143] Updated in round 10! max:(0.24324324324324326, 'C=CC=c1ccc(C=C(C=C)C=C)cc1=C'), min:(-99999, '')
[0.5304129123687744] Updated in round 11! max:(0.2702702702702703, 'C=CC=c1ccc(C=C(C=C)C=C)cc1=CC=C'), min:(-99999, '')
[0.5509881973266602] Updated in round 12! max:(0.2972972972972973, 'C=CC=c1ccc(C=C(C=C)C(=C)C=C)cc1=CC=C'), min:(-99999, '')
[0.575516939163208] Updated in round 13! max:(0.32432432432432434, 'C=CC=CC(=Cc1ccc(=CC=C)c(=CC=C)c1)C(=C)C=C'), min:(-99999, '')
[0.6056101322174072] Updated in round 14! max:(0.32432432432432434, 'C=CC=CC(=Cc1ccc(=CC=C)c(=CC=C)c1)C(=C)C=C'), min:(-99999, '')
[0.6256945133209229] Updated in round 15! max:(0.35135135135135137, 'C=CC=CC(=C)C(C=CC=C)=Cc1ccc(=CC=C)c(=CC=C)c1'), min:(-99999, '')
[0.6788444519042969] Updated in round 16! max:(0.3783783783783784, 'C=CC=c1ccc(C=c2cc(C=C)c(C=C)cc2=C)cc1=CC=C'), min:(-99999, '')
[0.71695876121521] Updated in round 17! max:(0.3783783783783784, 'C=CC=c1ccc(C=c2cc(C=C)c(C=C)cc2=C)cc1=CC=C'), min:(-99999, '')
[0.7199380397796631] Updated in round 18! max:(0.3783783783783784, 'C=CC=c1ccc(C=c2cc(C=C)c(C=C)cc2=C)cc1=CC=C'), min:(-99999, '')
[0.7374434471130371] Updated in round 19! max:(0.3783783783783784, 'C=CC=c1ccc(C=c2cc(C=C)c(C=C)cc2=C)cc1=CC=C'), min:(-99999, '')
[0.7407867908477783] Updated in round 20! max:(0.3783783783783784, 'C=CC=c1ccc(C=c2cc(C=C)c(C=C)cc2=C)cc1=CC=C'), min:(-99999, '')
[0.743858814239502] Updated in round 21! max:(0.3783783783783784, 'C=CC=c1ccc(C=c2cc(C=C)c(C=C)cc2=C)cc1=CC=C'), min:(-99999, '')
