[6.151199340820312e-05]Start running EvoMol from [H][H]...
[0.0006909370422363281] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.0014812946319580078] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.003625631332397461] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.042620182037353516] Updated in round 4! max:(0.10810810810810811, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.045851945877075195] Updated in round 5! max:(0.13513513513513514, 'C=CC=CC=C(C=C)C=C'), min:(-99999, '')
[0.07093501091003418] Updated in round 6! max:(0.16216216216216217, 'C=CC=CC=C(C=C)C=CC=C'), min:(-99999, '')
[0.07713174819946289] Updated in round 7! max:(0.16216216216216217, 'C=CC=CC=C(C=C)C=CC=C'), min:(-99999, '')
[0.08893489837646484] Updated in round 8! max:(0.16216216216216217, 'C=CC=CC=C(C=C)C=CC=C'), min:(-99999, '')
[0.09108090400695801] Updated in round 9! max:(0.1891891891891892, 'C=CC=CC=C(C=C)C=CC(=C)C=C'), min:(-99999, '')
[0.09945845603942871] Updated in round 10! max:(0.21621621621621623, 'C=CC=CC=C(C=C)C=CC(=C)C=CC=C'), min:(-99999, '')
[0.11068439483642578] Updated in round 11! max:(0.24324324324324326, 'C=CC=CC=c1ccc(C=CC=C)cc1=C'), min:(-99999, '')
[0.12436294555664062] Updated in round 12! max:(0.2702702702702703, 'C=CC=CC=Cc1ccc(=CC=CC=C)c(=C)c1'), min:(-99999, '')
[0.1416170597076416] Updated in round 13! max:(0.2972972972972973, 'C=CC=CC=c1ccc(C=CC=C(C=C)C=C)cc1=C'), min:(-99999, '')
[0.16254806518554688] Updated in round 14! max:(0.32432432432432434, 'C=CC=C(C=C)C=c1ccc(C=CC=C(C=C)C=C)cc1=C'), min:(-99999, '')
[0.1892549991607666] Updated in round 15! max:(0.35135135135135137, 'C=CC=C(C=C)C=c1cc(C=C)c(C=CC=C(C=C)C=C)cc1=C'), min:(-99999, '')
[0.21649980545043945] Updated in round 16! max:(0.35135135135135137, 'C=CC=C(C=C)C=c1cc(C=C)c(C=CC=C(C=C)C=C)cc1=C'), min:(-99999, '')
[0.2187824249267578] Updated in round 17! max:(0.35135135135135137, 'C=CC=C(C=C)C=c1cc(C=C)c(C=CC=C(C=C)C=C)cc1=C'), min:(-99999, '')
[0.222792387008667] Updated in round 18! max:(0.3783783783783784, 'C=CC=C(C=C)C=c1cc2ccc(C=C(C=C)C=C)cc2cc1=C'), min:(-99999, '')
[0.2528715133666992] Updated in round 19! max:(0.3783783783783784, 'C=CC=C(C=C)C=c1cc2ccc(C=C(C=C)C=C)cc2cc1=C'), min:(-99999, '')
[0.25724005699157715] Updated in round 20! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=c1cc2ccc(C=C(C=C)C=C)cc2cc1=C'), min:(-99999, '')
[0.29493260383605957] Updated in round 21! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=c1cc2ccc(C=C(C=C)C=C)cc2cc1=C'), min:(-99999, '')
[0.29908037185668945] Updated in round 22! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=c1cc2ccc(C=C(C=C)C=C)cc2cc1=C'), min:(-99999, '')
[0.3042106628417969] Updated in round 23! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=c1cc2ccc(C=C(C=C)C=C)cc2cc1=C'), min:(-99999, '')
[0.3078944683074951] Updated in round 24! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=c1cc2ccc(C=C(C=C)C=C)cc2cc1=C'), min:(-99999, '')
[0.3125782012939453] Updated in round 25! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=c1cc2ccc(C=C(C=C)C=C)cc2cc1=C'), min:(-99999, '')
[0.3161044120788574] Updated in round 26! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=c1cc2ccc(C=C(C=C)C=C)cc2cc1=C'), min:(-99999, '')
[0.3212857246398926] Updated in round 27! max:(0.43243243243243246, 'C=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=C'), min:(-99999, '')
[0.3597555160522461] Updated in round 28! max:(0.43243243243243246, 'C=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=C'), min:(-99999, '')
[0.3651442527770996] Updated in round 29! max:(0.43243243243243246, 'C=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=C'), min:(-99999, '')
[0.3691294193267822] Updated in round 30! max:(0.43243243243243246, 'C=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=C'), min:(-99999, '')
[0.37292003631591797] Updated in round 31! max:(0.43243243243243246, 'C=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=C'), min:(-99999, '')
[0.3771791458129883] Updated in round 32! max:(0.4594594594594595, 'C=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=C'), min:(-99999, '')
[0.42659664154052734] Updated in round 33! max:(0.4864864864864865, 'C=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.48470425605773926] Updated in round 34! max:(0.4864864864864865, 'C=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.491438627243042] Updated in round 35! max:(0.4864864864864865, 'C=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.49875807762145996] Updated in round 36! max:(0.4864864864864865, 'C=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.505380392074585] Updated in round 37! max:(0.5135135135135135, 'C=CC=CC=CC=c1cc2cc3cc(C=C(C=C)C=C)ccc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.5744242668151855] Updated in round 38! max:(0.5135135135135135, 'C=CC=CC=CC=c1cc2cc3cc(C=C(C=C)C=C)ccc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.6095712184906006] Updated in round 39! max:(0.5135135135135135, 'C=CC=CC=CC=c1cc2cc3cc(C=C(C=C)C=C)ccc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.6188490390777588] Updated in round 40! max:(0.5405405405405406, 'C=CC=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=CC=CC=C'), min:(-99999, '')
[0.7032108306884766] Updated in round 41! max:(0.5405405405405406, 'C=CC=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=CC=CC=C'), min:(-99999, '')
[0.7131569385528564] Updated in round 42! max:(0.5675675675675675, 'C=CC=CC=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=CC=CC=C'), min:(-99999, '')
[0.8195455074310303] Updated in round 43! max:(0.5675675675675675, 'C=CC=CC=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=CC=CC=C'), min:(-99999, '')
[0.8334870338439941] Updated in round 44! max:(0.5675675675675675, 'C=CC=CC=CC=CC=c1cc2cc3ccc(C=C(C=C)C=C)cc3cc2cc1=CC=CC=CC=C'), min:(-99999, '')
[0.8455901145935059] Updated in round 45! max:(0.5945945945945946, 'C=CC=CC=CC=c1cc2cc3cc4ccc(C=C(C=C)C=C)cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.9439482688903809] Updated in round 46! max:(0.5945945945945946, 'C=CC=CC=CC=c1cc2cc3cc4ccc(C=C(C=C)C=C)cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.950716495513916] Updated in round 47! max:(0.5945945945945946, 'C=CC=CC=CC=c1cc2cc3cc4ccc(C=C(C=C)C=C)cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.9605119228363037] Updated in round 48! max:(0.5945945945945946, 'C=CC=CC=CC=c1cc2cc3cc4ccc(C=C(C=C)C=C)cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.9693429470062256] Updated in round 49! max:(0.5945945945945946, 'C=CC=CC=CC=c1cc2cc3cc4ccc(C=C(C=C)C=C)cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[0.9802019596099854] Updated in round 50! max:(0.6216216216216216, 'C=CC=CC=CC=c1cc2cc3cc4cc5ccc(C=C)cc5cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[1.0875959396362305] Updated in round 51! max:(0.6216216216216216, 'C=CC=CC=CC=c1cc2cc3cc4cc5ccc(C=C)cc5cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[1.0963001251220703] Updated in round 52! max:(0.6216216216216216, 'C=CC=CC=CC=c1cc2cc3cc4cc5ccc(C=C)cc5cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[1.103813648223877] Updated in round 53! max:(0.6216216216216216, 'C=CC=CC=CC=c1cc2cc3cc4cc5ccc(C=C)cc5cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[1.1135313510894775] Updated in round 54! max:(0.6216216216216216, 'C=CC=CC=CC=c1cc2cc3cc4cc5ccc(C=C)cc5cc4cc3cc2cc1=CC=CC=C'), min:(-99999, '')
[1.1204659938812256] Updated in round 55! max:(0.6486486486486487, 'C=CC=CC=c1cc2cc3cc4cc5cc6ccc(C=C)cc6cc5cc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.2182798385620117] Updated in round 56! max:(0.6486486486486487, 'C=CC=CC=c1cc2cc3cc4cc5cc6ccc(C=C)cc6cc5cc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.2248923778533936] Updated in round 57! max:(0.6756756756756757, 'C=CC=c1cc2cc3cc4cc5cc6cc7ccc(C=C)cc7cc6cc5cc4cc3cc2cc1=C'), min:(-99999, '')
[1.322335958480835] Updated in round 58! max:(0.6756756756756757, 'C=CC=c1cc2cc3cc4cc5cc6cc7ccc(C=C)cc7cc6cc5cc4cc3cc2cc1=C'), min:(-99999, '')
[1.3271420001983643] Updated in round 59! max:(0.7027027027027027, 'C=CC=c1cc2cc3cc4cc5cc6cc7ccc(C=C)cc7cc6cc5cc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.4414825439453125] Updated in round 60! max:(0.7027027027027027, 'C=CC=c1cc2cc3cc4cc5cc6cc7ccc(C=C)cc7cc6cc5cc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.4465303421020508] Updated in round 61! max:(0.7027027027027027, 'C=CC=c1cc2cc3cc4cc5cc6cc7ccc(C=C)cc7cc6cc5cc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.452146291732788] Updated in round 62! max:(0.7027027027027027, 'C=CC=c1cc2cc3cc4cc5cc6cc7ccc(C=C)cc7cc6cc5cc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.4576478004455566] Updated in round 63! max:(0.7027027027027027, 'C=CC=c1cc2cc3cc4cc5cc6cc7ccc(C=C)cc7cc6cc5cc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.463212013244629] Updated in round 64! max:(0.7297297297297297, 'C=Cc1ccc2cc3cc4cc5cc6cc7cc8cc(=C)c(=C)cc8cc7cc6cc5cc4cc3cc2c1'), min:(-99999, '')
