[7.295608520507812e-05]Start running EvoMol from [H][H]...
[0.001188039779663086] Updated in round 1! max:(0.10810810810810811, 'c1ccccc1'), min:(-99999, '')
[0.008656024932861328] Updated in round 2! max:(0.21621621621621623, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.02804398536682129] Updated in round 3! max:(0.32432432432432434, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.06630921363830566] Updated in round 4! max:(0.32432432432432434, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.07088303565979004] Updated in round 5! max:(0.3783783783783784, 'c1ccc(-c2ccc3c(ccc4ccccc43)c2)cc1'), min:(-99999, '')
[0.11732101440429688] Updated in round 6! max:(0.40540540540540543, 'C=Cc1cccc(-c2ccc3c(ccc4ccccc43)c2)c1'), min:(-99999, '')
[0.17101812362670898] Updated in round 7! max:(0.43243243243243246, 'C=Cc1cccc(-c2cc3ccc4ccccc4c3cc2C=C)c1'), min:(-99999, '')
[0.2281501293182373] Updated in round 8! max:(0.43243243243243246, 'C=Cc1cccc(-c2cc3ccc4ccccc4c3cc2C=C)c1'), min:(-99999, '')
[0.23355913162231445] Updated in round 9! max:(0.4594594594594595, 'C=Cc1ccc2ccc3cc4c(ccc5ccccc54)cc3c2c1'), min:(-99999, '')
[0.29664063453674316] Updated in round 10! max:(0.4864864864864865, 'C=Cc1ccc2c(ccc3cc4c(ccc5ccc(C=C)cc54)cc32)c1'), min:(-99999, '')
[0.3664534091949463] Updated in round 11! max:(0.4864864864864865, 'C=Cc1ccc2c(ccc3cc4c(ccc5ccc(C=C)cc54)cc32)c1'), min:(-99999, '')
[0.3710956573486328] Updated in round 12! max:(0.5405405405405406, 'C=Cc1ccc2ccc3cc4c(ccc5cc6ccccc6cc54)cc3c2c1'), min:(-99999, '')
[0.46111321449279785] Updated in round 13! max:(0.5405405405405406, 'C=Cc1ccc2ccc3cc4c(ccc5cc6ccccc6cc54)cc3c2c1'), min:(-99999, '')
[0.46774888038635254] Updated in round 14! max:(0.5405405405405406, 'C=Cc1ccc2ccc3cc4c(ccc5cc6ccccc6cc54)cc3c2c1'), min:(-99999, '')
[0.4754598140716553] Updated in round 15! max:(0.5675675675675675, 'C=Cc1ccc2ccc3cc4c(ccc5cc6c(C=C)cccc6cc54)cc3c2c1'), min:(-99999, '')
[0.5762426853179932] Updated in round 16! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.7511091232299805] Updated in round 17! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.7584710121154785] Updated in round 18! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.7678451538085938] Updated in round 19! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.7778480052947998] Updated in round 20! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.7863600254058838] Updated in round 21! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.7924401760101318] Updated in round 22! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.8015437126159668] Updated in round 23! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.8101344108581543] Updated in round 24! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.8196520805358887] Updated in round 25! max:(0.6756756756756757, 'C=Cc1cccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7ccccc7)cc65)cc43)cc12'), min:(-99999, '')
[0.8271050453186035] Updated in round 26! max:(0.7027027027027027, 'C=Cc1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.008533239364624] Updated in round 27! max:(0.7027027027027027, 'C=Cc1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.0186338424682617] Updated in round 28! max:(0.7027027027027027, 'C=Cc1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.0302696228027344] Updated in round 29! max:(0.7027027027027027, 'C=Cc1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.0421431064605713] Updated in round 30! max:(0.7027027027027027, 'C=Cc1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.0524368286132812] Updated in round 31! max:(0.7027027027027027, 'C=Cc1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.0644540786743164] Updated in round 32! max:(0.7027027027027027, 'C=Cc1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.0756101608276367] Updated in round 33! max:(0.7027027027027027, 'C=Cc1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.086390495300293] Updated in round 34! max:(0.7297297297297297, 'C=CC(=C)c1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.2786195278167725] Updated in round 35! max:(0.7297297297297297, 'C=CC(=C)c1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.2886326313018799] Updated in round 36! max:(0.7297297297297297, 'C=CC(=C)c1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)cccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.3009610176086426] Updated in round 37! max:(0.7567567567567568, 'C=CC(=C)c1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.5150394439697266] Updated in round 38! max:(0.7567567567567568, 'C=CC(=C)c1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.5232081413269043] Updated in round 39! max:(0.7567567567567568, 'C=CC(=C)c1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.5367279052734375] Updated in round 40! max:(0.7567567567567568, 'C=CC(=C)c1cccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)c1'), min:(-99999, '')
[1.5481297969818115] Updated in round 41! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.8195197582244873] Updated in round 42! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.8268535137176514] Updated in round 43! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.8348262310028076] Updated in round 44! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.841550350189209] Updated in round 45! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.849165916442871] Updated in round 46! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.857116937637329] Updated in round 47! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.865725040435791] Updated in round 48! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.8755440711975098] Updated in round 49! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.8835113048553467] Updated in round 50! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.8926587104797363] Updated in round 51! max:(0.8108108108108109, 'C=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=Cc7cccc(-c8ccccc8)c7)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[1.9015531539916992] Updated in round 52! max:(0.8378378378378378, 'C=Cc1ccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)cc1-c1ccccc1'), min:(-99999, '')
[2.1869876384735107] Updated in round 53! max:(0.8378378378378378, 'C=Cc1ccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)cc1-c1ccccc1'), min:(-99999, '')
[2.198420524597168] Updated in round 54! max:(0.8378378378378378, 'C=Cc1ccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)cc1-c1ccccc1'), min:(-99999, '')
[2.2096028327941895] Updated in round 55! max:(0.8378378378378378, 'C=Cc1ccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)cc1-c1ccccc1'), min:(-99999, '')
[2.221226215362549] Updated in round 56! max:(0.8378378378378378, 'C=Cc1ccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)cc1-c1ccccc1'), min:(-99999, '')
[2.2297563552856445] Updated in round 57! max:(0.8378378378378378, 'C=Cc1ccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)cc1-c1ccccc1'), min:(-99999, '')
[2.2386913299560547] Updated in round 58! max:(0.8378378378378378, 'C=Cc1ccc(C=Cc2ccc3ccc4cc5c(ccc6cc7c(C=C)c(C=C)ccc7cc65)cc4c3c2)cc1-c1ccccc1'), min:(-99999, '')
[2.253727436065674] Updated in round 59! max:(0.8648648648648649, 'C=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7cc8c(C=C)c(C=C)ccc8cc76)cc54)cc32)cc1-c1ccccc1'), min:(-99999, '')
[2.64296555519104] Updated in round 60! max:(0.8648648648648649, 'C=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7cc8c(C=C)c(C=C)ccc8cc76)cc54)cc32)cc1-c1ccccc1'), min:(-99999, '')
[2.6499812602996826] Updated in round 61! max:(0.8648648648648649, 'C=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7cc8c(C=C)c(C=C)ccc8cc76)cc54)cc32)cc1-c1ccccc1'), min:(-99999, '')
[2.656101703643799] Updated in round 62! max:(0.8648648648648649, 'C=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7cc8c(C=C)c(C=C)ccc8cc76)cc54)cc32)cc1-c1ccccc1'), min:(-99999, '')
[2.6639254093170166] Updated in round 63! max:(0.8648648648648649, 'C=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7cc8c(C=C)c(C=C)ccc8cc76)cc54)cc32)cc1-c1ccccc1'), min:(-99999, '')
[2.671433687210083] Updated in round 64! max:(0.8648648648648649, 'C=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7cc8c(C=C)c(C=C)ccc8cc76)cc54)cc32)cc1-c1ccccc1'), min:(-99999, '')
[2.682703733444214] Updated in round 65! max:(0.8648648648648649, 'C=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7cc8c(C=C)c(C=C)ccc8cc76)cc54)cc32)cc1-c1ccccc1'), min:(-99999, '')
[2.697566270828247] Updated in round 66! max:(0.8918918918918919, 'C=Cc1cc2c3ccc4cc5c(ccc6cc7c(ccc8cc9c(C=C)c(ccc%10ccc(cc%10)c1c3)ccc9cc87)cc65)cc42'), min:(-99999, '')
