[6.222724914550781e-05]Start running EvoMol from [H][H]...
[0.0007898807525634766] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.0015277862548828125] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.003710508346557617] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.006517171859741211] Updated in round 4! max:(0.10810810810810811, 'c1ccccc1'), min:(-99999, '')
[0.012783527374267578] Updated in round 5! max:(0.13513513513513514, 'C=c1ccccc1=C'), min:(-99999, '')
[0.017555952072143555] Updated in round 6! max:(0.16216216216216217, 'C=Cc1ccc(=C)c(=C)c1'), min:(-99999, '')
[0.023503780364990234] Updated in round 7! max:(0.1891891891891892, 'C=CC=c1cc(C=C)ccc1=C'), min:(-99999, '')
[0.03133726119995117] Updated in round 8! max:(0.21621621621621623, 'C=CC=c1cc(C=C)c(C=C)cc1=C'), min:(-99999, '')
[0.040944576263427734] Updated in round 9! max:(0.24324324324324326, 'C=CC=c1cc(C(=C)C=C)c(C=C)cc1=C'), min:(-99999, '')
[0.05198216438293457] Updated in round 10! max:(0.2702702702702703, 'C=CC=CC=c1cc(C(=C)C=C)c(C=C)cc1=C'), min:(-99999, '')
[0.06614518165588379] Updated in round 11! max:(0.2702702702702703, 'C=CC=CC=c1cc(C(=C)C=C)c(C=C)cc1=C'), min:(-99999, '')
[0.06886076927185059] Updated in round 12! max:(0.2702702702702703, 'C=CC=CC=c1cc(C(=C)C=C)c(C=C)cc1=C'), min:(-99999, '')
[0.07190370559692383] Updated in round 13! max:(0.2972972972972973, 'C=CC=CC=c1cc(C(=C)C=C)c(C=C)cc1=CC=C'), min:(-99999, '')
[0.08993864059448242] Updated in round 14! max:(0.2972972972972973, 'C=CC=CC=c1cc(C(=C)C=C)c(C=C)cc1=CC=C'), min:(-99999, '')
[0.09339570999145508] Updated in round 15! max:(0.32432432432432434, 'C=CC=CC=c1cc2c(C=C)cccc2cc1=CC=C'), min:(-99999, '')
[0.1177361011505127] Updated in round 16! max:(0.35135135135135137, 'C=CC=CC=CC=c1cc2c(C=C)cccc2cc1=CC=C'), min:(-99999, '')
[0.1446211338043213] Updated in round 17! max:(0.35135135135135137, 'C=CC=CC=CC=c1cc2c(C=C)cccc2cc1=CC=C'), min:(-99999, '')
[0.1489241123199463] Updated in round 18! max:(0.35135135135135137, 'C=CC=CC=CC=c1cc2c(C=C)cccc2cc1=CC=C'), min:(-99999, '')
[0.1527705192565918] Updated in round 19! max:(0.3783783783783784, 'C=Cc1ccccc2cc3c(C=C)cccc3cc2ccc1'), min:(-99999, '')
[0.19011950492858887] Updated in round 20! max:(0.40540540540540543, 'C=Cc1ccccc2cc3c(C=C)cccc3cc2ccc1C=C'), min:(-99999, '')
[0.23410344123840332] Updated in round 21! max:(0.43243243243243246, 'C=Cc1ccccc2cc3c(C=C)c(C=C)ccc3cc2ccc1C=C'), min:(-99999, '')
[0.28152966499328613] Updated in round 22! max:(0.43243243243243246, 'C=Cc1ccccc2cc3c(C=C)c(C=C)ccc3cc2ccc1C=C'), min:(-99999, '')
[0.28702354431152344] Updated in round 23! max:(0.4594594594594595, 'C=Cc1ccccc2cc3c(ccc4ccccc43)cc2ccc1C=C'), min:(-99999, '')
[0.3411269187927246] Updated in round 24! max:(0.4594594594594595, 'C=Cc1ccccc2cc3c(ccc4ccccc43)cc2ccc1C=C'), min:(-99999, '')
[0.34537625312805176] Updated in round 25! max:(0.4594594594594595, 'C=Cc1ccccc2cc3c(ccc4ccccc43)cc2ccc1C=C'), min:(-99999, '')
[0.3496403694152832] Updated in round 26! max:(0.4594594594594595, 'C=Cc1ccccc2cc3c(ccc4ccccc43)cc2ccc1C=C'), min:(-99999, '')
[0.3558509349822998] Updated in round 27! max:(0.4864864864864865, 'C=Cc1ccc2ccc3cc4ccc(C=C)c(C=C)ccccc4cc3c2c1'), min:(-99999, '')
[0.4170982837677002] Updated in round 28! max:(0.4864864864864865, 'C=Cc1ccc2ccc3cc4ccc(C=C)c(C=C)ccccc4cc3c2c1'), min:(-99999, '')
[0.42411017417907715] Updated in round 29! max:(0.5135135135135135, 'C=CC=Cc1ccc2ccc3cc4ccc(C=C)c(C=C)ccccc4cc3c2c1'), min:(-99999, '')
[0.49528932571411133] Updated in round 30! max:(0.5135135135135135, 'C=CC=Cc1ccc2ccc3cc4ccc(C=C)c(C=C)ccccc4cc3c2c1'), min:(-99999, '')
[0.5053584575653076] Updated in round 31! max:(0.5405405405405406, 'C=CC=Cc1ccc2ccc3cc4ccc(C=C)c(C(=C)C=C)ccccc4cc3c2c1'), min:(-99999, '')
[0.5861563682556152] Updated in round 32! max:(0.5405405405405406, 'C=CC=Cc1ccc2ccc3cc4ccc(C=C)c(C(=C)C=C)ccccc4cc3c2c1'), min:(-99999, '')
[0.5955193042755127] Updated in round 33! max:(0.5675675675675675, 'C=CC=CC(=C)c1ccccc2cc3c(ccc4ccc(C=CC=C)cc43)cc2ccc1C=C'), min:(-99999, '')
