[6.29425048828125e-05]Start running EvoMol from [H][H]...
[0.0011577606201171875] Updated in round 1! max:(0.10810810810810811, 'c1ccccc1'), min:(-99999, '')
[0.00896763801574707] Updated in round 2! max:(0.21621621621621623, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.02981257438659668] Updated in round 3! max:(0.32432432432432434, 'c1ccc(-c2cccc(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.06948161125183105] Updated in round 4! max:(0.43243243243243246, 'c1ccc(-c2cccc(-c3ccccc3-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.13982629776000977] Updated in round 5! max:(0.5135135135135135, 'c1ccc(-c2ccccc2-c2cccc(-c3cccc4ccccc34)c2)cc1'), min:(-99999, '')
[0.23145461082458496] Updated in round 6! max:(0.5135135135135135, 'c1ccc(-c2ccccc2-c2cccc(-c3cccc4ccccc34)c2)cc1'), min:(-99999, '')
[0.2401115894317627] Updated in round 7! max:(0.5675675675675675, 'c1ccc(-c2ccccc2-c2cccc3c2ccc2ccc4ccccc4c23)cc1'), min:(-99999, '')
[0.3420588970184326] Updated in round 8! max:(0.5945945945945946, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2c1ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.46021413803100586] Updated in round 9! max:(0.5945945945945946, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2c1ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.4672260284423828] Updated in round 10! max:(0.5945945945945946, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2c1ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.474778413772583] Updated in round 11! max:(0.5945945945945946, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2c1ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.4793217182159424] Updated in round 12! max:(0.5945945945945946, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2c1ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.48492932319641113] Updated in round 13! max:(0.5945945945945946, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2c1ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.49430346488952637] Updated in round 14! max:(0.6756756756756757, 'C=Cc1cccc(-c2cccc3ccccc23)c1-c1cccc2c1ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.6481497287750244] Updated in round 15! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.804466962814331] Updated in round 16! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.8158938884735107] Updated in round 17! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.8294062614440918] Updated in round 18! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.8372454643249512] Updated in round 19! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.848397970199585] Updated in round 20! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.8591692447662354] Updated in round 21! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.8689491748809814] Updated in round 22! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.8779206275939941] Updated in round 23! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.8871769905090332] Updated in round 24! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.9002759456634521] Updated in round 25! max:(0.7027027027027027, 'c1ccc2c(-c3cccc4ccc5ccc6c(ccc7ccc8ccccc8c76)c5c34)cccc2c1'), min:(-99999, '')
[0.910538911819458] Updated in round 26! max:(0.7297297297297297, 'C=Cc1ccc2ccc3ccc4c(ccc5ccc6ccccc6c54)c3c2c1-c1cccc2ccccc12'), min:(-99999, '')
[1.087951421737671] Updated in round 27! max:(0.7297297297297297, 'C=Cc1ccc2ccc3ccc4c(ccc5ccc6ccccc6c54)c3c2c1-c1cccc2ccccc12'), min:(-99999, '')
[1.1006355285644531] Updated in round 28! max:(0.7297297297297297, 'C=Cc1ccc2ccc3ccc4c(ccc5ccc6ccccc6c54)c3c2c1-c1cccc2ccccc12'), min:(-99999, '')
