[6.008148193359375e-05]Start running EvoMol from [H][H]...
[0.0006616115570068359] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.0014040470123291016] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.0036127567291259766] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.006869316101074219] Updated in round 4! max:(0.10810810810810811, 'c1ccccc1'), min:(-99999, '')
[0.012562274932861328] Updated in round 5! max:(0.13513513513513514, 'C=Cc1ccccc1'), min:(-99999, '')
[0.018018722534179688] Updated in round 6! max:(0.16216216216216217, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.02590489387512207] Updated in round 7! max:(0.1891891891891892, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.034239768981933594] Updated in round 8! max:(0.21621621621621623, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.04458498954772949] Updated in round 9! max:(0.24324324324324326, 'C=CC(=C)c1cccc2ccccc12'), min:(-99999, '')
[0.05978107452392578] Updated in round 10! max:(0.2702702702702703, 'C=CC=C(C=C)c1cccc2ccccc12'), min:(-99999, '')
[0.07826852798461914] Updated in round 11! max:(0.2972972972972973, 'C=Cc1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.09729576110839844] Updated in round 12! max:(0.32432432432432434, 'C=Cc1cccc2c1ccc1cccc(C=C)c12'), min:(-99999, '')
[0.12043142318725586] Updated in round 13! max:(0.35135135135135137, 'C=Cc1ccc2c(ccc3cccc(C=C)c32)c1C=C'), min:(-99999, '')
[0.147963285446167] Updated in round 14! max:(0.35135135135135137, 'C=Cc1ccc2c(ccc3cccc(C=C)c32)c1C=C'), min:(-99999, '')
[0.15453577041625977] Updated in round 15! max:(0.35135135135135137, 'C=Cc1ccc2c(ccc3cccc(C=C)c32)c1C=C'), min:(-99999, '')
