[5.984306335449219e-05]Start running EvoMol from [H][H]...
[0.0012636184692382812] Updated in round 1! max:(0.1, 'c1ccccc1'), min:(-99999, '')
[0.007601022720336914] Updated in round 2! max:(0.125, 'C#Cc1ccccc1'), min:(-99999, '')
[0.014142990112304688] Updated in round 3! max:(0.15, 'C#Cc1ccc(C#C)cc1'), min:(-99999, '')
[0.02158975601196289] Updated in round 4! max:(0.25, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.04027700424194336] Updated in round 5! max:(0.25, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.04208254814147949] Updated in round 6! max:(0.275, 'C#Cc1ccc(C#Cc2ccccc2)c(C#C)c1'), min:(-99999, '')
[0.06170940399169922] Updated in round 7! max:(0.3, 'C#Cc1cc(C#CC=C)ccc1C#Cc1ccccc1'), min:(-99999, '')
[0.0864570140838623] Updated in round 8! max:(0.325, 'C#Cc1cc(C#Cc2ccccc2)c(C#C)cc1C#CC=C'), min:(-99999, '')
[0.1124887466430664] Updated in round 9! max:(0.35, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#CC=C)cc1C#C'), min:(-99999, '')
[0.13889646530151367] Updated in round 10! max:(0.375, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#CC=C)cc1C#CC=C'), min:(-99999, '')
[0.16905856132507324] Updated in round 11! max:(0.375, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#CC=C)cc1C#CC=C'), min:(-99999, '')
[0.17200589179992676] Updated in round 12! max:(0.4, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#CC=C)cc1C#CC=CC=C'), min:(-99999, '')
[0.2078723907470703] Updated in round 13! max:(0.425, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#CC=C)c(C#C)c1C#CC=CC=C'), min:(-99999, '')
[0.2454531192779541] Updated in round 14! max:(0.425, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#CC=C)c(C#C)c1C#CC=CC=C'), min:(-99999, '')
[0.24791836738586426] Updated in round 15! max:(0.425, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#CC=C)c(C#C)c1C#CC=CC=C'), min:(-99999, '')
[0.25034523010253906] Updated in round 16! max:(0.5, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#Cc2ccccc2)c(C#C)c1C#CC=CC=C'), min:(-99999, '')
[0.31597089767456055] Updated in round 17! max:(0.5, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#Cc2ccccc2)c(C#C)c1C#CC=CC=C'), min:(-99999, '')
[0.31882524490356445] Updated in round 18! max:(0.6, 'C#Cc1ccccc1C#Cc1cc(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#CC=CC=C'), min:(-99999, '')
[0.42870187759399414] Updated in round 19! max:(0.6, 'C#Cc1ccccc1C#Cc1cc(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#CC=CC=C'), min:(-99999, '')
[0.4320392608642578] Updated in round 20! max:(0.6, 'C#Cc1ccccc1C#Cc1cc(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#CC=CC=C'), min:(-99999, '')
[0.43668079376220703] Updated in round 21! max:(0.625, 'C#Cc1c(C#CC=CC=C)c(C#Cc2ccccc2C#CC=C)cc(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5573840141296387] Updated in round 22! max:(0.65, 'C#Cc1c(C#CC=CC=C)c(C#Cc2ccccc2C#CC=C)c(C#C)c(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.6835861206054688] Updated in round 23! max:(0.65, 'C#Cc1c(C#CC=CC=C)c(C#Cc2ccccc2C#CC=C)c(C#C)c(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.6877586841583252] Updated in round 24! max:(0.675, 'C#Cc1c(C#CC=CC=C)c(C#Cc2ccccc2C#CC(=C)C=C)c(C#C)c(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.8279759883880615] Updated in round 25! max:(0.7, 'C#Cc1c(C#CC(C=C)=CC=C)c(C#Cc2ccccc2C#CC(=C)C=C)c(C#C)c(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.9804506301879883] Updated in round 26! max:(0.725, 'C#CC(=C)C(C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(=C)C=C)=CC=C'), min:(-99999, '')
[1.1370985507965088] Updated in round 27! max:(0.725, 'C#CC(=C)C(C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(=C)C=C)=CC=C'), min:(-99999, '')
[1.1414763927459717] Updated in round 28! max:(0.725, 'C#CC(=C)C(C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(=C)C=C)=CC=C'), min:(-99999, '')
[1.145714282989502] Updated in round 29! max:(0.725, 'C#CC(=C)C(C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(=C)C=C)=CC=C'), min:(-99999, '')
[1.149878740310669] Updated in round 30! max:(0.725, 'C#CC(=C)C(C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(=C)C=C)=CC=C'), min:(-99999, '')
[1.153676986694336] Updated in round 31! max:(0.75, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(=C)C=C'), min:(-99999, '')
[1.3301548957824707] Updated in round 32! max:(0.775, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[1.5278825759887695] Updated in round 33! max:(0.775, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[1.5324373245239258] Updated in round 34! max:(0.775, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[1.5369834899902344] Updated in round 35! max:(0.775, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[1.541520595550537] Updated in round 36! max:(0.775, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[1.5455000400543213] Updated in round 37! max:(0.775, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[1.5493640899658203] Updated in round 38! max:(0.775, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[1.552955150604248] Updated in round 39! max:(0.775, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[1.5571062564849854] Updated in round 40! max:(0.775, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[1.5613386631011963] Updated in round 41! max:(0.8, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#CC(C=C)=CC=C)c1C#Cc1ccccc1C#CC=C'), min:(-99999, '')
[1.775449514389038] Updated in round 42! max:(0.825, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#CC(C=C)=CC=C)c1C#Cc1ccccc1C#CC(=C)C=C'), min:(-99999, '')
[2.0051276683807373] Updated in round 43! max:(0.875, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[2.2895803451538086] Updated in round 44! max:(0.875, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[2.2946276664733887] Updated in round 45! max:(0.875, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[2.299333095550537] Updated in round 46! max:(0.875, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[2.3039228916168213] Updated in round 47! max:(0.875, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[2.3086555004119873] Updated in round 48! max:(0.875, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#CC(C=C)=CC=C'), min:(-99999, '')
[2.3148133754730225] Updated in round 49! max:(0.9, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#Cc1ccccc1'), min:(-99999, '')
[2.593660593032837] Updated in round 50! max:(0.9, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#Cc1ccccc1'), min:(-99999, '')
[2.6003780364990234] Updated in round 51! max:(0.9, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#Cc1ccccc1'), min:(-99999, '')
[2.604776382446289] Updated in round 52! max:(0.9, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#Cc1ccccc1'), min:(-99999, '')
[2.6091132164001465] Updated in round 53! max:(0.9, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#Cc1ccccc1'), min:(-99999, '')
[2.6131484508514404] Updated in round 54! max:(0.9, 'C#Cc1c(C#Cc2ccccc2)c(C#Cc2ccccc2)c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1C#Cc1ccccc1'), min:(-99999, '')
[2.6172964572906494] Updated in round 55! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.89784836769104] Updated in round 56! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.902864694595337] Updated in round 57! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.9079065322875977] Updated in round 58! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.912720203399658] Updated in round 59! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.917299509048462] Updated in round 60! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.9212892055511475] Updated in round 61! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.9264018535614014] Updated in round 62! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.9306893348693848] Updated in round 63! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.9350244998931885] Updated in round 64! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.9400758743286133] Updated in round 65! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.943605422973633] Updated in round 66! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.948857307434082] Updated in round 67! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.9534099102020264] Updated in round 68! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.9570703506469727] Updated in round 69! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.960728883743286] Updated in round 70! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[2.9653007984161377] Updated in round 71! max:(0.925, 'C#Cc1ccccc1C#Cc1c(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#Cc2ccccc2C#Cc2ccccc2)c(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
