[5.9604644775390625e-05]Start running EvoMol from [H][H]...
[0.0009324550628662109] Updated in round 1! max:(0.025, 'C=C'), min:(-99999, '')
[0.0019724369049072266] Updated in round 2! max:(0.05, 'C=CC=C'), min:(-99999, '')
[0.0069239139556884766] Updated in round 3! max:(0.075, 'C=CC=CC=C'), min:(-99999, '')
[0.011252403259277344] Updated in round 4! max:(0.1, 'c1ccccc1'), min:(-99999, '')
[0.016335725784301758] Updated in round 5! max:(0.125, 'C#Cc1ccccc1'), min:(-99999, '')
[0.020663022994995117] Updated in round 6! max:(0.15, 'C=CC#Cc1ccccc1'), min:(-99999, '')
[0.02638840675354004] Updated in round 7! max:(0.175, 'C#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.033132314682006836] Updated in round 8! max:(0.2, 'C#Cc1ccccc1C#CC(=C)C=C'), min:(-99999, '')
[0.04137873649597168] Updated in round 9! max:(0.225, 'C#Cc1ccc(C#C)c(C#CC(=C)C=C)c1'), min:(-99999, '')
[0.05061078071594238] Updated in round 10! max:(0.25, 'C#Cc1ccc(C#CC=C)cc1C#CC(=C)C=C'), min:(-99999, '')
[0.06104421615600586] Updated in round 11! max:(0.275, 'C#Cc1ccc(C#CC=C)cc1C#CC(=C)C=CC=C'), min:(-99999, '')
[0.07423591613769531] Updated in round 12! max:(0.3, 'C#Cc1ccc(C#CC=C)c(C#C)c1C#CC(=C)C=CC=C'), min:(-99999, '')
[0.08842182159423828] Updated in round 13! max:(0.325, 'C#Cc1ccc(C#CC(=C)C=C)c(C#C)c1C#CC(=C)C=CC=C'), min:(-99999, '')
[0.10431528091430664] Updated in round 14! max:(0.325, 'C#Cc1ccc(C#CC(=C)C=C)c(C#C)c1C#CC(=C)C=CC=C'), min:(-99999, '')
[0.10677361488342285] Updated in round 15! max:(0.35, 'C#Cc1ccc(C#CC(=C)C=C)c(C#CC=C)c1C#CC(=C)C=CC=C'), min:(-99999, '')
[0.12638020515441895] Updated in round 16! max:(0.375, 'C#Cc1ccc(C#CC(=C)C=CC=C)c(C#CC=C)c1C#CC(=C)C=CC=C'), min:(-99999, '')
[0.15151596069335938] Updated in round 17! max:(0.4, 'C#Cc1ccc(C#CC(=C)C=CC=C)c(C#CC(=C)C=C)c1C#CC(=C)C=CC=C'), min:(-99999, '')
[0.1790320873260498] Updated in round 18! max:(0.4, 'C#Cc1ccc(C#CC(=C)C=CC=C)c(C#CC(=C)C=C)c1C#CC(=C)C=CC=C'), min:(-99999, '')
[0.18106651306152344] Updated in round 19! max:(0.4, 'C#Cc1ccc(C#CC(=C)C=CC=C)c(C#CC(=C)C=C)c1C#CC(=C)C=CC=C'), min:(-99999, '')
[0.18638300895690918] Updated in round 20! max:(0.4, 'C#Cc1ccc(C#CC(=C)C=CC=C)c(C#CC(=C)C=C)c1C#CC(=C)C=CC=C'), min:(-99999, '')
