[7.772445678710938e-05]Start running EvoMol from [H][H]...
[0.00214385986328125] Updated in round 1! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.01069021224975586] Updated in round 2! max:(0.16326530612244897, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.030606508255004883] Updated in round 3! max:(0.1836734693877551, 'C=Cc1cccc(-c2ccccc2)c1'), min:(-99999, '')
[0.052457332611083984] Updated in round 4! max:(0.20408163265306123, 'C=Cc1cccc(-c2ccccc2)c1C=C'), min:(-99999, '')
[0.07714009284973145] Updated in round 5! max:(0.2653061224489796, 'C=Cc1cccc(-c2cccc3ccccc23)c1C=C'), min:(-99999, '')
[0.11604166030883789] Updated in round 6! max:(0.2857142857142857, 'c1ccc2c(-c3cccc4ccccc34)cccc2c1'), min:(-99999, '')
[0.1592252254486084] Updated in round 7! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.20330333709716797] Updated in round 8! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.20549607276916504] Updated in round 9! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.20839858055114746] Updated in round 10! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.21175813674926758] Updated in round 11! max:(0.32653061224489793, 'C#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.25808095932006836] Updated in round 12! max:(0.32653061224489793, 'C#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.2603933811187744] Updated in round 13! max:(0.32653061224489793, 'C#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.26259946823120117] Updated in round 14! max:(0.32653061224489793, 'C#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.26530003547668457] Updated in round 15! max:(0.32653061224489793, 'C#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.268709659576416] Updated in round 16! max:(0.32653061224489793, 'C#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.2717399597167969] Updated in round 17! max:(0.3469387755102041, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.3212738037109375] Updated in round 18! max:(0.3673469387755102, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#C)ccc2ccccc12'), min:(-99999, '')
[0.37309765815734863] Updated in round 19! max:(0.4489795918367347, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccccc2)ccc2ccccc12'), min:(-99999, '')
[0.46158480644226074] Updated in round 20! max:(0.4489795918367347, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccccc2)ccc2ccccc12'), min:(-99999, '')
[0.46593618392944336] Updated in round 21! max:(0.46938775510204084, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2cccc(C=C)c2)ccc2ccccc12'), min:(-99999, '')
[0.5668120384216309] Updated in round 22! max:(0.46938775510204084, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2cccc(C=C)c2)ccc2ccccc12'), min:(-99999, '')
