[6.794929504394531e-05]Start running EvoMol from [H][H]...
[0.0011820793151855469] Updated in round 1! max:(0.02040816326530612, 'C=C'), min:(-99999, '')
[0.002706766128540039] Updated in round 2! max:(0.04081632653061224, 'C=CC=C'), min:(-99999, '')
[0.0062923431396484375] Updated in round 3! max:(0.061224489795918366, 'C=CC=CC=C'), min:(-99999, '')
[0.011553287506103516] Updated in round 4! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.018095016479492188] Updated in round 5! max:(0.10204081632653061, 'C=Cc1ccccc1'), min:(-99999, '')
[0.024674177169799805] Updated in round 6! max:(0.12244897959183673, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.03436636924743652] Updated in round 7! max:(0.14285714285714285, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.04318737983703613] Updated in round 8! max:(0.16326530612244897, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.05399775505065918] Updated in round 9! max:(0.1836734693877551, 'C=CC(=C)c1cccc2ccccc12'), min:(-99999, '')
[0.06774330139160156] Updated in round 10! max:(0.20408163265306123, 'C=CC=C(C=C)c1cccc2ccccc12'), min:(-99999, '')
[0.08397650718688965] Updated in round 11! max:(0.20408163265306123, 'C=CC=C(C=C)c1cccc2ccccc12'), min:(-99999, '')
[0.08771967887878418] Updated in round 12! max:(0.22448979591836735, 'C#CC(C=C)=C(C=C)c1cccc2ccccc12'), min:(-99999, '')
[0.1057126522064209] Updated in round 13! max:(0.24489795918367346, 'C#CC(C=C)=C(C=C)c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.12558293342590332] Updated in round 14! max:(0.2653061224489796, 'C#CC(C=CC=C)=C(C=C)c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.1498112678527832] Updated in round 15! max:(0.2857142857142857, 'C#CC#Cc1ccc2ccccc2c1C(C=C)=C(C#C)C=CC=C'), min:(-99999, '')
[0.1747722625732422] Updated in round 16! max:(0.2857142857142857, 'C#CC#Cc1ccc2ccccc2c1C(C=C)=C(C#C)C=CC=C'), min:(-99999, '')
[0.1765611171722412] Updated in round 17! max:(0.2857142857142857, 'C#CC#Cc1ccc2ccccc2c1C(C=C)=C(C#C)C=CC=C'), min:(-99999, '')
[0.17902445793151855] Updated in round 18! max:(0.2857142857142857, 'C#CC#Cc1ccc2ccccc2c1C(C=C)=C(C#C)C=CC=C'), min:(-99999, '')
[0.18189191818237305] Updated in round 19! max:(0.30612244897959184, 'C#CC#Cc1ccc2ccccc2c1C(C=C)=C(C#C)C=CC=CC=C'), min:(-99999, '')
[0.21202754974365234] Updated in round 20! max:(0.30612244897959184, 'C#CC#Cc1ccc2ccccc2c1C(C=C)=C(C#C)C=CC=CC=C'), min:(-99999, '')
[0.21426868438720703] Updated in round 21! max:(0.30612244897959184, 'C#CC#Cc1ccc2ccccc2c1C(C=C)=C(C#C)C=CC=CC=C'), min:(-99999, '')
[0.21695804595947266] Updated in round 22! max:(0.32653061224489793, 'C#CC(C=CC=CC=C)=C(C=C)c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.25188612937927246] Updated in round 23! max:(0.32653061224489793, 'C#CC(C=CC=CC=C)=C(C=C)c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.253917932510376] Updated in round 24! max:(0.32653061224489793, 'C#CC(C=CC=CC=C)=C(C=C)c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.25809550285339355] Updated in round 25! max:(0.3469387755102041, 'C#Cc1ccccccccc1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.3036043643951416] Updated in round 26! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.346172571182251] Updated in round 27! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.3484334945678711] Updated in round 28! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.351947546005249] Updated in round 29! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.3546793460845947] Updated in round 30! max:(0.3877551020408163, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.40526700019836426] Updated in round 31! max:(0.3877551020408163, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.4082071781158447] Updated in round 32! max:(0.3877551020408163, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.41202878952026367] Updated in round 33! max:(0.40816326530612246, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.46941471099853516] Updated in round 34! max:(0.40816326530612246, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.47177910804748535] Updated in round 35! max:(0.40816326530612246, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.4755105972290039] Updated in round 36! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5391178131103516] Updated in round 37! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5428726673126221] Updated in round 38! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5466866493225098] Updated in round 39! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5491619110107422] Updated in round 40! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5525445938110352] Updated in round 41! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5550186634063721] Updated in round 42! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.558100700378418] Updated in round 43! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5614356994628906] Updated in round 44! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5643723011016846] Updated in round 45! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5668714046478271] Updated in round 46! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5702648162841797] Updated in round 47! max:(0.42857142857142855, 'C#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.5736343860626221] Updated in round 48! max:(0.4489795918367347, 'C#CC#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[0.641343355178833] Updated in round 49! max:(0.46938775510204084, 'C#CC#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=CC=C'), min:(-99999, '')
[0.7197818756103516] Updated in round 50! max:(0.46938775510204084, 'C#CC#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=CC=C'), min:(-99999, '')
[0.7229208946228027] Updated in round 51! max:(0.46938775510204084, 'C#CC#CC=CC=C(C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=CC=C'), min:(-99999, '')
[0.7271230220794678] Updated in round 52! max:(0.4897959183673469, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.8132412433624268] Updated in round 53! max:(0.4897959183673469, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.8170912265777588] Updated in round 54! max:(0.4897959183673469, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.8203833103179932] Updated in round 55! max:(0.4897959183673469, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.8237438201904297] Updated in round 56! max:(0.4897959183673469, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.827526330947876] Updated in round 57! max:(0.5102040816326531, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.9277873039245605] Updated in round 58! max:(0.5102040816326531, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.9315860271453857] Updated in round 59! max:(0.5102040816326531, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.9355378150939941] Updated in round 60! max:(0.5102040816326531, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.9384207725524902] Updated in round 61! max:(0.5102040816326531, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=CC=C)=CC=CC#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.9423878192901611] Updated in round 62! max:(0.5306122448979592, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccccc2C=CC#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[1.0489392280578613] Updated in round 63! max:(0.5306122448979592, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccccc2C=CC#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[1.0520620346069336] Updated in round 64! max:(0.5306122448979592, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccccc2C=CC#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[1.0561554431915283] Updated in round 65! max:(0.5510204081632653, 'C#CC=CC=CC#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[1.1733472347259521] Updated in round 66! max:(0.5714285714285714, 'C#CC=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.3018083572387695] Updated in round 67! max:(0.5714285714285714, 'C#CC=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.305060625076294] Updated in round 68! max:(0.5714285714285714, 'C#CC=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.3088302612304688] Updated in round 69! max:(0.5714285714285714, 'C#CC=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.3126306533813477] Updated in round 70! max:(0.5714285714285714, 'C#CC=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.316436767578125] Updated in round 71! max:(0.5714285714285714, 'C#CC=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.3201992511749268] Updated in round 72! max:(0.5714285714285714, 'C#CC=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.323974847793579] Updated in round 73! max:(0.5918367346938775, 'C#CC(C=C)=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.4659788608551025] Updated in round 74! max:(0.5918367346938775, 'C#CC(C=C)=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.4704139232635498] Updated in round 75! max:(0.5918367346938775, 'C#CC(C=C)=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.473778247833252] Updated in round 76! max:(0.5918367346938775, 'C#CC(C=C)=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.4771625995635986] Updated in round 77! max:(0.5918367346938775, 'C#CC(C=C)=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.4806020259857178] Updated in round 78! max:(0.5918367346938775, 'C#CC(C=C)=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.4840099811553955] Updated in round 79! max:(0.5918367346938775, 'C#CC(C=C)=CC=C(C#CC#CC=Cc1ccccc1C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12)C=C'), min:(-99999, '')
[1.488307237625122] Updated in round 80! max:(0.6122448979591837, 'C=CC1=CC=C(C=C)C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#Cc2ccccc2C=CC#CC#C1'), min:(-99999, '')
[1.6481664180755615] Updated in round 81! max:(0.6122448979591837, 'C=CC1=CC=C(C=C)C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#Cc2ccccc2C=CC#CC#C1'), min:(-99999, '')
[1.6536462306976318] Updated in round 82! max:(0.6122448979591837, 'C=CC1=CC=C(C=C)C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#Cc2ccccc2C=CC#CC#C1'), min:(-99999, '')
[1.6597607135772705] Updated in round 83! max:(0.6326530612244898, 'C=CC1=CC=C(C=C)C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#Cc2ccccc2C=C(C=C)C#CC#C1'), min:(-99999, '')
[1.834285020828247] Updated in round 84! max:(0.6530612244897959, 'C=CC=CC1=CC=C(C=C)C#CC#CC(C=C)=Cc2ccccc2C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#C1'), min:(-99999, '')
[2.0306005477905273] Updated in round 85! max:(0.6530612244897959, 'C=CC=CC1=CC=C(C=C)C#CC#CC(C=C)=Cc2ccccc2C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#C1'), min:(-99999, '')
[2.0371079444885254] Updated in round 86! max:(0.6530612244897959, 'C=CC=CC1=CC=C(C=C)C#CC#CC(C=C)=Cc2ccccc2C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#C1'), min:(-99999, '')
[2.042351722717285] Updated in round 87! max:(0.6530612244897959, 'C=CC=CC1=CC=C(C=C)C#CC#CC(C=C)=Cc2ccccc2C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#C1'), min:(-99999, '')
