[6.866455078125e-05]Start running EvoMol from [H][H]...
[0.0014793872833251953] Updated in round 1! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.009235858917236328] Updated in round 2! max:(0.16326530612244897, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.027945280075073242] Updated in round 3! max:(0.16326530612244897, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.032102346420288086] Updated in round 4! max:(0.22448979591836735, 'c1ccc(-c2cccc3ccccc23)cc1'), min:(-99999, '')
[0.062056779861450195] Updated in round 5! max:(0.2653061224489796, 'c1ccc2c(c1)ccc1ccc3ccccc3c12'), min:(-99999, '')
[0.09834933280944824] Updated in round 6! max:(0.2857142857142857, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1'), min:(-99999, '')
[0.13936519622802734] Updated in round 7! max:(0.2857142857142857, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1'), min:(-99999, '')
[0.14537620544433594] Updated in round 8! max:(0.2857142857142857, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1'), min:(-99999, '')
[0.15078425407409668] Updated in round 9! max:(0.2857142857142857, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1'), min:(-99999, '')
[0.1570267677307129] Updated in round 10! max:(0.3469387755102041, 'C=Cc1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1'), min:(-99999, '')
[0.2159111499786377] Updated in round 11! max:(0.3877551020408163, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c12'), min:(-99999, '')
[0.2876408100128174] Updated in round 12! max:(0.3877551020408163, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c12'), min:(-99999, '')
[0.2942953109741211] Updated in round 13! max:(0.3877551020408163, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c12'), min:(-99999, '')
[0.30061888694763184] Updated in round 14! max:(0.3877551020408163, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c12'), min:(-99999, '')
[0.30860257148742676] Updated in round 15! max:(0.3877551020408163, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c12'), min:(-99999, '')
[0.3157169818878174] Updated in round 16! max:(0.40816326530612246, 'C=Cc1cccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c12'), min:(-99999, '')
[0.3996002674102783] Updated in round 17! max:(0.40816326530612246, 'C=Cc1cccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c12'), min:(-99999, '')
[0.4092442989349365] Updated in round 18! max:(0.40816326530612246, 'C=Cc1cccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c12'), min:(-99999, '')
[0.4180619716644287] Updated in round 19! max:(0.40816326530612246, 'C=Cc1cccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c12'), min:(-99999, '')
[0.42433762550354004] Updated in round 20! max:(0.40816326530612246, 'C=Cc1cccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c12'), min:(-99999, '')
[0.43744754791259766] Updated in round 21! max:(0.42857142857142855, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1C=C'), min:(-99999, '')
[0.5328238010406494] Updated in round 22! max:(0.42857142857142855, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1C=C'), min:(-99999, '')
[0.5439908504486084] Updated in round 23! max:(0.42857142857142855, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1C=C'), min:(-99999, '')
[0.553596019744873] Updated in round 24! max:(0.42857142857142855, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1C=C'), min:(-99999, '')
[0.5656225681304932] Updated in round 25! max:(0.5102040816326531, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c2c1C=Cc1ccccc1'), min:(-99999, '')
[0.7250127792358398] Updated in round 26! max:(0.5306122448979592, 'C=CC(=Cc1ccccc1)c1c(C=C)ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c12'), min:(-99999, '')
[0.8917546272277832] Updated in round 27! max:(0.5918367346938775, 'C=CC(=Cc1cccc2ccccc12)c1c(C=C)ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c12'), min:(-99999, '')
[1.0952889919281006] Updated in round 28! max:(0.5918367346938775, 'C=CC(=Cc1cccc2ccccc12)c1c(C=C)ccc2ccc3ccc4ccc5ccc6ccccc6c5c4c3c12'), min:(-99999, '')
[1.1070256233215332] Updated in round 29! max:(0.6122448979591837, 'C=c1ccc2ccc3ccc4ccc5ccc6ccc7ccccc7c6c5c4c3c2c1=Cc1cccc2ccccc12'), min:(-99999, '')
[1.3178179264068604] Updated in round 30! max:(0.6122448979591837, 'C=c1ccc2ccc3ccc4ccc5ccc6ccc7ccccc7c6c5c4c3c2c1=Cc1cccc2ccccc12'), min:(-99999, '')
[1.3424956798553467] Updated in round 31! max:(0.6326530612244898, 'C=Cc1ccc2cccc(C=c3c(=C)ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c34)c2c1'), min:(-99999, '')
[1.5787155628204346] Updated in round 32! max:(0.6938775510204082, 'C=Cc1ccc2cccc(C=c3c(=C)ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c34)c2c1'), min:(-99999, '')
[1.8717963695526123] Updated in round 33! max:(0.6938775510204082, 'C=Cc1ccc2cccc(C=c3c(=C)ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c34)c2c1'), min:(-99999, '')
[1.8924732208251953] Updated in round 34! max:(0.6938775510204082, 'C=Cc1ccc2cccc(C=c3c(=C)ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c34)c2c1'), min:(-99999, '')
[1.9133422374725342] Updated in round 35! max:(0.6938775510204082, 'C=Cc1ccc2cccc(C=c3c(=C)ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c34)c2c1'), min:(-99999, '')
[1.941627025604248] Updated in round 36! max:(0.6938775510204082, 'C=Cc1ccc2cccc(C=c3c(=C)ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c34)c2c1'), min:(-99999, '')
[1.9580512046813965] Updated in round 37! max:(0.6938775510204082, 'C=Cc1ccc2cccc(C=c3c(=C)ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c34)c2c1'), min:(-99999, '')
