[6.699562072753906e-05]Start running EvoMol from [H][H]...
[0.0009486675262451172] Updated in round 1! max:(0.02040816326530612, 'C=C'), min:(-99999, '')
[0.0017545223236083984] Updated in round 2! max:(0.04081632653061224, 'C=CC=C'), min:(-99999, '')
[0.0039675235748291016] Updated in round 3! max:(0.061224489795918366, 'C=CC=CC=C'), min:(-99999, '')
[0.0075876712799072266] Updated in round 4! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.013561248779296875] Updated in round 5! max:(0.10204081632653061, 'C=c1ccccc1=C'), min:(-99999, '')
[0.01837635040283203] Updated in round 6! max:(0.12244897959183673, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.024840116500854492] Updated in round 7! max:(0.12244897959183673, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.028618335723876953] Updated in round 8! max:(0.14285714285714285, 'C=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.03696918487548828] Updated in round 9! max:(0.16326530612244897, 'C=CC=c1ccc(C=C)c(C=C)c1=C'), min:(-99999, '')
[0.04821920394897461] Updated in round 10! max:(0.1836734693877551, 'C=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.061570167541503906] Updated in round 11! max:(0.20408163265306123, 'C=CC=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.07829689979553223] Updated in round 12! max:(0.20408163265306123, 'C=CC=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.08267021179199219] Updated in round 13! max:(0.22448979591836735, 'C=CC=CC=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.10567808151245117] Updated in round 14! max:(0.24489795918367346, 'c1ccccc2c(ccc1)ccc1ccccc12'), min:(-99999, '')
[0.1319444179534912] Updated in round 15! max:(0.2653061224489796, 'C=Cc1cccccc2ccc3ccccc3c2cc1'), min:(-99999, '')
[0.1644306182861328] Updated in round 16! max:(0.2653061224489796, 'C=Cc1cccccc2ccc3ccccc3c2cc1'), min:(-99999, '')
[0.17041277885437012] Updated in round 17! max:(0.2653061224489796, 'C=Cc1cccccc2ccc3ccccc3c2cc1'), min:(-99999, '')
[0.17673277854919434] Updated in round 18! max:(0.2857142857142857, 'C=Cc1cccccc2ccc3ccccc3c2cc1C=C'), min:(-99999, '')
[0.2166121006011963] Updated in round 19! max:(0.2857142857142857, 'C=Cc1cccccc2ccc3ccccc3c2cc1C=C'), min:(-99999, '')
[0.22058749198913574] Updated in round 20! max:(0.2857142857142857, 'C=Cc1cccccc2ccc3ccccc3c2cc1C=C'), min:(-99999, '')
[0.2268202304840088] Updated in round 21! max:(0.2857142857142857, 'C=Cc1cccccc2ccc3ccccc3c2cc1C=C'), min:(-99999, '')
[0.23166584968566895] Updated in round 22! max:(0.30612244897959184, 'C=CC=Cc1cc2c(cccccc1C=C)ccc1ccccc12'), min:(-99999, '')
[0.2790849208831787] Updated in round 23! max:(0.32653061224489793, 'C=CC=Cc1cc2c(cccccc1C=C)ccc1cccc(C=C)c12'), min:(-99999, '')
[0.33350682258605957] Updated in round 24! max:(0.3469387755102041, 'C=Cc1ccc2cccccc3ccc4cccc(C=C)c4c3cc2c1'), min:(-99999, '')
[0.3903985023498535] Updated in round 25! max:(0.3469387755102041, 'C=Cc1ccc2cccccc3ccc4cccc(C=C)c4c3cc2c1'), min:(-99999, '')
[0.3977193832397461] Updated in round 26! max:(0.3469387755102041, 'C=Cc1ccc2cccccc3ccc4cccc(C=C)c4c3cc2c1'), min:(-99999, '')
[0.4051995277404785] Updated in round 27! max:(0.3469387755102041, 'C=Cc1ccc2cccccc3ccc4cccc(C=C)c4c3cc2c1'), min:(-99999, '')
[0.4164540767669678] Updated in round 28! max:(0.3673469387755102, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)cc4cc3c12'), min:(-99999, '')
[0.48020100593566895] Updated in round 29! max:(0.3673469387755102, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)cc4cc3c12'), min:(-99999, '')
[0.49161219596862793] Updated in round 30! max:(0.3673469387755102, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)cc4cc3c12'), min:(-99999, '')
[0.5002627372741699] Updated in round 31! max:(0.3673469387755102, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)cc4cc3c12'), min:(-99999, '')
[0.5096132755279541] Updated in round 32! max:(0.3673469387755102, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)cc4cc3c12'), min:(-99999, '')
[0.524010419845581] Updated in round 33! max:(0.3673469387755102, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)cc4cc3c12'), min:(-99999, '')
[0.5302681922912598] Updated in round 34! max:(0.3673469387755102, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)cc4cc3c12'), min:(-99999, '')
[0.539818286895752] Updated in round 35! max:(0.3877551020408163, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)c(C=C)c4cc3c12'), min:(-99999, '')
[0.612328290939331] Updated in round 36! max:(0.3877551020408163, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)c(C=C)c4cc3c12'), min:(-99999, '')
[0.6228635311126709] Updated in round 37! max:(0.3877551020408163, 'C=CC(=C)c1cccc2ccc3cccccc4ccc(C=C)c(C=C)c4cc3c12'), min:(-99999, '')
[0.6376256942749023] Updated in round 38! max:(0.40816326530612246, 'C=CC=C(C=C)c1cccc2ccc3cccccc4ccc(C=C)c(C=C)c4cc3c12'), min:(-99999, '')
[0.7312991619110107] Updated in round 39! max:(0.40816326530612246, 'C=CC=C(C=C)c1cccc2ccc3cccccc4ccc(C=C)c(C=C)c4cc3c12'), min:(-99999, '')
[0.7519474029541016] Updated in round 40! max:(0.40816326530612246, 'C=CC=C(C=C)c1cccc2ccc3cccccc4ccc(C=C)c(C=C)c4cc3c12'), min:(-99999, '')
