[7.677078247070312e-05]Start running EvoMol from [H][H]...
[0.0014736652374267578] Updated in round 1! max:(0.07547169811320754, 'c1ccccc1'), min:(-99999, '')
[0.00941920280456543] Updated in round 2! max:(0.1509433962264151, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.029985904693603516] Updated in round 3! max:(0.18867924528301888, 'c1ccc2c(c1)ccc1ccccc12'), min:(-99999, '')
[0.0532989501953125] Updated in round 4! max:(0.18867924528301888, 'c1ccc2c(c1)ccc1ccccc12'), min:(-99999, '')
[0.05644822120666504] Updated in round 5! max:(0.24528301886792453, 'c1ccc2c(c1)ccc1c3ccccc3ccc21'), min:(-99999, '')
[0.09335660934448242] Updated in round 6! max:(0.32075471698113206, 'c1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1'), min:(-99999, '')
[0.15998315811157227] Updated in round 7! max:(0.32075471698113206, 'c1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1'), min:(-99999, '')
[0.16330242156982422] Updated in round 8! max:(0.32075471698113206, 'c1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1'), min:(-99999, '')
[0.16914629936218262] Updated in round 9! max:(0.33962264150943394, 'C=Cc1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1'), min:(-99999, '')
[0.24550509452819824] Updated in round 10! max:(0.33962264150943394, 'C=Cc1ccc(-c2ccc3c(ccc4c5ccccc5ccc34)c2)cc1'), min:(-99999, '')
[0.25296616554260254] Updated in round 11! max:(0.37735849056603776, 'c1ccc2cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc2c1'), min:(-99999, '')
[0.34355807304382324] Updated in round 12! max:(0.4528301886792453, 'c1ccc(-c2ccc3cc(-c4ccc5c(ccc6c7ccccc7ccc56)c4)ccc3c2)cc1'), min:(-99999, '')
[0.48979759216308594] Updated in round 13! max:(0.4528301886792453, 'c1ccc(-c2ccc3cc(-c4ccc5c(ccc6c7ccccc7ccc56)c4)ccc3c2)cc1'), min:(-99999, '')
[0.49503469467163086] Updated in round 14! max:(0.4528301886792453, 'c1ccc(-c2ccc3cc(-c4ccc5c(ccc6c7ccccc7ccc56)c4)ccc3c2)cc1'), min:(-99999, '')
[0.500913143157959] Updated in round 15! max:(0.4716981132075472, 'C=Cc1c(-c2ccccc2)ccc2cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc12'), min:(-99999, '')
[0.6683957576751709] Updated in round 16! max:(0.4716981132075472, 'C=Cc1c(-c2ccccc2)ccc2cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc12'), min:(-99999, '')
[0.6722819805145264] Updated in round 17! max:(0.4716981132075472, 'C=Cc1c(-c2ccccc2)ccc2cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc12'), min:(-99999, '')
[0.6775221824645996] Updated in round 18! max:(0.4716981132075472, 'C=Cc1c(-c2ccccc2)ccc2cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc12'), min:(-99999, '')
[0.6824276447296143] Updated in round 19! max:(0.4716981132075472, 'C=Cc1c(-c2ccccc2)ccc2cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc12'), min:(-99999, '')
[0.6864438056945801] Updated in round 20! max:(0.4716981132075472, 'C=Cc1c(-c2ccccc2)ccc2cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc12'), min:(-99999, '')
[0.6921513080596924] Updated in round 21! max:(0.4716981132075472, 'C=Cc1c(-c2ccccc2)ccc2cc(-c3ccc4c(ccc5c6ccccc6ccc45)c3)ccc12'), min:(-99999, '')
