[8.177757263183594e-05]Start running EvoMol from [H][H]...
[0.0010941028594970703] Updated in round 1! max:(0.018867924528301886, 'C=C'), min:(-99999, '')
[0.001987934112548828] Updated in round 2! max:(0.03773584905660377, 'C=CC=C'), min:(-99999, '')
[0.004396677017211914] Updated in round 3! max:(0.05660377358490566, 'C=CC=CC=C'), min:(-99999, '')
[0.008131027221679688] Updated in round 4! max:(0.07547169811320754, 'c1ccccc1'), min:(-99999, '')
[0.014672994613647461] Updated in round 5! max:(0.09433962264150944, 'C=Cc1ccccc1'), min:(-99999, '')
[0.020774126052856445] Updated in round 6! max:(0.11320754716981132, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.028306245803833008] Updated in round 7! max:(0.1320754716981132, 'C=Cc1ccc(C=C)c(C=C)c1'), min:(-99999, '')
[0.03845572471618652] Updated in round 8! max:(0.1509433962264151, 'C=CC=Cc1ccc(C=C)c(C=C)c1'), min:(-99999, '')
[0.04971194267272949] Updated in round 9! max:(0.16981132075471697, 'C=CC=Cc1ccc(C=C)c(C=CC=C)c1'), min:(-99999, '')
[0.0650644302368164] Updated in round 10! max:(0.18867924528301888, 'C=CC=Cc1cc(C(C=C)=CC=C)ccc1C=C'), min:(-99999, '')
[0.08247160911560059] Updated in round 11! max:(0.18867924528301888, 'C=CC=Cc1cc(C(C=C)=CC=C)ccc1C=C'), min:(-99999, '')
[0.0854640007019043] Updated in round 12! max:(0.18867924528301888, 'C=CC=Cc1cc(C(C=C)=CC=C)ccc1C=C'), min:(-99999, '')
[0.08910584449768066] Updated in round 13! max:(0.18867924528301888, 'C=CC=Cc1cc(C(C=C)=CC=C)ccc1C=C'), min:(-99999, '')
[0.09165835380554199] Updated in round 14! max:(0.20754716981132076, 'C=CC=Cc1cc(-c2ccccc2)ccc1C=C'), min:(-99999, '')
[0.11323237419128418] Updated in round 15! max:(0.22641509433962265, 'C=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.13534259796142578] Updated in round 16! max:(0.24528301886792453, 'C=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.16548776626586914] Updated in round 17! max:(0.2641509433962264, 'C=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.19924163818359375] Updated in round 18! max:(0.2641509433962264, 'C=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.20216012001037598] Updated in round 19! max:(0.2641509433962264, 'C=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.20923614501953125] Updated in round 20! max:(0.2641509433962264, 'C=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.2172391414642334] Updated in round 21! max:(0.2641509433962264, 'C=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.22710108757019043] Updated in round 22! max:(0.2830188679245283, 'C=CC=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.27220821380615234] Updated in round 23! max:(0.2830188679245283, 'C=CC=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.2868161201477051] Updated in round 24! max:(0.2830188679245283, 'C=CC=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.307232141494751] Updated in round 25! max:(0.2830188679245283, 'C=CC=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.3173518180847168] Updated in round 26! max:(0.2830188679245283, 'C=CC=CC=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
[0.32770228385925293] Updated in round 27! max:(0.3018867924528302, 'C=CC=C(C=C)C=CC=c1ccc2cc(-c3ccccc3)ccc2c1=C'), min:(-99999, '')
