[9.107589721679688e-05]Start running EvoMol from [H][H]...
[0.0020172595977783203] Updated in round 1! max:(0.0547945205479452, 'c1ccccc1'), min:(-99999, '')
[0.010925769805908203] Updated in round 2! max:(0.1095890410958904, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.03396439552307129] Updated in round 3! max:(0.1643835616438356, 'c1ccc(-c2cccc(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.0747380256652832] Updated in round 4! max:(0.2191780821917808, 'c1ccc(-c2ccc(-c3cccc(-c4ccccc4)c3)cc2)cc1'), min:(-99999, '')
[0.14555883407592773] Updated in round 5! max:(0.2328767123287671, 'C=Cc1ccccc1-c1ccc(-c2cccc(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.22607111930847168] Updated in round 6! max:(0.273972602739726, 'C=Cc1ccccc1-c1ccc(-c2cccc(-c3ccc4ccccc4c3)c2)cc1'), min:(-99999, '')
[0.33423542976379395] Updated in round 7! max:(0.273972602739726, 'C=Cc1ccccc1-c1ccc(-c2cccc(-c3ccc4ccccc4c3)c2)cc1'), min:(-99999, '')
[0.3393712043762207] Updated in round 8! max:(0.2876712328767123, 'C=Cc1ccccc1-c1ccc(-c2cccc(-c3ccc4ccccc4c3)c2)c(C=C)c1'), min:(-99999, '')
[0.45510005950927734] Updated in round 9! max:(0.2876712328767123, 'C=Cc1ccccc1-c1ccc(-c2cccc(-c3ccc4ccccc4c3)c2)c(C=C)c1'), min:(-99999, '')
[0.45976901054382324] Updated in round 10! max:(0.2876712328767123, 'C=Cc1ccccc1-c1ccc(-c2cccc(-c3ccc4ccccc4c3)c2)c(C=C)c1'), min:(-99999, '')
[0.46683573722839355] Updated in round 11! max:(0.3287671232876712, 'C=Cc1ccccc1-c1ccc(-c2cccc(-c3ccc4ccc5ccccc5c4c3)c2)c(C=C)c1'), min:(-99999, '')
[0.6203098297119141] Updated in round 12! max:(0.3287671232876712, 'C=Cc1ccccc1-c1ccc(-c2cccc(-c3ccc4ccc5ccccc5c4c3)c2)c(C=C)c1'), min:(-99999, '')
[0.6263949871063232] Updated in round 13! max:(0.3835616438356164, 'C=Cc1cc(-c2cc(-c3ccccc3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[0.8566837310791016] Updated in round 14! max:(0.3835616438356164, 'C=Cc1cc(-c2cc(-c3ccccc3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[0.8642451763153076] Updated in round 15! max:(0.3835616438356164, 'C=Cc1cc(-c2cc(-c3ccccc3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[0.8730833530426025] Updated in round 16! max:(0.3835616438356164, 'C=Cc1cc(-c2cc(-c3ccccc3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[0.8856668472290039] Updated in round 17! max:(0.3835616438356164, 'C=Cc1cc(-c2cc(-c3ccccc3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[0.8945250511169434] Updated in round 18! max:(0.3835616438356164, 'C=Cc1cc(-c2cc(-c3ccccc3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[0.9055461883544922] Updated in round 19! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.1889057159423828] Updated in round 20! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.2015950679779053] Updated in round 21! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.2095708847045898] Updated in round 22! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.2192530632019043] Updated in round 23! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.2307875156402588] Updated in round 24! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.2387466430664062] Updated in round 25! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.245039939880371] Updated in round 26! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.2600412368774414] Updated in round 27! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.2672128677368164] Updated in round 28! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.27608060836792] Updated in round 29! max:(0.4246575342465753, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1cccc(-c2ccc3ccc4ccccc4c3c2)c1'), min:(-99999, '')
[1.284353494644165] Updated in round 30! max:(0.4520547945205479, 'C=Cc1cc(-c2cc(-c3ccc4ccccc4c3)ccc2C=C)ccc1-c1ccc2ccc3cc4ccc5ccccc5c4cc3c2c1'), min:(-99999, '')
