[8.225440979003906e-05]Start running EvoMol from [H][H]...
[0.0010211467742919922] Updated in round 1! max:(0.0136986301369863, 'C=C'), min:(-99999, '')
[0.001986980438232422] Updated in round 2! max:(0.0273972602739726, 'C=CC=C'), min:(-99999, '')
[0.005277395248413086] Updated in round 3! max:(0.0410958904109589, 'C=CC=CC=C'), min:(-99999, '')
[0.01026153564453125] Updated in round 4! max:(0.0547945205479452, 'c1ccccc1'), min:(-99999, '')
[0.016981840133666992] Updated in round 5! max:(0.0684931506849315, 'C=c1ccccc1=C'), min:(-99999, '')
[0.022419452667236328] Updated in round 6! max:(0.0821917808219178, 'C=Cc1ccc(=C)c(=C)c1'), min:(-99999, '')
[0.030136823654174805] Updated in round 7! max:(0.0958904109589041, 'C=CC=Cc1ccc(=C)c(=C)c1'), min:(-99999, '')
[0.039290428161621094] Updated in round 8! max:(0.1095890410958904, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.04934334754943848] Updated in round 9! max:(0.1095890410958904, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.054261207580566406] Updated in round 10! max:(0.1232876712328767, 'C=CC=Cc1ccc(=CC=C)c(=C)c1C=C'), min:(-99999, '')
[0.06813955307006836] Updated in round 11! max:(0.1232876712328767, 'C=CC=Cc1ccc(=CC=C)c(=C)c1C=C'), min:(-99999, '')
[0.0707550048828125] Updated in round 12! max:(0.1232876712328767, 'C=CC=Cc1ccc(=CC=C)c(=C)c1C=C'), min:(-99999, '')
[0.07468509674072266] Updated in round 13! max:(0.136986301369863, 'C=CC=Cc1ccc(=CC=C)c(=CC=C)c1C=C'), min:(-99999, '')
[0.09237360954284668] Updated in round 14! max:(0.1506849315068493, 'C=CC=CC=c1c(C=C)c(C=CC=C)ccc1=CC=C'), min:(-99999, '')
[0.11613345146179199] Updated in round 15! max:(0.1643835616438356, 'C=CC=CC=c1c(=CC=C)ccc2cc(C=C)ccc12'), min:(-99999, '')
[0.1407792568206787] Updated in round 16! max:(0.1643835616438356, 'C=CC=CC=c1c(=CC=C)ccc2cc(C=C)ccc12'), min:(-99999, '')
[0.145035982131958] Updated in round 17! max:(0.1643835616438356, 'C=CC=CC=c1c(=CC=C)ccc2cc(C=C)ccc12'), min:(-99999, '')
[0.1500227451324463] Updated in round 18! max:(0.1643835616438356, 'C=CC=CC=c1c(=CC=C)ccc2cc(C=C)ccc12'), min:(-99999, '')
[0.15497279167175293] Updated in round 19! max:(0.1643835616438356, 'C=CC=CC=c1c(=CC=C)ccc2cc(C=C)ccc12'), min:(-99999, '')
[0.16251063346862793] Updated in round 20! max:(0.1780821917808219, 'C=CC=CC=c1ccc2cc(C=C)ccc2c1=CC=CC=C'), min:(-99999, '')
[0.19378209114074707] Updated in round 21! max:(0.1780821917808219, 'C=CC=CC=c1ccc2cc(C=C)ccc2c1=CC=CC=C'), min:(-99999, '')
[0.1997075080871582] Updated in round 22! max:(0.1780821917808219, 'C=CC=CC=c1ccc2cc(C=C)ccc2c1=CC=CC=C'), min:(-99999, '')
[0.20709466934204102] Updated in round 23! max:(0.1917808219178082, 'C=Cc1cccccc2c(cc1)ccc1cc(C=C)ccc12'), min:(-99999, '')
[0.2516469955444336] Updated in round 24! max:(0.1917808219178082, 'C=Cc1cccccc2c(cc1)ccc1cc(C=C)ccc12'), min:(-99999, '')
[0.2572500705718994] Updated in round 25! max:(0.1917808219178082, 'C=Cc1cccccc2c(cc1)ccc1cc(C=C)ccc12'), min:(-99999, '')
[0.2642362117767334] Updated in round 26! max:(0.1917808219178082, 'C=Cc1cccccc2c(cc1)ccc1cc(C=C)ccc12'), min:(-99999, '')
[0.2725350856781006] Updated in round 27! max:(0.2054794520547945, 'C=Cc1ccc2c(ccc3cc4c(C=C)cccc4cc32)c1'), min:(-99999, '')
[0.3084702491760254] Updated in round 28! max:(0.2054794520547945, 'C=Cc1ccc2c(ccc3cc4c(C=C)cccc4cc32)c1'), min:(-99999, '')
[0.31314826011657715] Updated in round 29! max:(0.2054794520547945, 'C=Cc1ccc2c(ccc3cc4c(C=C)cccc4cc32)c1'), min:(-99999, '')
[0.3213484287261963] Updated in round 30! max:(0.2191780821917808, 'C=CC=Cc1cccc2cc3c(ccc4cc(C=C)ccc43)cc12'), min:(-99999, '')
[0.3661034107208252] Updated in round 31! max:(0.2191780821917808, 'C=CC=Cc1cccc2cc3c(ccc4cc(C=C)ccc43)cc12'), min:(-99999, '')
[0.373929500579834] Updated in round 32! max:(0.2328767123287671, 'C=CC(=C)C=Cc1cccc2cc3c(ccc4cc(C=C)ccc43)cc12'), min:(-99999, '')
[0.4264552593231201] Updated in round 33! max:(0.2465753424657534, 'C=CC=Cc1ccc2c(ccc3cc4c(C=CC(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[0.4896535873413086] Updated in round 34! max:(0.2602739726027397, 'C=CC=CC=Cc1ccc2c(ccc3cc4c(C=CC(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[0.5725345611572266] Updated in round 35! max:(0.2602739726027397, 'C=CC=CC=Cc1ccc2c(ccc3cc4c(C=CC(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[0.5910451412200928] Updated in round 36! max:(0.273972602739726, 'C=CC=CC=CC=Cc1ccc2c(ccc3cc4c(C=CC(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[0.6917650699615479] Updated in round 37! max:(0.2876712328767123, 'C=CC=CC=C(C=C)C=Cc1ccc2c(ccc3cc4c(C=CC(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[0.8003902435302734] Updated in round 38! max:(0.2876712328767123, 'C=CC=CC=C(C=C)C=Cc1ccc2c(ccc3cc4c(C=CC(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[0.8285048007965088] Updated in round 39! max:(0.3013698630136986, 'C=CC=CC=C(C=C)C=Cc1ccc2c(ccc3cc4c(C=C(C=C)C(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[0.9366054534912109] Updated in round 40! max:(0.3013698630136986, 'C=CC=CC=C(C=C)C=Cc1ccc2c(ccc3cc4c(C=C(C=C)C(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[0.956733226776123] Updated in round 41! max:(0.3013698630136986, 'C=CC=CC=C(C=C)C=Cc1ccc2c(ccc3cc4c(C=C(C=C)C(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[0.9730823040008545] Updated in round 42! max:(0.3150684931506849, 'C=CC=C(C=C)C=C(C=C)C=Cc1ccc2c(ccc3cc4c(C=C(C=C)C(=C)C=C)cccc4cc32)c1'), min:(-99999, '')
[1.0929450988769531] Updated in round 43! max:(0.3287671232876712, 'C=CC=C(C=C)C=C(C=C)C=Cc1ccc2c(ccc3cc4c(C=c5ccccc5=C)cccc4cc32)c1'), min:(-99999, '')
[1.2215135097503662] Updated in round 44! max:(0.3287671232876712, 'C=CC=C(C=C)C=C(C=C)C=Cc1ccc2c(ccc3cc4c(C=c5ccccc5=C)cccc4cc32)c1'), min:(-99999, '')
[1.2459516525268555] Updated in round 45! max:(0.3424657534246575, 'C=CC=C(C=C)C=c1ccc2cc3ccc4cc5c(C=c6ccccc6=C)cccc5cc4c3cc2c1=C'), min:(-99999, '')
[1.3796710968017578] Updated in round 46! max:(0.3424657534246575, 'C=CC=C(C=C)C=c1ccc2cc3ccc4cc5c(C=c6ccccc6=C)cccc5cc4c3cc2c1=C'), min:(-99999, '')
[1.3967843055725098] Updated in round 47! max:(0.3424657534246575, 'C=CC=C(C=C)C=c1ccc2cc3ccc4cc5c(C=c6ccccc6=C)cccc5cc4c3cc2c1=C'), min:(-99999, '')
[1.4068057537078857] Updated in round 48! max:(0.3424657534246575, 'C=CC=C(C=C)C=c1ccc2cc3ccc4cc5c(C=c6ccccc6=C)cccc5cc4c3cc2c1=C'), min:(-99999, '')
[1.4179189205169678] Updated in round 49! max:(0.3424657534246575, 'C=CC=C(C=C)C=c1ccc2cc3ccc4cc5c(C=c6ccccc6=C)cccc5cc4c3cc2c1=C'), min:(-99999, '')
[1.4255034923553467] Updated in round 50! max:(0.3424657534246575, 'C=CC=C(C=C)C=c1ccc2cc3ccc4cc5c(C=c6ccccc6=C)cccc5cc4c3cc2c1=C'), min:(-99999, '')
[1.4368631839752197] Updated in round 51! max:(0.3561643835616438, 'C=Cc1cc2ccc3cc4ccc5cc6c(C=c7ccccc7=C)cccc6cc5c4cc3c2cc1C=C'), min:(-99999, '')
[1.568361520767212] Updated in round 52! max:(0.3561643835616438, 'C=Cc1cc2ccc3cc4ccc5cc6c(C=c7ccccc7=C)cccc6cc5c4cc3c2cc1C=C'), min:(-99999, '')
[1.5764784812927246] Updated in round 53! max:(0.3561643835616438, 'C=Cc1cc2ccc3cc4ccc5cc6c(C=c7ccccc7=C)cccc6cc5c4cc3c2cc1C=C'), min:(-99999, '')
[1.5863497257232666] Updated in round 54! max:(0.3698630136986301, 'C=CC=Cc1cc2c(ccc3cc4ccc5cc6c(C=c7ccccc7=C)cccc6cc5c4cc32)cc1C=C'), min:(-99999, '')
[1.7368988990783691] Updated in round 55! max:(0.3698630136986301, 'C=CC=Cc1cc2c(ccc3cc4ccc5cc6c(C=c7ccccc7=C)cccc6cc5c4cc32)cc1C=C'), min:(-99999, '')
[1.7466771602630615] Updated in round 56! max:(0.3698630136986301, 'C=CC=Cc1cc2c(ccc3cc4ccc5cc6c(C=c7ccccc7=C)cccc6cc5c4cc32)cc1C=C'), min:(-99999, '')
[1.7546954154968262] Updated in round 57! max:(0.3698630136986301, 'C=CC=Cc1cc2c(ccc3cc4ccc5cc6c(C=c7ccccc7=C)cccc6cc5c4cc32)cc1C=C'), min:(-99999, '')
[1.7645697593688965] Updated in round 58! max:(0.3835616438356164, 'C=CC=Cc1cc2c(ccc3cc4ccc5cc6c(ccc7cc8ccccc8cc76)cc5c4cc32)cc1C=C'), min:(-99999, '')
[1.9354243278503418] Updated in round 59! max:(0.3835616438356164, 'C=CC=Cc1cc2c(ccc3cc4ccc5cc6c(ccc7cc8ccccc8cc76)cc5c4cc32)cc1C=C'), min:(-99999, '')
[1.9508838653564453] Updated in round 60! max:(0.3835616438356164, 'C=CC=Cc1cc2c(ccc3cc4ccc5cc6c(ccc7cc8ccccc8cc76)cc5c4cc32)cc1C=C'), min:(-99999, '')
[1.964569330215454] Updated in round 61! max:(0.3972602739726027, 'C=CC=Cc1cc2ccc3cc4ccc5cc6c(ccc7cc8ccccc8cc76)cc5c4cc3c2cc1C=CC=C'), min:(-99999, '')
[2.1634178161621094] Updated in round 62! max:(0.3972602739726027, 'C=CC=Cc1cc2ccc3cc4ccc5cc6c(ccc7cc8ccccc8cc76)cc5c4cc3c2cc1C=CC=C'), min:(-99999, '')
