[0.00011515617370605469]Start running EvoMol from [H][H]...
[0.0022475719451904297] Updated in round 1! max:(0.026490066225165563, 'c1ccccc1'), min:(-99999, '')
[0.012301445007324219] Updated in round 2! max:(0.052980132450331126, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.033792972564697266] Updated in round 3! max:(0.07947019867549669, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.07324767112731934] Updated in round 4! max:(0.10596026490066225, 'c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.13917875289916992] Updated in round 5! max:(0.12582781456953643, 'c1ccc(-c2ccc(-c3ccc(-c4ccc5ccccc5c4)cc3)cc2)cc1'), min:(-99999, '')
[0.2365870475769043] Updated in round 6! max:(0.12582781456953643, 'c1ccc(-c2ccc(-c3ccc(-c4ccc5ccccc5c4)cc3)cc2)cc1'), min:(-99999, '')
[0.2526841163635254] Updated in round 7! max:(0.13245033112582782, 'C=Cc1ccc2cc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)ccc2c1'), min:(-99999, '')
[0.35132336616516113] Updated in round 8! max:(0.13245033112582782, 'C=Cc1ccc2cc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)ccc2c1'), min:(-99999, '')
[0.3657853603363037] Updated in round 9! max:(0.13245033112582782, 'C=Cc1ccc2cc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)ccc2c1'), min:(-99999, '')
[0.37847280502319336] Updated in round 10! max:(0.13245033112582782, 'C=Cc1ccc2cc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)ccc2c1'), min:(-99999, '')
[0.3939647674560547] Updated in round 11! max:(0.1456953642384106, 'c1ccc(-c2ccc(-c3ccc(-c4ccc5c(ccc6ccccc65)c4)cc3)cc2)cc1'), min:(-99999, '')
[0.5266509056091309] Updated in round 12! max:(0.16556291390728478, 'c1ccc(-c2ccc(-c3ccc(-c4ccc5c(ccc6cc7ccccc7cc65)c4)cc3)cc2)cc1'), min:(-99999, '')
[0.714907169342041] Updated in round 13! max:(0.17880794701986755, 'c1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[0.9501402378082275] Updated in round 14! max:(0.17880794701986755, 'c1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[0.9603962898254395] Updated in round 15! max:(0.18543046357615894, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[1.2663593292236328] Updated in round 16! max:(0.18543046357615894, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[1.2978544235229492] Updated in round 17! max:(0.18543046357615894, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[1.3236489295959473] Updated in round 18! max:(0.18543046357615894, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[1.3407340049743652] Updated in round 19! max:(0.18543046357615894, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[1.3608160018920898] Updated in round 20! max:(0.18543046357615894, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[1.3776195049285889] Updated in round 21! max:(0.18543046357615894, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[1.399622917175293] Updated in round 22! max:(0.18543046357615894, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[1.415806531906128] Updated in round 23! max:(0.18543046357615894, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)ccc43)c2)cc1'), min:(-99999, '')
[1.4363949298858643] Updated in round 24! max:(0.19205298013245034, 'C=Cc1ccc(-c2ccc3c(ccc4cc(-c5ccc6c(ccc7cc8ccccc8cc76)c5)c(C=C)cc43)c2)cc1'), min:(-99999, '')
[1.755735158920288] Updated in round 25! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.0972723960876465] Updated in round 26! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.1105167865753174] Updated in round 27! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.1253368854522705] Updated in round 28! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.1393957138061523] Updated in round 29! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.154078245162964] Updated in round 30! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.1657443046569824] Updated in round 31! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.183499336242676] Updated in round 32! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.2009286880493164] Updated in round 33! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.213510751724243] Updated in round 34! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.2298743724823] Updated in round 35! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.241783618927002] Updated in round 36! max:(0.2052980132450331, 'C=Cc1ccc2c(ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc32)c1'), min:(-99999, '')
[2.256300687789917] Updated in round 37! max:(0.2119205298013245, 'C=Cc1cc2ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc3c2cc1C=C'), min:(-99999, '')
[2.6076395511627197] Updated in round 38! max:(0.2119205298013245, 'C=Cc1cc2ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc3c2cc1C=C'), min:(-99999, '')
[2.6220552921295166] Updated in round 39! max:(0.2119205298013245, 'C=Cc1cc2ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc3c2cc1C=C'), min:(-99999, '')
[2.6370954513549805] Updated in round 40! max:(0.2119205298013245, 'C=Cc1cc2ccc3cc4c(ccc5cc(-c6ccc7c(ccc8cc9ccccc9cc87)c6)c(C=C)cc54)cc3c2cc1C=C'), min:(-99999, '')
