[0.00010037422180175781]Start running EvoMol from [H][H]...
[0.0024154186248779297] Updated in round 1! max:(0.006622516556291391, 'C=C'), min:(-99999, '')
[0.003801584243774414] Updated in round 2! max:(0.013245033112582781, 'C=CC=C'), min:(-99999, '')
[0.007913589477539062] Updated in round 3! max:(0.019867549668874173, 'C=CC=CC=C'), min:(-99999, '')
[0.012858390808105469] Updated in round 4! max:(0.026490066225165563, 'c1ccccc1'), min:(-99999, '')
[0.020200729370117188] Updated in round 5! max:(0.033112582781456956, 'C=Cc1ccccc1'), min:(-99999, '')
[0.028376102447509766] Updated in round 6! max:(0.039735099337748346, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.03879976272583008] Updated in round 7! max:(0.046357615894039736, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.05104207992553711] Updated in round 8! max:(0.052980132450331126, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.06565237045288086] Updated in round 9! max:(0.059602649006622516, 'C=Cc1ccc2c(C=C)cccc2c1'), min:(-99999, '')
[0.07966160774230957] Updated in round 10! max:(0.059602649006622516, 'C=Cc1ccc2c(C=C)cccc2c1'), min:(-99999, '')
[0.08530282974243164] Updated in round 11! max:(0.059602649006622516, 'C=Cc1ccc2c(C=C)cccc2c1'), min:(-99999, '')
[0.09336137771606445] Updated in round 12! max:(0.06622516556291391, 'C=CC=Cc1ccc2c(C=C)cccc2c1'), min:(-99999, '')
[0.11621356010437012] Updated in round 13! max:(0.0728476821192053, 'C=CC(=C)C=Cc1ccc2c(C=C)cccc2c1'), min:(-99999, '')
[0.1400907039642334] Updated in round 14! max:(0.07947019867549669, 'C=CC(=C)C=Cc1cc2cccc(C=C)c2cc1C=C'), min:(-99999, '')
[0.16527700424194336] Updated in round 15! max:(0.07947019867549669, 'C=CC(=C)C=Cc1cc2cccc(C=C)c2cc1C=C'), min:(-99999, '')
[0.16988754272460938] Updated in round 16! max:(0.07947019867549669, 'C=CC(=C)C=Cc1cc2cccc(C=C)c2cc1C=C'), min:(-99999, '')
[0.17603325843811035] Updated in round 17! max:(0.07947019867549669, 'C=CC(=C)C=Cc1cc2cccc(C=C)c2cc1C=C'), min:(-99999, '')
[0.18094277381896973] Updated in round 18! max:(0.07947019867549669, 'C=CC(=C)C=Cc1cc2cccc(C=C)c2cc1C=C'), min:(-99999, '')
[0.1932826042175293] Updated in round 19! max:(0.08609271523178808, 'C=CC=Cc1cccc2cc(C=CC(=C)C=C)c(C=C)cc12'), min:(-99999, '')
[0.22919034957885742] Updated in round 20! max:(0.09271523178807947, 'C=CC=Cc1cc2c(C=CC=C)cccc2cc1C=CC(=C)C=C'), min:(-99999, '')
[0.27151060104370117] Updated in round 21! max:(0.09933774834437085, 'C=CC=Cc1cc2c(C=CC=C)cccc2cc1C=CC(C=C)=CC=C'), min:(-99999, '')
[0.33273816108703613] Updated in round 22! max:(0.10596026490066225, 'C=CC=CC=Cc1cccc2cc(C=CC(C=C)=CC=C)c(C=CC=C)cc12'), min:(-99999, '')
[0.41486597061157227] Updated in round 23! max:(0.11258278145695365, 'C=CC=CC=Cc1cccc2cc(C=CC(C=C)=CC=CC=C)c(C=CC=C)cc12'), min:(-99999, '')
[0.5044229030609131] Updated in round 24! max:(0.11258278145695365, 'C=CC=CC=Cc1cccc2cc(C=CC(C=C)=CC=CC=C)c(C=CC=C)cc12'), min:(-99999, '')
[0.5252048969268799] Updated in round 25! max:(0.11258278145695365, 'C=CC=CC=Cc1cccc2cc(C=CC(C=C)=CC=CC=C)c(C=CC=C)cc12'), min:(-99999, '')
[0.5549042224884033] Updated in round 26! max:(0.11258278145695365, 'C=CC=CC=Cc1cccc2cc(C=CC(C=C)=CC=CC=C)c(C=CC=C)cc12'), min:(-99999, '')
[0.5737254619598389] Updated in round 27! max:(0.11258278145695365, 'C=CC=CC=Cc1cccc2cc(C=CC(C=C)=CC=CC=C)c(C=CC=C)cc12'), min:(-99999, '')
[0.5999641418457031] Updated in round 28! max:(0.11258278145695365, 'C=CC=CC=Cc1cccc2cc(C=CC(C=C)=CC=CC=C)c(C=CC=C)cc12'), min:(-99999, '')
[0.6322877407073975] Updated in round 29! max:(0.11258278145695365, 'C=CC=CC=Cc1cccc2cc(C=CC(C=C)=CC=CC=C)c(C=CC=C)cc12'), min:(-99999, '')
[0.6737709045410156] Updated in round 30! max:(0.11920529801324503, 'C=CC=CC=Cc1cccc2cc(C=CC(C=C)=CC=CC(=C)C=C)c(C=CC=C)cc12'), min:(-99999, '')
