[0.00011968612670898438]Start running EvoMol from [H][H]...
[0.0012369155883789062] Updated in round 1! max:(0.06557377049180328, 'c1ccccc1'), min:(-99999, '')
[0.00959157943725586] Updated in round 2! max:(0.13114754098360656, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.03135418891906738] Updated in round 3! max:(0.19672131147540983, 'c1ccc(-c2cccc(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.14365553855895996] Updated in round 4! max:(0.26229508196721313, 'c1ccc(-c2ccc(-c3cccc(-c4ccccc4)c3)cc2)cc1'), min:(-99999, '')
[0.41362929344177246] Updated in round 5! max:(0.32786885245901637, 'c1ccc(-c2ccc(-c3cc(-c4ccccc4)ccc3-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.7374167442321777] Updated in round 6! max:(0.3770491803278688, 'c1ccc(-c2ccc(-c3ccccc3)c(-c3ccc(-c4ccccc4)c4ccccc34)c2)cc1'), min:(-99999, '')
[1.4576423168182373] Updated in round 7! max:(0.4262295081967213, 'c1ccc(-c2ccc(-c3ccccc3)c(-c3ccc(-c4ccc5ccccc5c4)c4ccccc34)c2)cc1'), min:(-99999, '')
[5.94957423210144] Updated in round 8! max:(0.4918032786885246, 'c1ccc(-c2cccc(-c3ccc(-c4ccccc4)c(-c4ccc(-c5ccc6ccccc6c5)c5ccccc45)c3)c2)cc1'), min:(-99999, '')
[66.4190616607666] Updated in round 9! max:(0.4918032786885246, 'c1ccc(-c2cccc(-c3ccc(-c4ccccc4)c(-c4ccc(-c5ccc6ccccc6c5)c5ccccc45)c3)c2)cc1'), min:(-99999, '')
[121.04910683631897] Updated in round 10! max:(0.4918032786885246, 'c1ccc(-c2cccc(-c3ccc(-c4ccccc4)c(-c4ccc(-c5ccc6ccccc6c5)c5ccccc45)c3)c2)cc1'), min:(-99999, '')
[187.45448350906372] Updated in round 11! max:(0.4918032786885246, 'c1ccc(-c2cccc(-c3ccc(-c4ccccc4)c(-c4ccc(-c5ccc6ccccc6c5)c5ccccc45)c3)c2)cc1'), min:(-99999, '')
[257.38503527641296] Updated in round 12! max:(0.4918032786885246, 'c1ccc(-c2cccc(-c3ccc(-c4ccccc4)c(-c4ccc(-c5ccc6ccccc6c5)c5ccccc45)c3)c2)cc1'), min:(-99999, '')
[318.013708114624] Updated in round 13! max:(0.5245901639344263, 'c1ccc(-c2cccc(-c3ccc(-c4ccccc4)c(-c4cc5ccc6c7ccccc7ccc6c5c5ccccc45)c3)c2)cc1'), min:(-99999, '')
[350.50862073898315] Updated in round 14! max:(0.5409836065573771, 'c1ccc(-c2cccc(-c3ccc(-c4ccccc4)c4c3-c3cccc5c3c-4cc3ccc4c6ccccc6ccc4c35)c2)cc1'), min:(-99999, '')
[372.2895176410675] Updated in round 15! max:(0.5901639344262295, 'c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4ccccc4c3)c3c2-c2cc4ccc5c6ccccc6ccc5c4c4cccc-3c24)cc1'), min:(-99999, '')
[381.9572467803955] Updated in round 16! max:(0.6065573770491803, 'c1ccc(-c2cc(-c3ccc4c5cccc(c5)c5cc6c7ccccc7ccc6c6c5cc5c7c(cccc67)c3c45)cc3ccccc23)cc1'), min:(-99999, '')
[386.23097109794617] Updated in round 17! max:(0.6229508196721312, 'c1ccc2c(c1)-c1cccc3cc(-c4ccc5c6cccc(c6)c6cc7c8ccccc8ccc7c7c6cc6c8c(cccc78)c4c56)cc-2c13'), min:(-99999, '')
[391.2669794559479] Updated in round 18! max:(0.6229508196721312, 'c1ccc2c(c1)-c1cccc3cc(-c4ccc5c6cccc(c6)c6cc7c8ccccc8ccc7c7c6cc6c8c(cccc78)c4c56)cc-2c13'), min:(-99999, '')
[398.2396218776703] Updated in round 19! max:(0.639344262295082, 'c1ccc2c(c1)-c1cccc3cc(-c4ccc5c6cccc7c8cc9c%10ccccc%10ccc9c9c%10cccc%11c4c5c(c%11%10)c(c67)c89)cc-2c13'), min:(-99999, '')
[453.17415833473206] Updated in round 20! max:(0.639344262295082, 'c1ccc2c(c1)-c1cccc3cc(-c4ccc5c6cccc7c8cc9c%10ccccc%10ccc9c9c%10cccc%11c4c5c(c%11%10)c(c67)c89)cc-2c13'), min:(-99999, '')
[523.3571960926056] Updated in round 21! max:(0.6885245901639344, 'c1ccc2c(c1)-c1cccc3cc(-c4ccc5c6c7ccccc7cc7c8cc9c%10ccccc%10ccc9c9c%10cccc%11c4c5c(c%11%10)c(c89)c76)cc-2c13'), min:(-99999, '')
[562.8164682388306] Updated in round 22! max:(0.6885245901639344, 'c1ccc2c(c1)-c1cccc3cc(-c4ccc5c6c7ccccc7cc7c8cc9c%10ccccc%10ccc9c9c%10cccc%11c4c5c(c%11%10)c(c89)c76)cc-2c13'), min:(-99999, '')
[571.9759924411774] Updated in round 23! max:(0.6885245901639344, 'c1ccc2c(c1)-c1cccc3cc(-c4ccc5c6c7ccccc7cc7c8cc9c%10ccccc%10ccc9c9c%10cccc%11c4c5c(c%11%10)c(c89)c76)cc-2c13'), min:(-99999, '')
[580.2739803791046] Updated in round 24! max:(0.6885245901639344, 'c1ccc2c(c1)-c1cccc3cc(-c4ccc5c6c7ccccc7cc7c8cc9c%10ccccc%10ccc9c9c%10cccc%11c4c5c(c%11%10)c(c89)c76)cc-2c13'), min:(-99999, '')
