[9.369850158691406e-05]Start running EvoMol from [H][H]...
[0.0232241153717041] Updated in round 1! max:(0.06557377049180328, 'c1ccccc1'), min:(-99999, '')
[0.030319690704345703] Updated in round 2! max:(0.13114754098360656, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.052614450454711914] Updated in round 3! max:(0.19672131147540983, 'c1ccc(-c2cccc(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.130357027053833] Updated in round 4! max:(0.26229508196721313, 'c1ccc(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.29279065132141113] Updated in round 5! max:(0.26229508196721313, 'c1ccc(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.3468141555786133] Updated in round 6! max:(0.3114754098360656, 'c1ccc(-c2ccc(-c3ccc4ccccc4c3)c(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.916309118270874] Updated in round 7! max:(0.3114754098360656, 'c1ccc(-c2ccc(-c3ccc4ccccc4c3)c(-c3ccccc3)c2)cc1'), min:(-99999, '')
[1.2903470993041992] Updated in round 8! max:(0.3770491803278688, 'c1ccc(-c2cccc(-c3ccc(-c4ccc5ccccc5c4)c(-c4ccccc4)c3)c2)cc1'), min:(-99999, '')
[9.048751831054688] Updated in round 9! max:(0.39344262295081966, 'C=Cc1cc2ccccc2cc1-c1ccc(-c2cccc(-c3ccccc3)c2)cc1-c1ccccc1'), min:(-99999, '')
[9.74273133277893] Updated in round 10! max:(0.4098360655737705, 'C=Cc1ccc(-c2cc(-c3cccc(-c4ccccc4)c3)ccc2-c2cc3ccccc3cc2C=C)cc1'), min:(-99999, '')
[13.747844457626343] Updated in round 11! max:(0.4262295081967213, 'C=Cc1cc2ccc3cc2cc1-c1ccc(-c2cccc(-c4ccccc4)c2)cc1-c1ccc(cc1)C=C3'), min:(-99999, '')
