[9.298324584960938e-05]Start running EvoMol from [H][H]...
[0.059607505798339844] Updated in round 1! max:(0.01639344262295082, 'C=C'), min:(-99999, '')
[0.06042885780334473] Updated in round 2! max:(0.03278688524590164, 'C=CC=C'), min:(-99999, '')
[0.06238365173339844] Updated in round 3! max:(0.04918032786885246, 'C=CC=CC=C'), min:(-99999, '')
[0.06536221504211426] Updated in round 4! max:(0.06557377049180328, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.07013368606567383] Updated in round 5! max:(0.08196721311475409, 'C=c1ccccc1=C'), min:(-99999, '')
[0.07538390159606934] Updated in round 6! max:(0.09836065573770492, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.08271956443786621] Updated in round 7! max:(0.11475409836065574, 'C=c1cccc2c1=CC=C2'), min:(-99999, '')
[0.09007596969604492] Updated in round 8! max:(0.13114754098360656, 'C=Cc1ccc2c(c1=C)=CC=C2'), min:(-99999, '')
[0.10229969024658203] Updated in round 9! max:(0.14754098360655737, 'C=CC=c1c(C=C)ccc2c1=CC=C2'), min:(-99999, '')
[0.11859893798828125] Updated in round 10! max:(0.16393442622950818, 'C=CC=c1c(C=C)ccc2c1=CC=C2C=C'), min:(-99999, '')
[0.15064716339111328] Updated in round 11! max:(0.18032786885245902, 'C=CC=c1c(C(=C)C=C)ccc2c1=CC=C2C=C'), min:(-99999, '')
[0.21196508407592773] Updated in round 12! max:(0.18032786885245902, 'C=CC=c1c(C(=C)C=C)ccc2c1=CC=C2C=C'), min:(-99999, '')
[0.2430419921875] Updated in round 13! max:(0.19672131147540983, 'C=CC=CC1=CC=c2c1ccc(C(=C)C=C)c2=CC=C'), min:(-99999, '')
[0.3511049747467041] Updated in round 14! max:(0.21311475409836064, 'C=CC=CC1=CC=c2c1ccc1c2=C(C=C)C=C1C=C'), min:(-99999, '')
[0.47015857696533203] Updated in round 15! max:(0.21311475409836064, 'C=CC=CC1=CC=c2c1ccc1c2=C(C=C)C=C1C=C'), min:(-99999, '')
[0.5385434627532959] Updated in round 16! max:(0.22950819672131148, 'C=CC=CC1=Cc2ccc3c4c(ccc1c24)C(C=C)=C3'), min:(-99999, '')
[0.7730660438537598] Updated in round 17! max:(0.22950819672131148, 'C=CC=CC1=Cc2ccc3c4c(ccc1c24)C(C=C)=C3'), min:(-99999, '')
[1.0321004390716553] Updated in round 18! max:(0.2459016393442623, 'C=CC=CC1=C(C=C)c2ccc3c4c(ccc1c24)C(C=C)=C3'), min:(-99999, '')
[1.401489019393921] Updated in round 19! max:(0.26229508196721313, 'C=Cc1cc2ccc3c(C=C)c4ccc(=C)c5cc1c2c3c45'), min:(-99999, '')
[1.6498165130615234] Updated in round 20! max:(0.2786885245901639, 'C=Cc1cc2c(C=C)c3ccc(=C)c4cc5c(C=C)cc1c5c2c34'), min:(-99999, '')
[2.191348075866699] Updated in round 21! max:(0.29508196721311475, 'C=CC=Cc1cc2c(C=C)c3ccc(=C)c4cc5c(C=C)cc1c5c2c34'), min:(-99999, '')
[4.043880462646484] Updated in round 22! max:(0.3114754098360656, 'C=CC=Cc1cc2c(C=C)c3c(C=C)cc(=C)c4cc5c(C=C)cc1c5c2c34'), min:(-99999, '')
[7.056349754333496] Updated in round 23! max:(0.32786885245901637, 'C=CC=Cc1cc2c(C=C)c3c(C=C)c(C=C)c(=C)c4cc5c(C=C)cc1c5c2c34'), min:(-99999, '')
[10.139636278152466] Updated in round 24! max:(0.32786885245901637, 'C=CC=Cc1cc2c(C=C)c3c(C=C)c(C=C)c(=C)c4cc5c(C=C)cc1c5c2c34'), min:(-99999, '')
[11.408466815948486] Updated in round 25! max:(0.3442622950819672, 'C=CC=Cc1cc2c(C=C)c3c(C=C)c(C(=C)C=C)c(=C)c4cc5c(C=C)cc1c5c2c34'), min:(-99999, '')
[12.50384259223938] Updated in round 26! max:(0.36065573770491804, 'C=CC(=C)c1c(C=C)c2c(C=C)c3cc(C=C(C=C)C=C)c4cc(C=C)c5cc(c1=C)c2c3c45'), min:(-99999, '')
[16.931401014328003] Updated in round 27! max:(0.3770491803278688, 'C=CC=Cc1c(C(=C)C=C)c(=C)c2cc3c(C=C)cc4c(C=C(C=C)C=C)cc5c(C=C)c1c2c5c43'), min:(-99999, '')
[24.414998292922974] Updated in round 28! max:(0.39344262295081966, 'C=CC=Cc1c(C(=C)C=C)c(=C)c2cc3c(C=C)cc4c(C=C(C=C)C=C)c(C=C)c5c(C=C)c1c2c5c34'), min:(-99999, '')
[52.80302095413208] Updated in round 29! max:(0.39344262295081966, 'C=CC=Cc1c(C(=C)C=C)c(=C)c2cc3c(C=C)cc4c(C=C(C=C)C=C)c(C=C)c5c(C=C)c1c2c5c34'), min:(-99999, '')
[70.21517014503479] Updated in round 30! max:(0.39344262295081966, 'C=CC=Cc1c(C(=C)C=C)c(=C)c2cc3c(C=C)cc4c(C=C(C=C)C=C)c(C=C)c5c(C=C)c1c2c5c34'), min:(-99999, '')
[91.23353409767151] Updated in round 31! max:(0.4098360655737705, 'C=CC=Cc1c(C(=C)C=C)c(=C)c2cc3c(C=C)cc4c5c(=C(C=C)C=C)ccc5c5c(C=C)c1c2c5c34'), min:(-99999, '')
[96.23738074302673] Updated in round 32! max:(0.4098360655737705, 'C=CC=Cc1c(C(=C)C=C)c(=C)c2cc3c(C=C)cc4c5c(=C(C=C)C=C)ccc5c5c(C=C)c1c2c5c34'), min:(-99999, '')
[114.17148995399475] Updated in round 33! max:(0.4098360655737705, 'C=CC=Cc1c(C(=C)C=C)c(=C)c2cc3c(C=C)cc4c5c(=C(C=C)C=C)ccc5c5c(C=C)c1c2c5c34'), min:(-99999, '')
[126.80020713806152] Updated in round 34! max:(0.4262295081967213, 'C=CC=c1c(=C)c(=C)c2c(=C)c3cc4c(C=C)cc5c6c(=C(C=C)C=C)ccc6c6c(C=C)c(c12)c3c6c45'), min:(-99999, '')
[167.9402289390564] Updated in round 35! max:(0.4262295081967213, 'C=CC=c1c(=C)c(=C)c2c(=C)c3cc4c(C=C)cc5c6c(=C(C=C)C=C)ccc6c6c(C=C)c(c12)c3c6c45'), min:(-99999, '')
[173.89893174171448] Updated in round 36! max:(0.4426229508196721, 'C=CC=c1c(=C)c(=C)c2c(=C)c3cc4c(C=C)cc5c6c(=C7C=CC=C7)ccc6c6c(C=C)c(c12)c3c6c45'), min:(-99999, '')
[177.81948828697205] Updated in round 37! max:(0.4426229508196721, 'C=CC=c1c(=C)c(=C)c2c(=C)c3cc4c(C=C)cc5c6c(=C7C=CC=C7)ccc6c6c(C=C)c(c12)c3c6c45'), min:(-99999, '')
