[0.0001087188720703125]Start running EvoMol from [H][H]...
[0.024914264678955078] Updated in round 1! max:(0.01639344262295082, 'C=C'), min:(-99999, '')
[0.025800228118896484] Updated in round 2! max:(0.03278688524590164, 'C=CC=C'), min:(-99999, '')
[0.027983427047729492] Updated in round 3! max:(0.04918032786885246, 'C=CC=CC=C'), min:(-99999, '')
[0.031241655349731445] Updated in round 4! max:(0.06557377049180328, 'c1ccccc1'), min:(-99999, '')
[0.03791022300720215] Updated in round 5! max:(0.08196721311475409, 'C=Cc1ccccc1'), min:(-99999, '')
[0.04497957229614258] Updated in round 6! max:(0.09836065573770492, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.054200172424316406] Updated in round 7! max:(0.11475409836065574, 'C=CC(=C)c1ccccc1C=C'), min:(-99999, '')
[0.07034730911254883] Updated in round 8! max:(0.13114754098360656, 'C=c1ccc2ccccc2c1=C'), min:(-99999, '')
[0.08788418769836426] Updated in round 9! max:(0.14754098360655737, 'C=Cc1cc(=C)c(=C)c2ccccc12'), min:(-99999, '')
[0.10916709899902344] Updated in round 10! max:(0.16393442622950818, 'C=Cc1ccc2c(C=C)cc(=C)c(=C)c2c1'), min:(-99999, '')
[0.16199040412902832] Updated in round 11! max:(0.16393442622950818, 'C=Cc1ccc2c(C=C)cc(=C)c(=C)c2c1'), min:(-99999, '')
[0.19294095039367676] Updated in round 12! max:(0.18032786885245902, 'C=CC=Cc1cc(=C)c(=C)c2cc(C=C)ccc12'), min:(-99999, '')
[0.2994668483734131] Updated in round 13! max:(0.18032786885245902, 'C=CC=Cc1cc(=C)c(=C)c2cc(C=C)ccc12'), min:(-99999, '')
[0.3656919002532959] Updated in round 14! max:(0.19672131147540983, 'C=Cc1ccc2c(c1)c(=C)c(=C)c1ccccc12'), min:(-99999, '')
[0.3914628028869629] Updated in round 15! max:(0.19672131147540983, 'C=Cc1ccc2c(c1)c(=C)c(=C)c1ccccc12'), min:(-99999, '')
[0.40742039680480957] Updated in round 16! max:(0.21311475409836064, 'C=Cc1ccc2c(c1)c(=C)c(=C)c1c(C=C)cccc12'), min:(-99999, '')
[0.46642613410949707] Updated in round 17! max:(0.22950819672131148, 'C=CC=c1c(=C)c2c(C=C)cccc2c2ccc(C=C)cc12'), min:(-99999, '')
[0.6271688938140869] Updated in round 18! max:(0.2459016393442623, 'C=CC=c1c(=C)c2c(C=C)cc(C=C)cc2c2ccc(C=C)cc12'), min:(-99999, '')
[0.9629325866699219] Updated in round 19! max:(0.26229508196721313, 'C=CC(C=C)=c1c(=C)c2c(C=C)cc(C=C)cc2c2ccc(C=C)cc12'), min:(-99999, '')
[1.3665878772735596] Updated in round 20! max:(0.26229508196721313, 'C=CC(C=C)=c1c(=C)c2c(C=C)cc(C=C)cc2c2ccc(C=C)cc12'), min:(-99999, '')
[1.6951904296875] Updated in round 21! max:(0.2786885245901639, 'C=CC=Cc1ccc2c(c1)c(=C(C=C)C=C)c(=C)c1c(C=C)cc(C=C)cc12'), min:(-99999, '')
[2.1288979053497314] Updated in round 22! max:(0.29508196721311475, 'C=CC=Cc1ccc2c(c1)c(=C(C=C)C=C)c(=C)c1c(C=C)cc(C(=C)C=C)cc12'), min:(-99999, '')
[3.2023589611053467] Updated in round 23! max:(0.3114754098360656, 'C=CC=Cc1ccc2c(c1)c1c(C=C)cccc1c1c(C=C)cc(C(=C)C=C)cc21'), min:(-99999, '')
[5.999236822128296] Updated in round 24! max:(0.32786885245901637, 'C=CC(=C)c1cc(C=C)c2c(c1)c1ccc(C=C(C=C)C=C)cc1c1c(C=C)cccc12'), min:(-99999, '')
[7.436094284057617] Updated in round 25! max:(0.32786885245901637, 'C=CC(=C)c1cc(C=C)c2c(c1)c1ccc(C=C(C=C)C=C)cc1c1c(C=C)cccc12'), min:(-99999, '')
[8.382892370223999] Updated in round 26! max:(0.3442622950819672, 'C=CC=CC(=C)c1cc(C=C)c2c(c1)c1ccc(C=C(C=C)C=C)cc1c1c(C=C)cccc12'), min:(-99999, '')
[10.0765962600708] Updated in round 27! max:(0.36065573770491804, 'C=CC=CC(=C)c1cc(C=C)c2c(c1)c1ccc(C=C(C=C)C=C)cc1c1c(C=C)c(C=C)ccc21'), min:(-99999, '')
[12.676998138427734] Updated in round 28! max:(0.36065573770491804, 'C=CC=CC(=C)c1cc(C=C)c2c(c1)c1ccc(C=C(C=C)C=C)cc1c1c(C=C)c(C=C)ccc21'), min:(-99999, '')
[20.088576078414917] Updated in round 29! max:(0.36065573770491804, 'C=CC=CC(=C)c1cc(C=C)c2c(c1)c1ccc(C=C(C=C)C=C)cc1c1c(C=C)c(C=C)ccc21'), min:(-99999, '')
[24.685822248458862] Updated in round 30! max:(0.36065573770491804, 'C=CC=CC(=C)c1cc(C=C)c2c(c1)c1ccc(C=C(C=C)C=C)cc1c1c(C=C)c(C=C)ccc21'), min:(-99999, '')
[32.090598583221436] Updated in round 31! max:(0.3770491803278688, 'C=CC=CC(=C)c1cc(C=C)c2c(c1)c1ccc(C=C(C=C)C=C)cc1c1c(C=C)c(C(=C)C=C)ccc21'), min:(-99999, '')
[33.53735160827637] Updated in round 32! max:(0.39344262295081966, 'C=CC=CC(=CC=C)c1cc(C=C)c2c(c1)c1ccc(C=C(C=C)C=C)cc1c1c(C=C)c(C(=C)C=C)ccc21'), min:(-99999, '')
[47.037078619003296] Updated in round 33! max:(0.4098360655737705, 'C=CC=C1C=C(C=C)c2c1cc1c3ccc(C=C(C=C)C=C)cc3c3c(C=C)c(C(=C)C=C)ccc3c1c2C=C'), min:(-99999, '')
[54.97315239906311] Updated in round 34! max:(0.4262295081967213, 'C=CC(=C)c1ccc2c(c1C=C)c1cc(C=C(C=C)C=C)cc3cccc4cc(C=C)c5c(C=C)c2c(cc45)c31'), min:(-99999, '')
[92.9073576927185] Updated in round 35! max:(0.4262295081967213, 'C=CC(=C)c1ccc2c(c1C=C)c1cc(C=C(C=C)C=C)cc3cccc4cc(C=C)c5c(C=C)c2c(cc45)c31'), min:(-99999, '')
[110.20510244369507] Updated in round 36! max:(0.4426229508196721, 'C=CC(=C)c1ccc2c(c1C=C)c1cc(C(C=C)=C(C=C)C=C)cc3cccc4cc(C=C)c5c(C=C)c2c(cc45)c31'), min:(-99999, '')
[246.08907747268677] Updated in round 37! max:(0.45901639344262296, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6ccc(C(=C)C=C)c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[350.2561240196228] Updated in round 38! max:(0.45901639344262296, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6ccc(C(=C)C=C)c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[696.2176115512848] Updated in round 39! max:(0.45901639344262296, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6ccc(C(=C)C=C)c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[882.8127710819244] Updated in round 40! max:(0.47540983606557374, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6ccc(C(C=C)=CC=C)c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[1448.344610452652] Updated in round 41! max:(0.47540983606557374, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6ccc(C(C=C)=CC=C)c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[1695.032015800476] Updated in round 42! max:(0.47540983606557374, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6ccc(C(C=C)=CC=C)c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[2014.644155740738] Updated in round 43! max:(0.47540983606557374, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6ccc(C(C=C)=CC=C)c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[2193.574460029602] Updated in round 44! max:(0.47540983606557374, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6ccc(C(C=C)=CC=C)c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[2282.9685583114624] Updated in round 45! max:(0.4918032786885246, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6cc7ccc(=CC=C)c7c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[2340.54568195343] Updated in round 46! max:(0.4918032786885246, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6cc7ccc(=CC=C)c7c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[2542.5185067653656] Updated in round 47! max:(0.4918032786885246, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6cc7ccc(=CC=C)c7c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[2877.8477742671967] Updated in round 48! max:(0.4918032786885246, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6cc7ccc(=CC=C)c7c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[3126.7964091300964] Updated in round 49! max:(0.4918032786885246, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6cc7ccc(=CC=C)c7c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[3376.6428134441376] Updated in round 50! max:(0.4918032786885246, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6cc7ccc(=CC=C)c7c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[3694.3822078704834] Updated in round 51! max:(0.4918032786885246, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6cc7ccc(=CC=C)c7c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
[4106.59486746788] Updated in round 52! max:(0.4918032786885246, 'C=CC=CC(=C(C=C)C=C)c1cc2cccc3cc(C=C)c4c(C=C)c5c6cc7ccc(=CC=C)c7c(C=C)c6c(c1)c2c5cc34'), min:(-99999, '')
