[5.340576171875e-05]Start running EvoMol from [H][H]...
[0.00041174888610839844] Updated in round 1! max:(0.14285714285714285, 'C=C'), min:(-99999, '')
[0.0010154247283935547] Updated in round 2! max:(0.2857142857142857, 'C=CC=C'), min:(-99999, '')
[0.0027115345001220703] Updated in round 3! max:(0.42857142857142855, 'C=CC=CC=C'), min:(-99999, '')
[0.004715681076049805] Updated in round 4! max:(0.5714285714285714, 'C=CC=CC(=C)C=C'), min:(-99999, '')
[0.007315158843994141] Updated in round 5! max:(0.7142857142857143, 'C=CC=CC(=C)C(=C)C=C'), min:(-99999, '')
[0.010723352432250977] Updated in round 6! max:(0.7142857142857143, 'C=CC=CC(=C)C(=C)C=C'), min:(-99999, '')
[0.011501312255859375] Updated in round 7! max:(0.7142857142857143, 'C=CC=CC(=C)C(=C)C=C'), min:(-99999, '')
[0.012275218963623047] Updated in round 8! max:(0.7142857142857143, 'C=CC=CC(=C)C(=C)C=C'), min:(-99999, '')
[0.013357400894165039] Updated in round 9! max:(0.8571428571428571, 'C=CC=CC1=CC=CC1=C'), min:(-99999, '')
[0.018053293228149414] Updated in round 10! max:(0.8571428571428571, 'C=CC=CC1=CC=CC1=C'), min:(-99999, '')
[0.018480300903320312] Reproduced in round 11!!
