[4.506111145019531e-05]Start running EvoMol from [H][H]...
[0.0006453990936279297] Updated in round 1! max:(0.3333333333333333, 'c1ccccc1'), min:(-99999, '')
[0.006001472473144531] Updated in round 2! max:(0.4166666666666667, 'C=Cc1ccccc1'), min:(-99999, '')
[0.012883186340332031] Updated in round 3! max:(0.5, 'C=CC(=C)c1ccccc1'), min:(-99999, '')
[0.02146315574645996] Updated in round 4! max:(0.5833333333333334, 'C=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.032395124435424805] Updated in round 5! max:(0.5833333333333334, 'C=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.03387761116027832] Updated in round 6! max:(0.6666666666666666, 'C=CC=C1C=Cc2ccccc21'), min:(-99999, '')
[0.045044898986816406] Updated in round 7! max:(0.6666666666666666, 'C=CC=C1C=Cc2ccccc21'), min:(-99999, '')
[0.04665660858154297] Updated in round 8! max:(0.75, 'C=CC=CC=C1C=Cc2ccccc21'), min:(-99999, '')
[0.06116938591003418] Updated in round 9! max:(0.8333333333333334, 'C=CC=CC(C=C)=C1C=Cc2ccccc21'), min:(-99999, '')
[0.07801318168640137] Updated in round 10! max:(0.8333333333333334, 'C=CC=CC(C=C)=C1C=Cc2ccccc21'), min:(-99999, '')
[0.0796048641204834] Updated in round 11! max:(0.8333333333333334, 'C=CC=CC(C=C)=C1C=Cc2ccccc21'), min:(-99999, '')
[0.08102107048034668] Updated in round 12! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.0984337329864502] Updated in round 13! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.09981703758239746] Updated in round 14! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.10150027275085449] Updated in round 15! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.10309290885925293] Updated in round 16! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.10441064834594727] Updated in round 17! max:(0.9166666666666666, 'C=CC=CC1=C2C(=Cc3ccccc32)C=C1'), min:(-99999, '')
[0.10494875907897949] Reproduced in round 18!!
