[4.506111145019531e-05]Start running EvoMol from [H][H]...
[0.0003581047058105469] Updated in round 1! max:(0.08333333333333333, 'C=C'), min:(-99999, '')
[0.0008862018585205078] Updated in round 2! max:(0.16666666666666666, 'C=CC=C'), min:(-99999, '')
[0.002393007278442383] Updated in round 3! max:(0.25, 'C=CC=CC=C'), min:(-99999, '')
[0.004674196243286133] Updated in round 4! max:(0.3333333333333333, 'c1ccccc1'), min:(-99999, '')
[0.009444952011108398] Updated in round 5! max:(0.4166666666666667, 'C=c1ccccc1=C'), min:(-99999, '')
[0.012614965438842773] Updated in round 6! max:(0.5, 'C=CC=c1ccccc1=C'), min:(-99999, '')
[0.017705678939819336] Updated in round 7! max:(0.5833333333333334, 'C=CC=c1ccccc1=CC=C'), min:(-99999, '')
[0.02469635009765625] Updated in round 8! max:(0.6666666666666666, 'C=CC1=c2ccccc2=CC1=C'), min:(-99999, '')
[0.031194448471069336] Updated in round 9! max:(0.6666666666666666, 'C=CC1=c2ccccc2=CC1=C'), min:(-99999, '')
[0.03256726264953613] Updated in round 10! max:(0.75, 'C=CC=CC1=c2ccccc2=CC1=C'), min:(-99999, '')
[0.04127192497253418] Updated in round 11! max:(0.8333333333333334, 'C=CC=CC1=c2ccccc2=CC1=CC=C'), min:(-99999, '')
[0.05300784111022949] Updated in round 12! max:(0.8333333333333334, 'C=CC=CC1=c2ccccc2=CC1=CC=C'), min:(-99999, '')
[0.05432605743408203] Updated in round 13! max:(0.8333333333333334, 'C=CC=CC1=c2ccccc2=CC1=CC=C'), min:(-99999, '')
[0.05601668357849121] Updated in round 14! max:(0.8333333333333334, 'C=CC=CC1=c2ccccc2=CC1=CC=C'), min:(-99999, '')
[0.05745053291320801] Updated in round 15! max:(0.8333333333333334, 'C=CC=CC1=c2ccccc2=CC1=CC=C'), min:(-99999, '')
[0.05903148651123047] Updated in round 16! max:(0.9166666666666666, 'C=CC=C1C(=C)C=C2C=c3ccccc3=C21'), min:(-99999, '')
[0.0704958438873291] Updated in round 17! max:(0.9166666666666666, 'C=CC=C1C(=C)C=C2C=c3ccccc3=C21'), min:(-99999, '')
[0.07187700271606445] Updated in round 18! max:(0.9166666666666666, 'C=CC=C1C(=C)C=C2C=c3ccccc3=C21'), min:(-99999, '')
[0.0732879638671875] Updated in round 19! max:(0.9166666666666666, 'C=CC=C1C(=C)C=C2C=c3ccccc3=C21'), min:(-99999, '')
[0.07515811920166016] Updated in round 20! max:(0.9166666666666666, 'C=CC=C1C(=C)C=C2C=c3ccccc3=C21'), min:(-99999, '')
[0.07654070854187012] Reproduced in round 21!!
