[5.030632019042969e-05]Start running EvoMol from [H][H]...
[0.0004031658172607422] Updated in round 1! max:(0.06666666666666667, 'C=C'), min:(-99999, '')
[0.0009679794311523438] Updated in round 2! max:(0.13333333333333333, 'C=CC=C'), min:(-99999, '')
[0.002570629119873047] Updated in round 3! max:(0.2, 'C=CC=CC=C'), min:(-99999, '')
[0.004686594009399414] Updated in round 4! max:(0.26666666666666666, 'c1ccccc1'), min:(-99999, '')
[0.009151220321655273] Updated in round 5! max:(0.3333333333333333, 'C=Cc1ccccc1'), min:(-99999, '')
[0.014760017395019531] Updated in round 6! max:(0.4, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.021479368209838867] Updated in round 7! max:(0.4666666666666667, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.029291152954101562] Updated in round 8! max:(0.5333333333333333, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.03914380073547363] Updated in round 9! max:(0.5333333333333333, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.0409550666809082] Updated in round 10! max:(0.5333333333333333, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.04481959342956543] Updated in round 11! max:(0.5333333333333333, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.04787302017211914] Updated in round 12! max:(0.6, 'C=CC=Cc1cccc2ccccc12'), min:(-99999, '')
[0.06001472473144531] Updated in round 13! max:(0.6, 'C=CC=Cc1cccc2ccccc12'), min:(-99999, '')
[0.0619661808013916] Updated in round 14! max:(0.6666666666666666, 'C=CC=C(C=C)c1cccc2ccccc12'), min:(-99999, '')
[0.07644081115722656] Updated in round 15! max:(0.6666666666666666, 'C=CC=C(C=C)c1cccc2ccccc12'), min:(-99999, '')
[0.07836008071899414] Updated in round 16! max:(0.7333333333333333, 'C=CC=C(C(=C)C=C)c1cccc2ccccc12'), min:(-99999, '')
[0.09492182731628418] Updated in round 17! max:(0.7333333333333333, 'C=CC=C(C(=C)C=C)c1cccc2ccccc12'), min:(-99999, '')
[0.09722542762756348] Updated in round 18! max:(0.8, 'C=CC=C(C=C)C(=CC=C)c1cccc2ccccc12'), min:(-99999, '')
[0.11858391761779785] Updated in round 19! max:(0.8, 'C=CC=C(C=C)C(=CC=C)c1cccc2ccccc12'), min:(-99999, '')
[0.12049722671508789] Updated in round 20! max:(0.8666666666666667, 'C=CC=c1c(C=C)c(C=C)c2cccc3cccc1c32'), min:(-99999, '')
[0.1418468952178955] Updated in round 21! max:(0.8666666666666667, 'C=CC=c1c(C=C)c(C=C)c2cccc3cccc1c32'), min:(-99999, '')
[0.14413833618164062] Updated in round 22! max:(0.8666666666666667, 'C=CC=c1c(C=C)c(C=C)c2cccc3cccc1c32'), min:(-99999, '')
[0.14615845680236816] Updated in round 23! max:(0.8666666666666667, 'C=CC=c1c(C=C)c(C=C)c2cccc3cccc1c32'), min:(-99999, '')
[0.14825892448425293] Updated in round 24! max:(0.8666666666666667, 'C=CC=c1c(C=C)c(C=C)c2cccc3cccc1c32'), min:(-99999, '')
[0.15034914016723633] Updated in round 25! max:(0.8666666666666667, 'C=CC=c1c(C=C)c(C=C)c2cccc3cccc1c32'), min:(-99999, '')
[0.15245413780212402] Updated in round 26! max:(0.9333333333333333, 'C=Cc1c2cccc3cccc(c4cccc(=C)c14)c32'), min:(-99999, '')
[0.1758420467376709] Updated in round 27! max:(0.9333333333333333, 'C=Cc1c2cccc3cccc(c4cccc(=C)c14)c32'), min:(-99999, '')
[0.17770791053771973] Updated in round 28! max:(0.9333333333333333, 'C=Cc1c2cccc3cccc(c4cccc(=C)c14)c32'), min:(-99999, '')
[0.1798689365386963] Updated in round 29! max:(0.9333333333333333, 'C=Cc1c2cccc3cccc(c4cccc(=C)c14)c32'), min:(-99999, '')
[0.18152117729187012] Reproduced in round 30!!
