[0.000152587890625]Start running EvoMol from [H][H]...
[0.0005080699920654297] Updated in round 1! max:(0.0625, 'C=C'), min:(-99999, '')
[0.0010416507720947266] Updated in round 2! max:(0.125, 'C=CC=C'), min:(-99999, '')
[0.0025806427001953125] Updated in round 3! max:(0.1875, 'C=CC=CC=C'), min:(-99999, '')
[0.004969596862792969] Updated in round 4! max:(0.25, 'c1ccccc1'), min:(-99999, '')
[0.008967161178588867] Updated in round 5! max:(0.3125, 'C=Cc1ccccc1'), min:(-99999, '')
[0.011889219284057617] Updated in round 6! max:(0.375, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.01589059829711914] Updated in round 7! max:(0.4375, 'C=Cc1ccc(C=C)c(C=C)c1'), min:(-99999, '')
[0.020779848098754883] Updated in round 8! max:(0.5, 'C=Cc1ccc2ccccc2c1'), min:(-99999, '')
[0.025925874710083008] Updated in round 9! max:(0.5, 'C=Cc1ccc2ccccc2c1'), min:(-99999, '')
[0.027492523193359375] Updated in round 10! max:(0.5625, 'C=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.03455066680908203] Updated in round 11! max:(0.625, 'C=CC=Cc1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.04413795471191406] Updated in round 12! max:(0.6875, 'C=CC=Cc1ccc2ccc(C=C)cc2c1C=C'), min:(-99999, '')
[0.055963754653930664] Updated in round 13! max:(0.75, 'C=CC=Cc1ccc2ccc(C=C)c3c2c1C=C3'), min:(-99999, '')
[0.06707572937011719] Updated in round 14! max:(0.75, 'C=CC=Cc1ccc2ccc(C=C)c3c2c1C=C3'), min:(-99999, '')
[0.06929373741149902] Updated in round 15! max:(0.8125, 'C=CC=Cc1ccc2ccc(C=C)c3c2c1C=C3C=C'), min:(-99999, '')
[0.08281612396240234] Updated in round 16! max:(0.8125, 'C=CC=Cc1ccc2ccc(C=C)c3c2c1C=C3C=C'), min:(-99999, '')
[0.08455038070678711] Updated in round 17! max:(0.8125, 'C=CC=Cc1ccc2ccc(C=C)c3c2c1C=C3C=C'), min:(-99999, '')
[0.08660411834716797] Updated in round 18! max:(0.875, 'C=CC1=c2c(=C)ccc3ccc4ccc(C=C)c1c4c23'), min:(-99999, '')
[0.09820723533630371] Updated in round 19! max:(0.875, 'C=CC1=c2c(=C)ccc3ccc4ccc(C=C)c1c4c23'), min:(-99999, '')
[0.10013771057128906] Updated in round 20! max:(0.875, 'C=CC1=c2c(=C)ccc3ccc4ccc(C=C)c1c4c23'), min:(-99999, '')
[0.1020040512084961] Updated in round 21! max:(0.875, 'C=CC1=c2c(=C)ccc3ccc4ccc(C=C)c1c4c23'), min:(-99999, '')
[0.10389184951782227] Updated in round 22! max:(0.875, 'C=CC1=c2c(=C)ccc3ccc4ccc(C=C)c1c4c23'), min:(-99999, '')
[0.10599541664123535] Updated in round 23! max:(0.9375, 'C=c1ccc2ccc3ccc4ccc(=C)c5c4c3c2c1=5'), min:(-99999, '')
[0.11729836463928223] Updated in round 24! max:(0.9375, 'C=c1ccc2ccc3ccc4ccc(=C)c5c4c3c2c1=5'), min:(-99999, '')
[0.11775565147399902] Reproduced in round 25!!
