[4.744529724121094e-05]Start running EvoMol from [H][H]...
[0.000400543212890625] Updated in round 1! max:(0.0625, 'C=C'), min:(-99999, '')
[0.0009510517120361328] Updated in round 2! max:(0.125, 'C=CC=C'), min:(-99999, '')
[0.0025267601013183594] Updated in round 3! max:(0.1875, 'C=CC=CC=C'), min:(-99999, '')
[0.004724025726318359] Updated in round 4! max:(0.25, 'c1ccccc1'), min:(-99999, '')
[0.00832223892211914] Updated in round 5! max:(0.3125, 'C=c1ccccc1=C'), min:(-99999, '')
[0.011194944381713867] Updated in round 6! max:(0.375, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.015932559967041016] Updated in round 7! max:(0.4375, 'C=c1cccc2c1=CC=C2'), min:(-99999, '')
[0.019764423370361328] Updated in round 8! max:(0.5, 'C=CC=c1cccc2c1=CC=C2'), min:(-99999, '')
[0.02546215057373047] Updated in round 9! max:(0.5625, 'C=CC=c1cccc2c1=CC(C=C)=C2'), min:(-99999, '')
[0.032453298568725586] Updated in round 10! max:(0.625, 'C=CC=c1cccc2c1=CC(C=C)=C2C=C'), min:(-99999, '')
[0.04081106185913086] Updated in round 11! max:(0.625, 'C=CC=c1cccc2c1=CC(C=C)=C2C=C'), min:(-99999, '')
[0.04244732856750488] Updated in round 12! max:(0.625, 'C=CC=c1cccc2c1=CC(C=C)=C2C=C'), min:(-99999, '')
[0.044068336486816406] Updated in round 13! max:(0.625, 'C=CC=c1cccc2c1=CC(C=C)=C2C=C'), min:(-99999, '')
[0.046257734298706055] Updated in round 14! max:(0.6875, 'C=CC=c1cccc2c1=CC(C=C)=C2C(=C)C=C'), min:(-99999, '')
[0.05667996406555176] Updated in round 15! max:(0.6875, 'C=CC=c1cccc2c1=CC(C=C)=C2C(=C)C=C'), min:(-99999, '')
[0.0585780143737793] Updated in round 16! max:(0.75, 'C=CC=c1cccc2c1=CC(C(=C)C=C)=C2C(=C)C=C'), min:(-99999, '')
[0.07122516632080078] Updated in round 17! max:(0.8125, 'C=CC(=C)C1=C(C(=C)C=C)c2cccc3cccc1c23'), min:(-99999, '')
[0.08351969718933105] Updated in round 18! max:(0.875, 'C=CC(=C)C1=c2c(=C)ccc3ccc4cccc1c4c23'), min:(-99999, '')
[0.09588432312011719] Updated in round 19! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.1087949275970459] Updated in round 20! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.11037874221801758] Reproduced in round 21!!
