[4.9591064453125e-05]Start running EvoMol from [H][H]...
[0.0007038116455078125] Updated in round 1! max:(0.18181818181818182, 'c1ccccc1'), min:(-99999, '')
[0.005291938781738281] Updated in round 2! max:(0.36363636363636365, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.01586151123046875] Updated in round 3! max:(0.5, 'c1ccc(-c2cccc3ccccc23)cc1'), min:(-99999, '')
[0.030707359313964844] Updated in round 4! max:(0.5454545454545454, 'C=Cc1cccc2cccc(-c3ccccc3)c12'), min:(-99999, '')
[0.049402475357055664] Updated in round 5! max:(0.5909090909090909, 'C=Cc1ccc2cccc(C=C)c2c1-c1ccccc1'), min:(-99999, '')
[0.07132792472839355] Updated in round 6! max:(0.6818181818181818, 'C=Cc1ccc2ccc3ccccc3c2c1-c1ccccc1'), min:(-99999, '')
[0.09950637817382812] Updated in round 7! max:(0.8181818181818182, 'C=Cc1ccc2ccc3ccccc3c2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.13813257217407227] Updated in round 8! max:(0.8181818181818182, 'C=Cc1ccc2ccc3ccccc3c2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.14138293266296387] Updated in round 9! max:(0.8636363636363636, 'C=Cc1ccc2cccc(-c3c(C=C)ccc4ccc5ccccc5c34)c2c1'), min:(-99999, '')
[0.1861429214477539] Updated in round 10! max:(0.8636363636363636, 'C=Cc1ccc2cccc(-c3c(C=C)ccc4ccc5ccccc5c34)c2c1'), min:(-99999, '')
[0.1890110969543457] Updated in round 11! max:(0.8636363636363636, 'C=Cc1ccc2cccc(-c3c(C=C)ccc4ccc5ccccc5c34)c2c1'), min:(-99999, '')
[0.19209575653076172] Updated in round 12! max:(0.8636363636363636, 'C=Cc1ccc2cccc(-c3c(C=C)ccc4ccc5ccccc5c34)c2c1'), min:(-99999, '')
[0.19528865814208984] Updated in round 13! max:(0.8636363636363636, 'C=Cc1ccc2cccc(-c3c(C=C)ccc4ccc5ccccc5c34)c2c1'), min:(-99999, '')
[0.1982288360595703] Updated in round 14! max:(0.8636363636363636, 'C=Cc1ccc2cccc(-c3c(C=C)ccc4ccc5ccccc5c34)c2c1'), min:(-99999, '')
[0.20131397247314453] Updated in round 15! max:(0.8636363636363636, 'C=Cc1ccc2cccc(-c3c(C=C)ccc4ccc5ccccc5c34)c2c1'), min:(-99999, '')
[0.20433402061462402] Updated in round 16! max:(0.8636363636363636, 'C=Cc1ccc2cccc(-c3c(C=C)ccc4ccc5ccccc5c34)c2c1'), min:(-99999, '')
[0.20717120170593262] Updated in round 17! max:(0.8636363636363636, 'C=Cc1ccc2cccc(-c3c(C=C)ccc4ccc5ccccc5c34)c2c1'), min:(-99999, '')
