[4.982948303222656e-05]Start running EvoMol from [H][H]...
[0.00042748451232910156] Updated in round 1! max:(0.045454545454545456, 'C=C'), min:(-99999, '')
[0.0009999275207519531] Updated in round 2! max:(0.09090909090909091, 'C=CC=C'), min:(-99999, '')
[0.002699613571166992] Updated in round 3! max:(0.13636363636363635, 'C=CC=CC=C'), min:(-99999, '')
[0.004980802536010742] Updated in round 4! max:(0.18181818181818182, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.00857996940612793] Updated in round 5! max:(0.22727272727272727, 'C=c1ccccc1=C'), min:(-99999, '')
[0.011850833892822266] Updated in round 6! max:(0.2727272727272727, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.01602458953857422] Updated in round 7! max:(0.3181818181818182, 'C=CC=c1cccc(C=C)c1=C'), min:(-99999, '')
[0.03361868858337402] Updated in round 8! max:(0.3181818181818182, 'C=CC=c1cccc(C=C)c1=C'), min:(-99999, '')
[0.035280704498291016] Updated in round 9! max:(0.36363636363636365, 'C=CC=c1cccc(C(=C)C=C)c1=C'), min:(-99999, '')
[0.042192697525024414] Updated in round 10! max:(0.4090909090909091, 'C=CC=c1ccc(C=C)c(C(=C)C=C)c1=C'), min:(-99999, '')
[0.05102419853210449] Updated in round 11! max:(0.45454545454545453, 'C=CC=c1ccc(C=C)c(C(=C)C(=C)C=C)c1=C'), min:(-99999, '')
[0.060758352279663086] Updated in round 12! max:(0.5, 'C=CC=c1ccc(C=C)c2c1=CC=CC(=C)C2=C'), min:(-99999, '')
[0.0724036693572998] Updated in round 13! max:(0.5454545454545454, 'C=CC=c1ccc2cccc3c2c1=CC=CC3=C'), min:(-99999, '')
[0.08472347259521484] Updated in round 14! max:(0.5909090909090909, 'C=CC=c1ccc2cccc3c2c1=CC=C(C=C)C3=C'), min:(-99999, '')
[0.09986042976379395] Updated in round 15! max:(0.6363636363636364, 'C=CC=CC=c1ccc2cccc3c2c1=CC=C(C=C)C3=C'), min:(-99999, '')
[0.11877989768981934] Updated in round 16! max:(0.6363636363636364, 'C=CC=CC=c1ccc2cccc3c2c1=CC=C(C=C)C3=C'), min:(-99999, '')
[0.12257194519042969] Updated in round 17! max:(0.6818181818181818, 'C=CC=CC=CC=c1ccc2cccc3c2c1=CC=C(C=C)C3=C'), min:(-99999, '')
[0.14737939834594727] Updated in round 18! max:(0.6818181818181818, 'C=CC=CC=CC=c1ccc2cccc3c2c1=CC=C(C=C)C3=C'), min:(-99999, '')
