[4.887580871582031e-05]Start running EvoMol from [H][H]...
[0.0007984638214111328] Updated in round 1! max:(0.17391304347826086, 'c1ccccc1'), min:(-99999, '')
[0.005293846130371094] Updated in round 2! max:(0.30434782608695654, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.0122528076171875] Updated in round 3! max:(0.43478260869565216, 'c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.02393364906311035] Updated in round 4! max:(0.43478260869565216, 'c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.02551102638244629] Updated in round 5! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.0410919189453125] Updated in round 6! max:(0.5217391304347826, 'C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.06077909469604492] Updated in round 7! max:(0.5217391304347826, 'C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.06302857398986816] Updated in round 8! max:(0.5652173913043478, 'C=CC=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.08879733085632324] Updated in round 9! max:(0.6956521739130435, 'C(C=Cc1ccc2cc3ccccc3cc2c1)=Cc1ccccc1'), min:(-99999, '')
[0.1302788257598877] Updated in round 10! max:(0.7391304347826086, 'C=Cc1ccccc1C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.1764225959777832] Updated in round 11! max:(0.7391304347826086, 'C=Cc1ccccc1C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.178741455078125] Updated in round 12! max:(0.7391304347826086, 'C=Cc1ccccc1C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.18098092079162598] Updated in round 13! max:(0.7391304347826086, 'C=Cc1ccccc1C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.1832432746887207] Updated in round 14! max:(0.7391304347826086, 'C=Cc1ccccc1C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.18541264533996582] Updated in round 15! max:(0.7391304347826086, 'C=Cc1ccccc1C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.1875472068786621] Updated in round 16! max:(0.7391304347826086, 'C=Cc1ccccc1C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.19004440307617188] Updated in round 17! max:(0.782608695652174, 'C=Cc1ccccc1C=CC=Cc1cc2cc3ccccc3cc2cc1C=C'), min:(-99999, '')
[0.24320101737976074] Updated in round 18! max:(0.8260869565217391, 'C=Cc1ccc(C=C)c(C=CC=Cc2cc3cc4ccccc4cc3cc2C=C)c1'), min:(-99999, '')
[0.30375218391418457] Updated in round 19! max:(0.8260869565217391, 'C=Cc1ccc(C=C)c(C=CC=Cc2cc3cc4ccccc4cc3cc2C=C)c1'), min:(-99999, '')
[0.306243896484375] Updated in round 20! max:(0.8260869565217391, 'C=Cc1ccc(C=C)c(C=CC=Cc2cc3cc4ccccc4cc3cc2C=C)c1'), min:(-99999, '')
[0.3087577819824219] Updated in round 21! max:(0.8260869565217391, 'C=Cc1ccc(C=C)c(C=CC=Cc2cc3cc4ccccc4cc3cc2C=C)c1'), min:(-99999, '')
[0.31146812438964844] Updated in round 22! max:(0.8695652173913043, 'C=CC=Cc1ccc(C=C)c(C=CC=Cc2cc3cc4ccccc4cc3cc2C=C)c1'), min:(-99999, '')
[0.38397765159606934] Updated in round 23! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.46656012535095215] Updated in round 24! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.46964359283447266] Updated in round 25! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.472506046295166] Updated in round 26! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.47531557083129883] Updated in round 27! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.4780726432800293] Updated in round 28! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.48108506202697754] Updated in round 29! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.4840853214263916] Updated in round 30! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.48691678047180176] Updated in round 31! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.4897923469543457] Updated in round 32! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.49276208877563477] Updated in round 33! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.4954557418823242] Updated in round 34! max:(0.9130434782608695, 'C=CC=Cc1ccc2c(c1)C=CC=Cc1cc3cc4ccccc4cc3cc1C=CC=C2'), min:(-99999, '')
[0.4987490177154541] Updated in round 35! max:(0.9565217391304348, 'C1=Cc2cc3ccccc3cc2C=CC=Cc2cc3cc4ccccc4cc3cc2C=C1'), min:(-99999, '')
[0.5838704109191895] Updated in round 36! max:(0.9565217391304348, 'C1=Cc2cc3ccccc3cc2C=CC=Cc2cc3cc4ccccc4cc3cc2C=C1'), min:(-99999, '')
[0.5868325233459473] Updated in round 37! max:(0.9565217391304348, 'C1=Cc2cc3ccccc3cc2C=CC=Cc2cc3cc4ccccc4cc3cc2C=C1'), min:(-99999, '')
