[4.935264587402344e-05]Start running EvoMol from [H][H]...
[0.000453948974609375] Updated in round 1! max:(0.043478260869565216, 'C=C'), min:(-99999, '')
[0.001024484634399414] Updated in round 2! max:(0.08695652173913043, 'C=CC=C'), min:(-99999, '')
[0.002512216567993164] Updated in round 3! max:(0.13043478260869565, 'C=CC=CC=C'), min:(-99999, '')
[0.004503011703491211] Updated in round 4! max:(0.17391304347826086, 'c1ccccc1'), min:(-99999, '')
[0.008019208908081055] Updated in round 5! max:(0.21739130434782608, 'C=c1ccccc1=C'), min:(-99999, '')
[0.010497093200683594] Updated in round 6! max:(0.2608695652173913, 'C=CC=c1ccccc1=C'), min:(-99999, '')
[0.014227151870727539] Updated in round 7! max:(0.30434782608695654, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.018007516860961914] Updated in round 8! max:(0.34782608695652173, 'C=Cc1ccc2ccccc2c1'), min:(-99999, '')
[0.023559093475341797] Updated in round 9! max:(0.391304347826087, 'C=Cc1ccc2ccc(C=C)cc2c1'), min:(-99999, '')
[0.03020453453063965] Updated in round 10! max:(0.391304347826087, 'C=Cc1ccc2ccc(C=C)cc2c1'), min:(-99999, '')
[0.03176379203796387] Updated in round 11! max:(0.43478260869565216, 'C=CC=Cc1ccc2ccc(C=C)cc2c1'), min:(-99999, '')
[0.041335105895996094] Updated in round 12! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.05041646957397461] Updated in round 13! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.05183720588684082] Updated in round 14! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.053202152252197266] Updated in round 15! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.05469179153442383] Updated in round 16! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.05635213851928711] Updated in round 17! max:(0.5217391304347826, 'C=Cc1cc2cc3ccccc3cc2cc1C=C'), min:(-99999, '')
[0.06807374954223633] Updated in round 18! max:(0.5652173913043478, 'C=CC=Cc1cc2cc3ccccc3cc2cc1C=C'), min:(-99999, '')
