[5.1021575927734375e-05]Start running EvoMol from [H][H]...
[0.0005068778991699219] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.001089334487915039] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.002602815628051758] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.005085468292236328] Updated in round 4! max:(0.16, 'c1ccccc1'), min:(-99999, '')
[0.008449792861938477] Updated in round 5! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.011410713195800781] Updated in round 6! max:(0.24, 'C=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.015135049819946289] Updated in round 7! max:(0.28, 'C=CC(=C)c1ccc(C=C)cc1'), min:(-99999, '')
[0.019929170608520508] Updated in round 8! max:(0.32, 'C=CC=C(C=C)c1ccc(C=C)cc1'), min:(-99999, '')
[0.02680492401123047] Updated in round 9! max:(0.36, 'C=CC=Cc1ccc(C(C=C)=CC=C)cc1'), min:(-99999, '')
[0.03643298149108887] Updated in round 10! max:(0.4, 'C=CC=Cc1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.04667353630065918] Updated in round 11! max:(0.4, 'C=CC=Cc1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.04798007011413574] Updated in round 12! max:(0.4, 'C=CC=Cc1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.05001544952392578] Updated in round 13! max:(0.44, 'C=CC=Cc1ccc(-c2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.06365823745727539] Updated in round 14! max:(0.48, 'C=CC=Cc1ccc(-c2ccc(C=CC=C)cc2)cc1'), min:(-99999, '')
[0.08103585243225098] Updated in round 15! max:(0.48, 'C=CC=Cc1ccc(-c2ccc(C=CC=C)cc2)cc1'), min:(-99999, '')
[0.08278107643127441] Updated in round 16! max:(0.48, 'C=CC=Cc1ccc(-c2ccc(C=CC=C)cc2)cc1'), min:(-99999, '')
[0.08557868003845215] Updated in round 17! max:(0.52, 'C=CC=CC=Cc1ccc(-c2ccc(C=CC=C)cc2)cc1'), min:(-99999, '')
[0.10837078094482422] Updated in round 18! max:(0.52, 'C=CC=CC=Cc1ccc(-c2ccc(C=CC=C)cc2)cc1'), min:(-99999, '')
[0.11134815216064453] Updated in round 19! max:(0.56, 'C=CC=CC=Cc1ccc(-c2ccc(C(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.13921117782592773] Updated in round 20! max:(0.6, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(C(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.1713120937347412] Updated in round 21! max:(0.64, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.20499634742736816] Updated in round 22! max:(0.64, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.20747590065002441] Updated in round 23! max:(0.64, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.20957207679748535] Updated in round 24! max:(0.64, 'C=CC=CC=C(C=C)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.21275639533996582] Updated in round 25! max:(0.68, 'C=Cc1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.24682259559631348] Updated in round 26! max:(0.68, 'C=Cc1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.24892163276672363] Updated in round 27! max:(0.68, 'C=Cc1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.2516813278198242] Updated in round 28! max:(0.72, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.2905452251434326] Updated in round 29! max:(0.72, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.29311513900756836] Updated in round 30! max:(0.72, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.29549694061279297] Updated in round 31! max:(0.72, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.2977747917175293] Updated in round 32! max:(0.72, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.30089855194091797] Updated in round 33! max:(0.76, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.34645867347717285] Updated in round 34! max:(0.76, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.34992527961730957] Updated in round 35! max:(0.8, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.40595459938049316] Updated in round 36! max:(0.8, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.4095635414123535] Updated in round 37! max:(0.84, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.47443294525146484] Updated in round 38! max:(0.84, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.47698497772216797] Updated in round 39! max:(0.84, 'C=CC=C(C=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
