[5.6743621826171875e-05]Start running EvoMol from [H][H]...
[0.0018930435180664062] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.007415056228637695] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.016702651977539062] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.022615909576416016] Updated in round 4! max:(0.16, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.030920982360839844] Updated in round 5! max:(0.2, 'C=CC=CC=CC=CC=C'), min:(-99999, '')
[0.0382535457611084] Updated in round 6! max:(0.24, 'C=CC=CC=CC(C=C)=CC=C'), min:(-99999, '')
[0.04851102828979492] Updated in round 7! max:(0.28, 'C=CC=c1ccc(=CC=C)cc1'), min:(-99999, '')
[0.056925058364868164] Updated in round 8! max:(0.32, 'C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.06638956069946289] Updated in round 9! max:(0.36, 'C=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.07774138450622559] Updated in round 10! max:(0.4, 'C=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.09295511245727539] Updated in round 11! max:(0.4, 'C=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.09500575065612793] Updated in round 12! max:(0.44, 'C=CC=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.11573100090026855] Updated in round 13! max:(0.48, 'C=CC=CC=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.1418154239654541] Updated in round 14! max:(0.48, 'C=CC=CC=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.14495182037353516] Updated in round 15! max:(0.52, 'C=CC=CC=CC=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.17763257026672363] Updated in round 16! max:(0.52, 'C=CC=CC=CC=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.18014121055603027] Updated in round 17! max:(0.52, 'C=CC=CC=CC=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.18212318420410156] Updated in round 18! max:(0.52, 'C=CC=CC=CC=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.1846606731414795] Updated in round 19! max:(0.56, 'C=CC=CC=CC(C=C)=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.22266054153442383] Updated in round 20! max:(0.56, 'C=CC=CC=CC(C=C)=CC=CC(C=C)=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.2254638671875] Updated in round 21! max:(0.6, 'C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.26429080963134766] Updated in round 22! max:(0.6, 'C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.2667355537414551] Updated in round 23! max:(0.6, 'C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.26914167404174805] Updated in round 24! max:(0.6, 'C=CC=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.27200913429260254] Updated in round 25! max:(0.64, 'C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.31102514266967773] Updated in round 26! max:(0.64, 'C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.31327319145202637] Updated in round 27! max:(0.64, 'C=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
