[0.00016951560974121094]Start running EvoMol from [H][H]...
[0.00060272216796875] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.0012478828430175781] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.002888202667236328] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.0064961910247802734] Updated in round 4! max:(0.16, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.009453296661376953] Updated in round 5! max:(0.2, 'C=CC=CC=C(C=C)C=C'), min:(-99999, '')
[0.013511180877685547] Updated in round 6! max:(0.24, 'C=CC=CC=C(C=C)C=CC=C'), min:(-99999, '')
[0.020150423049926758] Updated in round 7! max:(0.24, 'C=CC=CC=C(C=C)C=CC=C'), min:(-99999, '')
[0.02140355110168457] Updated in round 8! max:(0.28, 'C=CC=CC(C=C)=C(C=C)C=CC=C'), min:(-99999, '')
[0.028455257415771484] Updated in round 9! max:(0.32, 'C=CC=CC=CC(C=C)=C(C=C)C=CC=C'), min:(-99999, '')
[0.03766441345214844] Updated in round 10! max:(0.32, 'C=CC=CC=CC(C=C)=C(C=C)C=CC=C'), min:(-99999, '')
[0.03923630714416504] Updated in round 11! max:(0.36, 'C=CC=CC=CC=CC(C=C)=C(C=C)C=CC=C'), min:(-99999, '')
[0.05257892608642578] Updated in round 12! max:(0.4, 'C=CC=CC=CC=CC(C=C)=C(C=C)C=CC=CC=C'), min:(-99999, '')
[0.07011628150939941] Updated in round 13! max:(0.44, 'C=CC=CC=CC=CC=CC(C=C)=C(C=C)C=CC=CC=C'), min:(-99999, '')
[0.09231233596801758] Updated in round 14! max:(0.44, 'C=CC=CC=CC=CC=CC(C=C)=C(C=C)C=CC=CC=C'), min:(-99999, '')
[0.09570765495300293] Updated in round 15! max:(0.48, 'C=CC=CC=CC=CC=CC=CC(C=C)=C(C=C)C=CC=CC=C'), min:(-99999, '')
[0.12415957450866699] Updated in round 16! max:(0.48, 'C=CC=CC=CC=CC=CC=CC(C=C)=C(C=C)C=CC=CC=C'), min:(-99999, '')
