[5.364418029785156e-05]Start running EvoMol from [H][H]...
[0.00047850608825683594] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.0010933876037597656] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.002685546875] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.005667924880981445] Updated in round 4! max:(0.16, 'C=CC=CC(=C)C=C'), min:(-99999, '')
[0.009930133819580078] Updated in round 5! max:(0.2, 'C=c1ccc(=C)cc1'), min:(-99999, '')
[0.014790534973144531] Updated in round 6! max:(0.24, 'C=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.018520832061767578] Updated in round 7! max:(0.28, 'C=CC=c1ccc(=CC=C)cc1'), min:(-99999, '')
[0.0240020751953125] Updated in round 8! max:(0.32, 'C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.030646800994873047] Updated in round 9! max:(0.32, 'C=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.0325312614440918] Updated in round 10! max:(0.36, 'C=CC=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.04192161560058594] Updated in round 11! max:(0.36, 'C=CC=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.04327797889709473] Updated in round 12! max:(0.36, 'C=CC=CC=c1ccc(=C(C=C)C=C)cc1'), min:(-99999, '')
[0.04505443572998047] Updated in round 13! max:(0.4, 'C=CC=CC=c1ccc(=C(C=C)C=CC=C)cc1'), min:(-99999, '')
[0.0587005615234375] Updated in round 14! max:(0.44, 'C=CC=CC(C=C)=c1ccc(=CC=CC(=C)C=C)cc1'), min:(-99999, '')
[0.07510757446289062] Updated in round 15! max:(0.48, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.09126424789428711] Updated in round 16! max:(0.52, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=CC=C)cc2)cc1'), min:(-99999, '')
[0.11238360404968262] Updated in round 17! max:(0.52, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=CC=C)cc2)cc1'), min:(-99999, '')
[0.11449718475341797] Updated in round 18! max:(0.56, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.13989043235778809] Updated in round 19! max:(0.6, 'C=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C)cc3)cc2)cc1'), min:(-99999, '')
[0.1643052101135254] Updated in round 20! max:(0.6, 'C=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C)cc3)cc2)cc1'), min:(-99999, '')
[0.16636037826538086] Updated in round 21! max:(0.6, 'C=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C)cc3)cc2)cc1'), min:(-99999, '')
[0.16829466819763184] Updated in round 22! max:(0.6, 'C=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C)cc3)cc2)cc1'), min:(-99999, '')
