[5.3882598876953125e-05]Start running EvoMol from [H][H]...
[0.0008537769317626953] Updated in round 1! max:(0.16, 'c1ccccc1'), min:(-99999, '')
[0.005513191223144531] Updated in round 2! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.011024951934814453] Updated in round 3! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.013634681701660156] Updated in round 4! max:(0.24, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.023134469985961914] Updated in round 5! max:(0.28, 'C=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.03310799598693848] Updated in round 6! max:(0.32, 'C=CC=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.044508934020996094] Updated in round 7! max:(0.32, 'C=CC=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.04583597183227539] Updated in round 8! max:(0.32, 'C=CC=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.04716014862060547] Updated in round 9! max:(0.32, 'C=CC=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.04942154884338379] Updated in round 10! max:(0.36, 'C=CC=CC=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.06469869613647461] Updated in round 11! max:(0.36, 'C=CC=CC=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.07372069358825684] Updated in round 12! max:(0.4, 'C=CC=CC=CC=CC=C(C=C)c1ccccc1'), min:(-99999, '')
[0.09398937225341797] Updated in round 13! max:(0.52, 'C=CC=CC=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.12697196006774902] Updated in round 14! max:(0.52, 'C=CC=CC=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.12905383110046387] Updated in round 15! max:(0.52, 'C=CC=CC=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.13112401962280273] Updated in round 16! max:(0.52, 'C=CC=CC=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.1334524154663086] Updated in round 17! max:(0.56, 'C=CC=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.17073678970336914] Updated in round 18! max:(0.56, 'C=CC=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.17273926734924316] Updated in round 19! max:(0.56, 'C=CC=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.17477035522460938] Updated in round 20! max:(0.56, 'C=CC=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.1771378517150879] Updated in round 21! max:(0.6, 'C=CC=CC=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.22302961349487305] Updated in round 22! max:(0.6, 'C=CC=CC=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.22528934478759766] Updated in round 23! max:(0.6, 'C=CC=CC=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.2274329662322998] Updated in round 24! max:(0.6, 'C=CC=CC=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.2297520637512207] Updated in round 25! max:(0.6, 'C=CC=CC=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.23236083984375] Updated in round 26! max:(0.64, 'C=CC=C(C=C)C=CC=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
