[5.650520324707031e-05]Start running EvoMol from [H][H]...
[0.0005564689636230469] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.001176595687866211] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.0028448104858398438] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.005378007888793945] Updated in round 4! max:(0.16, 'c1ccccc1'), min:(-99999, '')
[0.009105682373046875] Updated in round 5! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.012895584106445312] Updated in round 6! max:(0.24, 'C=CC(=C)c1ccccc1'), min:(-99999, '')
[0.017902135848999023] Updated in round 7! max:(0.28, 'C=CC=CC(=C)c1ccccc1'), min:(-99999, '')
[0.023648500442504883] Updated in round 8! max:(0.32, 'C=CC=C(C=C)C(=C)c1ccccc1'), min:(-99999, '')
[0.030468225479125977] Updated in round 9! max:(0.32, 'C=CC=C(C=C)C(=C)c1ccccc1'), min:(-99999, '')
[0.03168797492980957] Updated in round 10! max:(0.32, 'C=CC=C(C=C)C(=C)c1ccccc1'), min:(-99999, '')
[0.033883094787597656] Updated in round 11! max:(0.36, 'C=CC=C(C=C)C(=CC=C)c1ccccc1'), min:(-99999, '')
[0.04688835144042969] Updated in round 12! max:(0.36, 'C=CC=C(C=C)C(=CC=C)c1ccccc1'), min:(-99999, '')
[0.04921746253967285] Updated in round 13! max:(0.36, 'C=CC=C(C=C)C(=CC=C)c1ccccc1'), min:(-99999, '')
[0.05181169509887695] Updated in round 14! max:(0.4, 'C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.06206798553466797] Updated in round 15! max:(0.4, 'C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.06977319717407227] Updated in round 16! max:(0.44, 'C=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.08775210380554199] Updated in round 17! max:(0.44, 'C=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.08924508094787598] Updated in round 18! max:(0.44, 'C=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.09068679809570312] Updated in round 19! max:(0.44, 'C=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.09298205375671387] Updated in round 20! max:(0.48, 'C=CC=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.1116337776184082] Updated in round 21! max:(0.48, 'C=CC=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.11369538307189941] Updated in round 22! max:(0.52, 'C=CC(C=C)=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.13653182983398438] Updated in round 23! max:(0.56, 'C=CC(C=C)=C(C=C)C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.16329288482666016] Updated in round 24! max:(0.6, 'C=CC=CC(C=C)=C(C=C)C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.1970224380493164] Updated in round 25! max:(0.6, 'C=CC=CC(C=C)=C(C=C)C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.19906163215637207] Updated in round 26! max:(0.6, 'C=CC=CC(C=C)=C(C=C)C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.20098280906677246] Updated in round 27! max:(0.6, 'C=CC=CC(C=C)=C(C=C)C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.2029416561126709] Updated in round 28! max:(0.6, 'C=CC=CC(C=C)=C(C=C)C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.2051527500152588] Updated in round 29! max:(0.64, 'C=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.23888683319091797] Updated in round 30! max:(0.64, 'C=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.2409219741821289] Updated in round 31! max:(0.64, 'C=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.242950439453125] Updated in round 32! max:(0.64, 'C=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.24510455131530762] Updated in round 33! max:(0.64, 'C=CC=CC(C=C)=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.24739432334899902] Updated in round 34! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.280367374420166] Updated in round 35! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.2824215888977051] Updated in round 36! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.28446102142333984] Updated in round 37! max:(0.68, 'C=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.2868766784667969] Updated in round 38! max:(0.72, 'C=CC=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.3290703296661377] Updated in round 39! max:(0.76, 'C=CC=CC=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.38148021697998047] Updated in round 40! max:(0.8, 'C=CC=CC=CC=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.44507861137390137] Updated in round 41! max:(0.8, 'C=CC=CC=CC=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.44820690155029297] Updated in round 42! max:(0.84, 'C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5116550922393799] Updated in round 43! max:(0.84, 'C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5142228603363037] Updated in round 44! max:(0.84, 'C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5167965888977051] Updated in round 45! max:(0.84, 'C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5194094181060791] Updated in round 46! max:(0.84, 'C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5218801498413086] Updated in round 47! max:(0.84, 'C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5244665145874023] Updated in round 48! max:(0.84, 'C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.5276985168457031] Updated in round 49! max:(0.88, 'C=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.6005692481994629] Updated in round 50! max:(0.88, 'C=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.6035985946655273] Updated in round 51! max:(0.88, 'C=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.6065537929534912] Updated in round 52! max:(0.88, 'C=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.6099936962127686] Updated in round 53! max:(0.92, 'C=CC=CC(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.6976537704467773] Updated in round 54! max:(0.96, 'C=CC=C(C=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.7943968772888184] Updated in round 55! max:(0.96, 'C=CC=C(C=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.797154426574707] Updated in round 56! max:(0.96, 'C=CC=C(C=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8001489639282227] Updated in round 57! max:(0.96, 'C=CC=C(C=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8029160499572754] Updated in round 58! max:(0.96, 'C=CC=C(C=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8058488368988037] Updated in round 59! max:(0.96, 'C=CC=C(C=C)C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.8068337440490723] Reproduced in round 60!!
