[6.008148193359375e-05]Start running EvoMol from [H][H]...
[0.0009388923645019531] Updated in round 1! max:(0.14285714285714285, 'c1ccccc1'), min:(-99999, '')
[0.005379915237426758] Updated in round 2! max:(0.17857142857142858, 'C=Cc1ccccc1'), min:(-99999, '')
[0.010273933410644531] Updated in round 3! max:(0.21428571428571427, 'C=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.016288280487060547] Updated in round 4! max:(0.21428571428571427, 'C=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.017580747604370117] Updated in round 5! max:(0.25, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.026276826858520508] Updated in round 6! max:(0.25, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.0277249813079834] Updated in round 7! max:(0.2857142857142857, 'C=CC=Cc1ccc(C=CC=C)cc1'), min:(-99999, '')
[0.0410151481628418] Updated in round 8! max:(0.32142857142857145, 'C=CC=CC=Cc1ccc(C=CC=C)cc1'), min:(-99999, '')
[0.05992841720581055] Updated in round 9! max:(0.35714285714285715, 'C=CC=Cc1ccc(C=CC=CC(=C)C=C)cc1'), min:(-99999, '')
[0.07943367958068848] Updated in round 10! max:(0.39285714285714285, 'C=CC(=C)C=CC=Cc1ccc(C=C(C=C)C=C)cc1'), min:(-99999, '')
[0.10228157043457031] Updated in round 11! max:(0.5357142857142857, 'C=CC(C=CC=Cc1ccc(C=C(C=C)C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.1483156681060791] Updated in round 12! max:(0.5357142857142857, 'C=CC(C=CC=Cc1ccc(C=C(C=C)C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.15042543411254883] Updated in round 13! max:(0.5357142857142857, 'C=CC(C=CC=Cc1ccc(C=C(C=C)C=C)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.152909517288208] Updated in round 14! max:(0.5714285714285714, 'C=CC=CC(C=C)=Cc1ccc(C=CC=CC(C=C)=Cc2ccccc2)cc1'), min:(-99999, '')
[0.20881056785583496] Updated in round 15! max:(0.5714285714285714, 'C=CC=CC(C=C)=Cc1ccc(C=CC=CC(C=C)=Cc2ccccc2)cc1'), min:(-99999, '')
[0.21126604080200195] Updated in round 16! max:(0.5714285714285714, 'C=CC=CC(C=C)=Cc1ccc(C=CC=CC(C=C)=Cc2ccccc2)cc1'), min:(-99999, '')
[0.21373248100280762] Updated in round 17! max:(0.5714285714285714, 'C=CC=CC(C=C)=Cc1ccc(C=CC=CC(C=C)=Cc2ccccc2)cc1'), min:(-99999, '')
[0.2161567211151123] Updated in round 18! max:(0.5714285714285714, 'C=CC=CC(C=C)=Cc1ccc(C=CC=CC(C=C)=Cc2ccccc2)cc1'), min:(-99999, '')
[0.21834969520568848] Updated in round 19! max:(0.5714285714285714, 'C=CC=CC(C=C)=Cc1ccc(C=CC=CC(C=C)=Cc2ccccc2)cc1'), min:(-99999, '')
[0.22048735618591309] Updated in round 20! max:(0.5714285714285714, 'C=CC=CC(C=C)=Cc1ccc(C=CC=CC(C=C)=Cc2ccccc2)cc1'), min:(-99999, '')
[0.22344613075256348] Updated in round 21! max:(0.6071428571428571, 'C=CC(C=CC=Cc1ccc(C=c2ccc(=C)cc2)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.28041839599609375] Updated in round 22! max:(0.6071428571428571, 'C=CC(C=CC=Cc1ccc(C=c2ccc(=C)cc2)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.28276848793029785] Updated in round 23! max:(0.6071428571428571, 'C=CC(C=CC=Cc1ccc(C=c2ccc(=C)cc2)cc1)=Cc1ccccc1'), min:(-99999, '')
[0.2856931686401367] Updated in round 24! max:(0.6428571428571429, 'C=CC(C=CC=Cc1ccc(C=c2ccc(=C)cc2)cc1)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.35077500343322754] Updated in round 25! max:(0.6428571428571429, 'C=CC(C=CC=Cc1ccc(C=c2ccc(=C)cc2)cc1)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.3533036708831787] Updated in round 26! max:(0.6428571428571429, 'C=CC(C=CC=Cc1ccc(C=c2ccc(=C)cc2)cc1)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.35575294494628906] Updated in round 27! max:(0.6428571428571429, 'C=CC(C=CC=Cc1ccc(C=c2ccc(=C)cc2)cc1)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.3581807613372803] Updated in round 28! max:(0.6428571428571429, 'C=CC(C=CC=Cc1ccc(C=c2ccc(=C)cc2)cc1)=Cc1ccc(C=C)cc1'), min:(-99999, '')
