[5.5789947509765625e-05]Start running EvoMol from [H][H]...
[0.0005319118499755859] Updated in round 1! max:(0.03571428571428571, 'C=C'), min:(-99999, '')
[0.001239776611328125] Updated in round 2! max:(0.07142857142857142, 'C=CC=C'), min:(-99999, '')
[0.00298309326171875] Updated in round 3! max:(0.10714285714285714, 'C=CC=CC=C'), min:(-99999, '')
[0.0056095123291015625] Updated in round 4! max:(0.14285714285714285, 'c1ccccc1'), min:(-99999, '')
[0.00955653190612793] Updated in round 5! max:(0.17857142857142858, 'C=Cc1ccccc1'), min:(-99999, '')
[0.012366771697998047] Updated in round 6! max:(0.21428571428571427, 'C=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.016224384307861328] Updated in round 7! max:(0.25, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.022815465927124023] Updated in round 8! max:(0.2857142857142857, 'C=CC=Cc1ccc(C=CC=C)cc1'), min:(-99999, '')
[0.030935287475585938] Updated in round 9! max:(0.32142857142857145, 'C=CC=Cc1ccc(C=C(C=C)C=C)cc1'), min:(-99999, '')
[0.04106783866882324] Updated in round 10! max:(0.35714285714285715, 'C=CC(C=C)=Cc1ccc(C=C(C=C)C=C)cc1'), min:(-99999, '')
[0.05370330810546875] Updated in round 11! max:(0.39285714285714285, 'C=CC=CC(C=C)=Cc1ccc(C=C(C=C)C=C)cc1'), min:(-99999, '')
[0.07067394256591797] Updated in round 12! max:(0.42857142857142855, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=C)cc2)cc1'), min:(-99999, '')
[0.08771872520446777] Updated in round 13! max:(0.4642857142857143, 'C=CC=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.10971236228942871] Updated in round 14! max:(0.4642857142857143, 'C=CC=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.11232590675354004] Updated in round 15! max:(0.5, 'C=CC=CC=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.14136886596679688] Updated in round 16! max:(0.5357142857142857, 'C=CC=C(C=C)C=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.17479276657104492] Updated in round 17! max:(0.5357142857142857, 'C=CC=C(C=C)C=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.1769883632659912] Updated in round 18! max:(0.5357142857142857, 'C=CC=C(C=C)C=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.17906451225280762] Updated in round 19! max:(0.5357142857142857, 'C=CC=C(C=C)C=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.1810321807861328] Updated in round 20! max:(0.5357142857142857, 'C=CC=C(C=C)C=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.1838538646697998] Updated in round 21! max:(0.5714285714285714, 'C=CC=CC=C(C=C)C=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.2256312370300293] Updated in round 22! max:(0.5714285714285714, 'C=CC=CC=C(C=C)C=c1ccc(=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.22838044166564941] Updated in round 23! max:(0.6071428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.271381139755249] Updated in round 24! max:(0.6428571428571429, 'C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3240940570831299] Updated in round 25! max:(0.6428571428571429, 'C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.32659292221069336] Updated in round 26! max:(0.6428571428571429, 'C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3290584087371826] Updated in round 27! max:(0.6428571428571429, 'C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3315401077270508] Updated in round 28! max:(0.6428571428571429, 'C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.3340270519256592] Updated in round 29! max:(0.6428571428571429, 'C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.33733487129211426] Updated in round 30! max:(0.6785714285714286, 'C=CC=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4006998538970947] Updated in round 31! max:(0.6785714285714286, 'C=CC=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4034888744354248] Updated in round 32! max:(0.6785714285714286, 'C=CC=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.40694189071655273] Updated in round 33! max:(0.6785714285714286, 'C=CC=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.41118669509887695] Updated in round 34! max:(0.7142857142857143, 'C=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.47585129737854004] Updated in round 35! max:(0.7142857142857143, 'C=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.4791221618652344] Updated in round 36! max:(0.7142857142857143, 'C=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.48203492164611816] Updated in round 37! max:(0.7142857142857143, 'C=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.48490333557128906] Updated in round 38! max:(0.7142857142857143, 'C=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.487962007522583] Updated in round 39! max:(0.7142857142857143, 'C=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.4908590316772461] Updated in round 40! max:(0.7142857142857143, 'C=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.49358153343200684] Updated in round 41! max:(0.7142857142857143, 'C=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.4968831539154053] Updated in round 42! max:(0.75, 'C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5762903690338135] Updated in round 43! max:(0.75, 'C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5794131755828857] Updated in round 44! max:(0.75, 'C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5821743011474609] Updated in round 45! max:(0.75, 'C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5853481292724609] Updated in round 46! max:(0.75, 'C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5886688232421875] Updated in round 47! max:(0.75, 'C=CC=CC=c1ccc(=Cc2ccc(C=c3ccc(=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
