[5.7220458984375e-05]Start running EvoMol from [H][H]...
[0.0011491775512695312] Updated in round 1! max:(0.12903225806451613, 'c1ccccc1'), min:(-99999, '')
[0.005552530288696289] Updated in round 2! max:(0.16129032258064516, 'C#Cc1ccccc1'), min:(-99999, '')
[0.009068965911865234] Updated in round 3! max:(0.1935483870967742, 'C#Cc1ccc(C#C)cc1'), min:(-99999, '')
[0.013307571411132812] Updated in round 4! max:(0.3225806451612903, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.023308992385864258] Updated in round 5! max:(0.3548387096774194, 'C#Cc1ccc(C#Cc2ccc(C#C)cc2)cc1'), min:(-99999, '')
[0.03381037712097168] Updated in round 6! max:(0.3548387096774194, 'C#Cc1ccc(C#Cc2ccc(C#C)cc2)cc1'), min:(-99999, '')
[0.035511016845703125] Updated in round 7! max:(0.4838709677419355, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.05749368667602539] Updated in round 8! max:(0.4838709677419355, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.05924558639526367] Updated in round 9! max:(0.4838709677419355, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.06133532524108887] Updated in round 10! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.09045910835266113] Updated in round 11! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.09259629249572754] Updated in round 12! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.09463930130004883] Updated in round 13! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.09699320793151855] Updated in round 14! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.10036206245422363] Updated in round 15! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.13688302040100098] Updated in round 16! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.1391613483428955] Updated in round 17! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.1415398120880127] Updated in round 18! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.1437516212463379] Updated in round 19! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.14653944969177246] Updated in round 20! max:(0.5806451612903226, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.18543171882629395] Updated in round 21! max:(0.5806451612903226, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.18775010108947754] Updated in round 22! max:(0.5806451612903226, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CC=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.1906449794769287] Updated in round 23! max:(0.7096774193548387, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
