[5.626678466796875e-05]Start running EvoMol from [H][H]...
[0.0008516311645507812] Updated in round 1! max:(0.03225806451612903, 'C=C'), min:(-99999, '')
[0.0017979145050048828] Updated in round 2! max:(0.06451612903225806, 'C=CC=C'), min:(-99999, '')
[0.004357576370239258] Updated in round 3! max:(0.0967741935483871, 'C=CC=CC=C'), min:(-99999, '')
[0.006635189056396484] Updated in round 4! max:(0.12903225806451613, 'C#CC=CC=CC=C'), min:(-99999, '')
[0.008882522583007812] Updated in round 5! max:(0.16129032258064516, 'C#CC=CC=C(C#C)C=C'), min:(-99999, '')
[0.011515140533447266] Updated in round 6! max:(0.1935483870967742, 'C#Cc1ccc(C#C)cc1'), min:(-99999, '')
[0.014146089553833008] Updated in round 7! max:(0.22580645161290322, 'C#Cc1ccc(C#CC=C)cc1'), min:(-99999, '')
[0.01813960075378418] Updated in round 8! max:(0.25806451612903225, 'C=CC#Cc1ccc(C#CC=C)cc1'), min:(-99999, '')
[0.02256488800048828] Updated in round 9! max:(0.25806451612903225, 'C=CC#Cc1ccc(C#CC=C)cc1'), min:(-99999, '')
[0.02788066864013672] Updated in round 10! max:(0.2903225806451613, 'C=CC#Cc1ccc(C#CC=CC=C)cc1'), min:(-99999, '')
[0.034340858459472656] Updated in round 11! max:(0.2903225806451613, 'C=CC#Cc1ccc(C#CC=CC=C)cc1'), min:(-99999, '')
[0.03625154495239258] Updated in round 12! max:(0.3225806451612903, 'C=CC=CC#Cc1ccc(C#CC(=C)C=C)cc1'), min:(-99999, '')
[0.04513430595397949] Updated in round 13! max:(0.3548387096774194, 'C=CC=CC#Cc1ccc(C#CC(C=C)=CC=C)cc1'), min:(-99999, '')
[0.05722999572753906] Updated in round 14! max:(0.3870967741935484, 'C=CC=CC#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.06964731216430664] Updated in round 15! max:(0.3870967741935484, 'C=CC=CC#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.07155752182006836] Updated in round 16! max:(0.41935483870967744, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.08882594108581543] Updated in round 17! max:(0.45161290322580644, 'C#Cc1ccc(C#Cc2ccc(C#CC=CC=CC=C)cc2)cc1'), min:(-99999, '')
[0.10728335380554199] Updated in round 18! max:(0.45161290322580644, 'C#Cc1ccc(C#Cc2ccc(C#CC=CC=CC=C)cc2)cc1'), min:(-99999, '')
[0.10913801193237305] Updated in round 19! max:(0.45161290322580644, 'C#Cc1ccc(C#Cc2ccc(C#CC=CC=CC=C)cc2)cc1'), min:(-99999, '')
[0.11103677749633789] Updated in round 20! max:(0.45161290322580644, 'C#Cc1ccc(C#Cc2ccc(C#CC=CC=CC=C)cc2)cc1'), min:(-99999, '')
[0.1128385066986084] Updated in round 21! max:(0.45161290322580644, 'C#Cc1ccc(C#Cc2ccc(C#CC=CC=CC=C)cc2)cc1'), min:(-99999, '')
[0.11524271965026855] Updated in round 22! max:(0.4838709677419355, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.1316676139831543] Updated in round 23! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.15336942672729492] Updated in round 24! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.15565228462219238] Updated in round 25! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.15770578384399414] Updated in round 26! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.15987372398376465] Updated in round 27! max:(0.5161290322580645, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.1633009910583496] Updated in round 28! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.19156169891357422] Updated in round 29! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.19388461112976074] Updated in round 30! max:(0.5483870967741935, 'C=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.19666409492492676] Updated in round 31! max:(0.5806451612903226, 'C=CC=CC=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.23304104804992676] Updated in round 32! max:(0.6129032258064516, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.26366543769836426] Updated in round 33! max:(0.6129032258064516, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.26577258110046387] Updated in round 34! max:(0.6129032258064516, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.26817989349365234] Updated in round 35! max:(0.6451612903225806, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.30059289932250977] Updated in round 36! max:(0.6451612903225806, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.30343055725097656] Updated in round 37! max:(0.6774193548387096, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.3474252223968506] Updated in round 38! max:(0.6774193548387096, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.35062599182128906] Updated in round 39! max:(0.6774193548387096, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.3539111614227295] Updated in round 40! max:(0.6774193548387096, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.35719966888427734] Updated in round 41! max:(0.6774193548387096, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.36058664321899414] Updated in round 42! max:(0.7096774193548387, 'C=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.4115731716156006] Updated in round 43! max:(0.7096774193548387, 'C=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.417313814163208] Updated in round 44! max:(0.7419354838709677, 'C=CC=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.48037219047546387] Updated in round 45! max:(0.7419354838709677, 'C=CC=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.48418211936950684] Updated in round 46! max:(0.7419354838709677, 'C=CC=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.4890012741088867] Updated in round 47! max:(0.7741935483870968, 'C#CC(=C)C=CC(=C)C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5550103187561035] Updated in round 48! max:(0.8064516129032258, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6150481700897217] Updated in round 49! max:(0.8064516129032258, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6185154914855957] Updated in round 50! max:(0.8064516129032258, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6234323978424072] Updated in round 51! max:(0.8387096774193549, 'C=CC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.703991174697876] Updated in round 52! max:(0.8709677419354839, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.7866628170013428] Updated in round 53! max:(0.8709677419354839, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.7911972999572754] Updated in round 54! max:(0.9032258064516129, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8855185508728027] Updated in round 55! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9980661869049072] Updated in round 56! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0020174980163574] Updated in round 57! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0057413578033447] Updated in round 58! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0105228424072266] Updated in round 59! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.015014886856079] Updated in round 60! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0192008018493652] Updated in round 61! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0228924751281738] Updated in round 62! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.026787519454956] Updated in round 63! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.031388521194458] Updated in round 64! max:(0.9354838709677419, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#CC(=C)C=CC=C)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.0365469455718994] Updated in round 65! max:(0.967741935483871, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#Cc6ccccc6)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.135880708694458] Updated in round 66! max:(0.967741935483871, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#Cc6ccccc6)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.1383023262023926] Reproduced in round 67!!
