[0.009192466735839844]Start running EvoMol from [H][H]...
[0.0100250244140625] Updated in round 1! max:(0.03225806451612903, 'C=C'), min:(-99999, '')
[0.010919570922851562] Updated in round 2! max:(0.06451612903225806, 'C=CC=C'), min:(-99999, '')
[0.013387203216552734] Updated in round 3! max:(0.0967741935483871, 'C=CC=CC=C'), min:(-99999, '')
[0.01597881317138672] Updated in round 4! max:(0.12903225806451613, 'c1ccccc1'), min:(-99999, '')
[0.01930403709411621] Updated in round 5! max:(0.16129032258064516, 'C#Cc1ccccc1'), min:(-99999, '')
[0.02120828628540039] Updated in round 6! max:(0.16129032258064516, 'C#Cc1ccccc1'), min:(-99999, '')
[0.024343252182006836] Updated in round 7! max:(0.1935483870967742, 'C=CC#Cc1ccccc1'), min:(-99999, '')
[0.027490854263305664] Updated in round 8! max:(0.22580645161290322, 'C#Cc1ccc(C#CC=C)cc1'), min:(-99999, '')
[0.03161191940307617] Updated in round 9! max:(0.25806451612903225, 'C=CC#Cc1ccc(C#CC=C)cc1'), min:(-99999, '')
[0.03626370429992676] Updated in round 10! max:(0.2903225806451613, 'C=CC#Cc1ccc(C#CC(=C)C=C)cc1'), min:(-99999, '')
[0.04207634925842285] Updated in round 11! max:(0.3225806451612903, 'C=CC(=C)C#Cc1ccc(C#CC(=C)C=C)cc1'), min:(-99999, '')
[0.04976701736450195] Updated in round 12! max:(0.3548387096774194, 'C=CC=CC(=C)C#Cc1ccc(C#CC(=C)C=C)cc1'), min:(-99999, '')
[0.060141801834106445] Updated in round 13! max:(0.3870967741935484, 'C=CC(=C)C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.07095861434936523] Updated in round 14! max:(0.3870967741935484, 'C=CC(=C)C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.07288169860839844] Updated in round 15! max:(0.41935483870967744, 'C=CC=C(C#Cc1ccc(C#Cc2ccccc2)cc1)C=C'), min:(-99999, '')
[0.08805036544799805] Updated in round 16! max:(0.41935483870967744, 'C=CC=C(C#Cc1ccc(C#Cc2ccccc2)cc1)C=C'), min:(-99999, '')
[0.09024357795715332] Updated in round 17! max:(0.45161290322580644, 'C#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.10649752616882324] Updated in round 18! max:(0.45161290322580644, 'C#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.10868477821350098] Updated in round 19! max:(0.4838709677419355, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=C)cc2)cc1'), min:(-99999, '')
[0.12842965126037598] Updated in round 20! max:(0.5161290322580645, 'C#CC=CC=C(C#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1)C=C'), min:(-99999, '')
[0.151625394821167] Updated in round 21! max:(0.5483870967741935, 'C#CC=CC=C(C#Cc1ccc(C#Cc2ccc(C#CC=CC=C)cc2)cc1)C=C'), min:(-99999, '')
[0.18150115013122559] Updated in round 22! max:(0.5806451612903226, 'C#CC=CC=CC#Cc1ccc(C#Cc2ccc(C#CC(C=C)=CC=CC#C)cc2)cc1'), min:(-99999, '')
