[7.200241088867188e-05]Start running EvoMol from [H][H]...
[0.038125038146972656] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.07696151733398438] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.14133358001708984] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.15647315979003906] Updated in round 4! max:(0.10810810810810811, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.3721940517425537] Updated in round 5! max:(0.13513513513513514, 'C=CC=CC=CC=CC=C'), min:(-99999, '')
[0.405026912689209] Updated in round 6! max:(0.16216216216216217, 'C=CC=CC=CC(C=C)=CC=C'), min:(-99999, '')
[0.4148688316345215] Updated in round 7! max:(0.1891891891891892, 'C=CC=c1ccc(=CC=C)cc1'), min:(-99999, '')
[0.4691145420074463] Updated in round 8! max:(0.21621621621621623, 'C=CC=CC=c1ccc(=CC=C)cc1'), min:(-99999, '')
[0.4831507205963135] Updated in round 9! max:(0.24324324324324326, 'C=CC=CC=c1ccc(=CC=CC=C)cc1'), min:(-99999, '')
[0.5713307857513428] Updated in round 10! max:(0.2702702702702703, 'C=CC=CC=CC=c1ccc(=CC=CC=C)cc1'), min:(-99999, '')
[0.595339298248291] Updated in round 11! max:(0.2972972972972973, 'C=CC=CC=c1ccc(=CC=CC=CC(=C)C=C)cc1'), min:(-99999, '')
[0.6214771270751953] Updated in round 12! max:(0.32432432432432434, 'C=CC=CC=c1ccc(=CC=CC=CC(=C)C(=C)C=C)cc1'), min:(-99999, '')
[0.7064101696014404] Updated in round 13! max:(0.35135135135135137, 'C=CC=C(C=C)C=c1ccc(=CC=CC=CC(=C)C(=C)C=C)cc1'), min:(-99999, '')
[0.7409682273864746] Updated in round 14! max:(0.35135135135135137, 'C=CC=C(C=C)C=c1ccc(=CC=CC=CC(=C)C(=C)C=C)cc1'), min:(-99999, '')
[0.7475781440734863] Updated in round 15! max:(0.3783783783783784, 'C=CC=C(C=C)C=c1ccc(=CC=CC=CC(=C)C(=C)C=C)c(C=C)c1'), min:(-99999, '')
[0.7866144180297852] Updated in round 16! max:(0.40540540540540543, 'C=CC=C(C=C)C=c1ccc(=CC=CC=CC(=C)C(C=C)=CC=C)c(C=C)c1'), min:(-99999, '')
[0.8332703113555908] Updated in round 17! max:(0.40540540540540543, 'C=CC=C(C=C)C=c1ccc(=CC=CC=CC(=C)C(C=C)=CC=C)c(C=C)c1'), min:(-99999, '')
[0.8370859622955322] Updated in round 18! max:(0.43243243243243246, 'C=CC=C(C=C)C(=C)C=CC=CC=c1ccc(=CC(=CC=C)C(=C)C=C)cc1C=C'), min:(-99999, '')
[0.8910274505615234] Updated in round 19! max:(0.43243243243243246, 'C=CC=C(C=C)C(=C)C=CC=CC=c1ccc(=CC(=CC=C)C(=C)C=C)cc1C=C'), min:(-99999, '')
[0.8955626487731934] Updated in round 20! max:(0.4594594594594595, 'C=CC=C(C=c1ccc2cccccc(=C)c(C=C)cccccc2c1)C(=C)C=C'), min:(-99999, '')
[0.9568145275115967] Updated in round 21! max:(0.4594594594594595, 'C=CC=C(C=c1ccc2cccccc(=C)c(C=C)cccccc2c1)C(=C)C=C'), min:(-99999, '')
[0.9610598087310791] Updated in round 22! max:(0.4594594594594595, 'C=CC=C(C=c1ccc2cccccc(=C)c(C=C)cccccc2c1)C(=C)C=C'), min:(-99999, '')
[0.9659450054168701] Updated in round 23! max:(0.4594594594594595, 'C=CC=C(C=c1ccc2cccccc(=C)c(C=C)cccccc2c1)C(=C)C=C'), min:(-99999, '')
[0.9703037738800049] Updated in round 24! max:(0.4594594594594595, 'C=CC=C(C=c1ccc2cccccc(=C)c(C=C)cccccc2c1)C(=C)C=C'), min:(-99999, '')
[0.9740016460418701] Updated in round 25! max:(0.4594594594594595, 'C=CC=C(C=c1ccc2cccccc(=C)c(C=C)cccccc2c1)C(=C)C=C'), min:(-99999, '')
[0.9787063598632812] Updated in round 26! max:(0.4864864864864865, 'C=CC=C(C=c1ccc2cccc3cc(=C)c(C=C)cc3cccc2c1)C(=C)C=C'), min:(-99999, '')
[1.0350744724273682] Updated in round 27! max:(0.4864864864864865, 'C=CC=C(C=c1ccc2cccc3cc(=C)c(C=C)cc3cccc2c1)C(=C)C=C'), min:(-99999, '')
[1.0391261577606201] Updated in round 28! max:(0.4864864864864865, 'C=CC=C(C=c1ccc2cccc3cc(=C)c(C=C)cc3cccc2c1)C(=C)C=C'), min:(-99999, '')
[1.0434377193450928] Updated in round 29! max:(0.5135135135135135, 'C=CC=C(C=c1ccc2cc3cc4cc(=C)c(C=C)cc4cc3cc2c1)C(=C)C=C'), min:(-99999, '')
[1.0947093963623047] Updated in round 30! max:(0.5135135135135135, 'C=CC=C(C=c1ccc2cc3cc4cc(=C)c(C=C)cc4cc3cc2c1)C(=C)C=C'), min:(-99999, '')
[1.0986568927764893] Updated in round 31! max:(0.5135135135135135, 'C=CC=C(C=c1ccc2cc3cc4cc(=C)c(C=C)cc4cc3cc2c1)C(=C)C=C'), min:(-99999, '')
[1.1020398139953613] Updated in round 32! max:(0.5135135135135135, 'C=CC=C(C=c1ccc2cc3cc4cc(=C)c(C=C)cc4cc3cc2c1)C(=C)C=C'), min:(-99999, '')
[1.1053721904754639] Updated in round 33! max:(0.5135135135135135, 'C=CC=C(C=c1ccc2cc3cc4cc(=C)c(C=C)cc4cc3cc2c1)C(=C)C=C'), min:(-99999, '')
[1.109910488128662] Updated in round 34! max:(0.5405405405405406, 'C=CC=CC=C(C=c1ccc2cc3cc4cc(=C)c(C=C)cc4cc3cc2c1)C(=C)C=C'), min:(-99999, '')
[1.1746044158935547] Updated in round 35! max:(0.5675675675675675, 'C=CC=CC=C(C=c1ccc2cc3cc4cc(=CC=C)c(C=C)cc4cc3cc2c1)C(=C)C=C'), min:(-99999, '')
[1.2535004615783691] Updated in round 36! max:(0.5945945945945946, 'C=CC=CC=c1cc2cc3cc4cc5cc(C=C)c(=CC=C)cc5cc4cc3cc2cc1C=C'), min:(-99999, '')
