[5.602836608886719e-05]Start running EvoMol from [H][H]...
[0.01225900650024414] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.012981414794921875] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.014891624450683594] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.05231523513793945] Updated in round 4! max:(0.10810810810810811, 'C=CC=CC(=C)C=C'), min:(-99999, '')
[0.05566143989562988] Updated in round 5! max:(0.13513513513513514, 'C=CC=CC=CC(=C)C=C'), min:(-99999, '')
[0.05970954895019531] Updated in round 6! max:(0.16216216216216217, 'C=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.0637974739074707] Updated in round 7! max:(0.1891891891891892, 'C=CC=c1ccc(=C)c(C=C)c1'), min:(-99999, '')
[0.06881332397460938] Updated in round 8! max:(0.1891891891891892, 'C=CC=c1ccc(=C)c(C=C)c1'), min:(-99999, '')
[0.0705711841583252] Updated in round 9! max:(0.21621621621621623, 'C=CC(=C)C=c1ccc(=C)c(C=C)c1'), min:(-99999, '')
[0.0768887996673584] Updated in round 10! max:(0.21621621621621623, 'C=CC(=C)C=c1ccc(=C)c(C=C)c1'), min:(-99999, '')
[0.07882523536682129] Updated in round 11! max:(0.24324324324324326, 'C=CC=Cc1cc(=CC(=C)C=C)ccc1=C'), min:(-99999, '')
[0.1471118927001953] Updated in round 12! max:(0.24324324324324326, 'C=CC=Cc1cc(=CC(=C)C=C)ccc1=C'), min:(-99999, '')
[0.14969134330749512] Updated in round 13! max:(0.2702702702702703, 'C=CC=Cc1cc(=CC(C=C)=CC=C)ccc1=C'), min:(-99999, '')
[0.16261625289916992] Updated in round 14! max:(0.2972972972972973, 'C=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=C'), min:(-99999, '')
[0.17759227752685547] Updated in round 15! max:(0.2972972972972973, 'C=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=C'), min:(-99999, '')
[0.18039512634277344] Updated in round 16! max:(0.32432432432432434, 'C=CC=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=C'), min:(-99999, '')
[0.20042991638183594] Updated in round 17! max:(0.32432432432432434, 'C=CC=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=C'), min:(-99999, '')
[0.20319485664367676] Updated in round 18! max:(0.32432432432432434, 'C=CC=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=C'), min:(-99999, '')
[0.20721006393432617] Updated in round 19! max:(0.35135135135135137, 'C=CC=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=CC=C'), min:(-99999, '')
[0.2324681282043457] Updated in round 20! max:(0.35135135135135137, 'C=CC=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=CC=C'), min:(-99999, '')
[0.23618125915527344] Updated in round 21! max:(0.35135135135135137, 'C=CC=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=CC=C'), min:(-99999, '')
[0.23920154571533203] Updated in round 22! max:(0.35135135135135137, 'C=CC=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=CC=C'), min:(-99999, '')
[0.24231410026550293] Updated in round 23! max:(0.35135135135135137, 'C=CC=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=CC=C'), min:(-99999, '')
[0.2454371452331543] Updated in round 24! max:(0.35135135135135137, 'C=CC=CC=Cc1cc(=CC(=CC=C)C(=C)C=C)ccc1=CC=C'), min:(-99999, '')
[0.24856138229370117] Updated in round 25! max:(0.3783783783783784, 'C=CC=CC=Cc1cc(=Cc2cc(=C)ccc2=C)ccc1=CC=C'), min:(-99999, '')
[0.27420926094055176] Updated in round 26! max:(0.3783783783783784, 'C=CC=CC=Cc1cc(=Cc2cc(=C)ccc2=C)ccc1=CC=C'), min:(-99999, '')
[0.2773749828338623] Updated in round 27! max:(0.3783783783783784, 'C=CC=CC=Cc1cc(=Cc2cc(=C)ccc2=C)ccc1=CC=C'), min:(-99999, '')
[0.28093910217285156] Updated in round 28! max:(0.40540540540540543, 'C=CC=CC=Cc1cc(=Cc2cc(=C)ccc2=C)ccc1=CC=CC=C'), min:(-99999, '')
[0.3137948513031006] Updated in round 29! max:(0.40540540540540543, 'C=CC=CC=Cc1cc(=Cc2cc(=C)ccc2=C)ccc1=CC=CC=C'), min:(-99999, '')
[0.3179614543914795] Updated in round 30! max:(0.40540540540540543, 'C=CC=CC=Cc1cc(=Cc2cc(=C)ccc2=C)ccc1=CC=CC=C'), min:(-99999, '')
[0.321244478225708] Updated in round 31! max:(0.40540540540540543, 'C=CC=CC=Cc1cc(=Cc2cc(=C)ccc2=C)ccc1=CC=CC=C'), min:(-99999, '')
[0.32505321502685547] Updated in round 32! max:(0.43243243243243246, 'C=CC=CC=Cc1cc(=Cc2cc(=CC=C)ccc2=C)ccc1=CC=CC=C'), min:(-99999, '')
[0.366624116897583] Updated in round 33! max:(0.43243243243243246, 'C=CC=CC=Cc1cc(=Cc2cc(=CC=C)ccc2=C)ccc1=CC=CC=C'), min:(-99999, '')
[0.37081336975097656] Updated in round 34! max:(0.43243243243243246, 'C=CC=CC=Cc1cc(=Cc2cc(=CC=C)ccc2=C)ccc1=CC=CC=C'), min:(-99999, '')
[0.37531113624572754] Updated in round 35! max:(0.4594594594594595, 'C=CC=CC=CC=c1ccc(=Cc2cc(=CC=C)ccc2=C)cc1C=CC=CC=C'), min:(-99999, '')
[0.42589497566223145] Updated in round 36! max:(0.4594594594594595, 'C=CC=CC=CC=c1ccc(=Cc2cc(=CC=C)ccc2=C)cc1C=CC=CC=C'), min:(-99999, '')
[0.4314992427825928] Updated in round 37! max:(0.4594594594594595, 'C=CC=CC=CC=c1ccc(=Cc2cc(=CC=C)ccc2=C)cc1C=CC=CC=C'), min:(-99999, '')
[0.4380466938018799] Updated in round 38! max:(0.4594594594594595, 'C=CC=CC=CC=c1ccc(=Cc2cc(=CC=C)ccc2=C)cc1C=CC=CC=C'), min:(-99999, '')
[0.4432220458984375] Updated in round 39! max:(0.4594594594594595, 'C=CC=CC=CC=c1ccc(=Cc2cc(=CC=C)ccc2=C)cc1C=CC=CC=C'), min:(-99999, '')
[0.4497854709625244] Updated in round 40! max:(0.4594594594594595, 'C=CC=CC=CC=c1ccc(=Cc2cc(=CC=C)ccc2=C)cc1C=CC=CC=C'), min:(-99999, '')
[0.4541506767272949] Updated in round 41! max:(0.4594594594594595, 'C=CC=CC=CC=c1ccc(=Cc2cc(=CC=C)ccc2=C)cc1C=CC=CC=C'), min:(-99999, '')
[0.4611663818359375] Updated in round 42! max:(0.4864864864864865, 'C=CC=c1ccc(=C)c(C=c2ccc3cccccc(=C)ccccccc3c2)c1'), min:(-99999, '')
[0.5129842758178711] Updated in round 43! max:(0.4864864864864865, 'C=CC=c1ccc(=C)c(C=c2ccc3cccccc(=C)ccccccc3c2)c1'), min:(-99999, '')
[0.5166172981262207] Updated in round 44! max:(0.5135135135135135, 'C=CC=c1ccc(=C)c(C=c2ccc3cccccc(=C)c(C=C)cccccc3c2)c1'), min:(-99999, '')
[0.5752696990966797] Updated in round 45! max:(0.5135135135135135, 'C=CC=c1ccc(=C)c(C=c2ccc3cccccc(=C)c(C=C)cccccc3c2)c1'), min:(-99999, '')
[0.5783786773681641] Updated in round 46! max:(0.5135135135135135, 'C=CC=c1ccc(=C)c(C=c2ccc3cccccc(=C)c(C=C)cccccc3c2)c1'), min:(-99999, '')
[0.5830056667327881] Updated in round 47! max:(0.5135135135135135, 'C=CC=c1ccc(=C)c(C=c2ccc3cccccc(=C)c(C=C)cccccc3c2)c1'), min:(-99999, '')
[0.5878450870513916] Updated in round 48! max:(0.5405405405405406, 'C=CC=c1ccc(=C)c(C=c2ccc3cc4cccc(=C)c(C=C)cccc4cc3c2)c1'), min:(-99999, '')
[0.6427180767059326] Updated in round 49! max:(0.5405405405405406, 'C=CC=c1ccc(=C)c(C=c2ccc3cc4cccc(=C)c(C=C)cccc4cc3c2)c1'), min:(-99999, '')
[0.6466784477233887] Updated in round 50! max:(0.5405405405405406, 'C=CC=c1ccc(=C)c(C=c2ccc3cc4cccc(=C)c(C=C)cccc4cc3c2)c1'), min:(-99999, '')
[0.6499087810516357] Updated in round 51! max:(0.5405405405405406, 'C=CC=c1ccc(=C)c(C=c2ccc3cc4cccc(=C)c(C=C)cccc4cc3c2)c1'), min:(-99999, '')
[0.6535742282867432] Updated in round 52! max:(0.5405405405405406, 'C=CC=c1ccc(=C)c(C=c2ccc3cc4cccc(=C)c(C=C)cccc4cc3c2)c1'), min:(-99999, '')
[0.6573562622070312] Updated in round 53! max:(0.5675675675675675, 'C=CC(=C)C=c1ccc(=C)c(C=c2ccc3cc4cccc(=C)c(C=C)cccc4cc3c2)c1'), min:(-99999, '')
[0.7208402156829834] Updated in round 54! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.7821636199951172] Updated in round 55! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.7860474586486816] Updated in round 56! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.7897365093231201] Updated in round 57! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.7933359146118164] Updated in round 58! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.7970349788665771] Updated in round 59! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.8008425235748291] Updated in round 60! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.8051671981811523] Updated in round 61! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.8085336685180664] Updated in round 62! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.8125245571136475] Updated in round 63! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.8161704540252686] Updated in round 64! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.8198287487030029] Updated in round 65! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.8232076168060303] Updated in round 66! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.8268172740936279] Updated in round 67! max:(0.5945945945945946, 'C=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.8309731483459473] Updated in round 68! max:(0.6216216216216216, 'C=CC=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.9060051441192627] Updated in round 69! max:(0.6216216216216216, 'C=CC=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=C'), min:(-99999, '')
[0.9123015403747559] Updated in round 70! max:(0.6486486486486487, 'C=CC=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=CC=C'), min:(-99999, '')
[1.003225326538086] Updated in round 71! max:(0.6486486486486487, 'C=CC=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=CC=C'), min:(-99999, '')
[1.008319616317749] Updated in round 72! max:(0.6486486486486487, 'C=CC=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=CC=C'), min:(-99999, '')
[1.0128452777862549] Updated in round 73! max:(0.6486486486486487, 'C=CC=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=CC=C'), min:(-99999, '')
[1.0187504291534424] Updated in round 74! max:(0.6486486486486487, 'C=CC=Cc1cccc2cc3cc(=Cc4cc5cc(=C)ccc5cc4=C)ccc3cc2cccc1=CC=C'), min:(-99999, '')
[1.023775339126587] Updated in round 75! max:(0.6756756756756757, 'C=CC=Cc1cc2cc3cc4cc(=Cc5cc6cc(=C)ccc6cc5=C)ccc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.107642412185669] Updated in round 76! max:(0.7027027027027027, 'C=CC=CC=Cc1cc2cc3cc4cc(=Cc5cc6cc(=C)ccc6cc5=C)ccc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.2048780918121338] Updated in round 77! max:(0.7027027027027027, 'C=CC=CC=Cc1cc2cc3cc4cc(=Cc5cc6cc(=C)ccc6cc5=C)ccc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.2103567123413086] Updated in round 78! max:(0.7027027027027027, 'C=CC=CC=Cc1cc2cc3cc4cc(=Cc5cc6cc(=C)ccc6cc5=C)ccc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.2163586616516113] Updated in round 79! max:(0.7027027027027027, 'C=CC=CC=Cc1cc2cc3cc4cc(=Cc5cc6cc(=C)ccc6cc5=C)ccc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.2218363285064697] Updated in round 80! max:(0.7027027027027027, 'C=CC=CC=Cc1cc2cc3cc4cc(=Cc5cc6cc(=C)ccc6cc5=C)ccc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.2277600765228271] Updated in round 81! max:(0.7027027027027027, 'C=CC=CC=Cc1cc2cc3cc4cc(=Cc5cc6cc(=C)ccc6cc5=C)ccc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.2330904006958008] Updated in round 82! max:(0.7027027027027027, 'C=CC=CC=Cc1cc2cc3cc4cc(=Cc5cc6cc(=C)ccc6cc5=C)ccc4cc3cc2cc1=CC=C'), min:(-99999, '')
[1.2399005889892578] Updated in round 83! max:(0.7297297297297297, 'C=c1ccccc2cc3cc4cc5cc(=Cc6cc7cc(=C)ccc7cc6=C)ccc5cc4cc3cc2ccc1'), min:(-99999, '')
[1.3465144634246826] Updated in round 84! max:(0.7567567567567568, 'C=CC=c1ccc2cc(=C)c(C=c3ccc4cc5cc6cc7cccc(=C)ccccc7cc6cc5cc4c3)cc2c1'), min:(-99999, '')
[1.4703054428100586] Updated in round 85! max:(0.7837837837837838, 'C=CC=CC=c1ccc2cc(=C)c(C=c3ccc4cc5cc6cc7cccc(=C)ccccc7cc6cc5cc4c3)cc2c1'), min:(-99999, '')
[1.6139402389526367] Updated in round 86! max:(0.7837837837837838, 'C=CC=CC=c1ccc2cc(=C)c(C=c3ccc4cc5cc6cc7cccc(=C)ccccc7cc6cc5cc4c3)cc2c1'), min:(-99999, '')
[1.6225676536560059] Updated in round 87! max:(0.7837837837837838, 'C=CC=CC=c1ccc2cc(=C)c(C=c3ccc4cc5cc6cc7cccc(=C)ccccc7cc6cc5cc4c3)cc2c1'), min:(-99999, '')
[1.6324102878570557] Updated in round 88! max:(0.7837837837837838, 'C=CC=CC=c1ccc2cc(=C)c(C=c3ccc4cc5cc6cc7cccc(=C)ccccc7cc6cc5cc4c3)cc2c1'), min:(-99999, '')
[1.643005609512329] Updated in round 89! max:(0.7837837837837838, 'C=CC=CC=c1ccc2cc(=C)c(C=c3ccc4cc5cc6cc7cccc(=C)ccccc7cc6cc5cc4c3)cc2c1'), min:(-99999, '')
[1.6525728702545166] Updated in round 90! max:(0.7837837837837838, 'C=CC=CC=c1ccc2cc(=C)c(C=c3ccc4cc5cc6cc7cccc(=C)ccccc7cc6cc5cc4c3)cc2c1'), min:(-99999, '')
[1.6615056991577148] Updated in round 91! max:(0.7837837837837838, 'C=CC=CC=c1ccc2cc(=C)c(C=c3ccc4cc5cc6cc7cccc(=C)ccccc7cc6cc5cc4c3)cc2c1'), min:(-99999, '')
