[6.079673767089844e-05]Start running EvoMol from [H][H]...
[0.001312255859375] Updated in round 1! max:(0.10810810810810811, 'c1ccccc1'), min:(-99999, '')
[0.006411075592041016] Updated in round 2! max:(0.21621621621621623, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.017158985137939453] Updated in round 3! max:(0.32432432432432434, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.03891253471374512] Updated in round 4! max:(0.3783783783783784, 'c1ccc(-c2ccc3c(ccc4ccccc43)c2)cc1'), min:(-99999, '')
[0.06319117546081543] Updated in round 5! max:(0.43243243243243246, 'c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12'), min:(-99999, '')
[0.0908668041229248] Updated in round 6! max:(0.43243243243243246, 'c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12'), min:(-99999, '')
[0.09327960014343262] Updated in round 7! max:(0.43243243243243246, 'c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12'), min:(-99999, '')
[0.09615063667297363] Updated in round 8! max:(0.43243243243243246, 'c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12'), min:(-99999, '')
[0.09973406791687012] Updated in round 9! max:(0.5405405405405406, 'c1ccc(-c2ccc3c(ccc4cc5c(ccc6ccccc65)cc43)c2)cc1'), min:(-99999, '')
[0.1522977352142334] Updated in round 10! max:(0.5405405405405406, 'c1ccc(-c2ccc3c(ccc4cc5c(ccc6ccccc65)cc43)c2)cc1'), min:(-99999, '')
[0.15595149993896484] Updated in round 11! max:(0.5405405405405406, 'c1ccc(-c2ccc3c(ccc4cc5c(ccc6ccccc65)cc43)c2)cc1'), min:(-99999, '')
[0.15897059440612793] Updated in round 12! max:(0.5405405405405406, 'c1ccc(-c2ccc3c(ccc4cc5c(ccc6ccccc65)cc43)c2)cc1'), min:(-99999, '')
[0.1626901626586914] Updated in round 13! max:(0.5405405405405406, 'c1ccc(-c2ccc3c(ccc4cc5c(ccc6ccccc65)cc43)c2)cc1'), min:(-99999, '')
[0.16633987426757812] Updated in round 14! max:(0.5405405405405406, 'c1ccc(-c2ccc3c(ccc4cc5c(ccc6ccccc65)cc43)c2)cc1'), min:(-99999, '')
