[6.461143493652344e-05]Start running EvoMol from [H][H]...
[0.0017654895782470703] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.002454042434692383] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.0044481754302978516] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.0071523189544677734] Updated in round 4! max:(0.10810810810810811, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.011248350143432617] Updated in round 5! max:(0.13513513513513514, 'C=c1ccccc1=C'), min:(-99999, '')
[0.014414787292480469] Updated in round 6! max:(0.16216216216216217, 'C=Cc1ccc(=C)c(=C)c1'), min:(-99999, '')
[0.01847076416015625] Updated in round 7! max:(0.1891891891891892, 'C=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.023285627365112305] Updated in round 8! max:(0.21621621621621623, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.029802560806274414] Updated in round 9! max:(0.21621621621621623, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.0313720703125] Updated in round 10! max:(0.21621621621621623, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.03288578987121582] Updated in round 11! max:(0.21621621621621623, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.035384178161621094] Updated in round 12! max:(0.24324324324324326, 'C=Cc1ccc2c(=C)c(=C)ccc2c1'), min:(-99999, '')
[0.0429074764251709] Updated in round 13! max:(0.2702702702702703, 'C=CC=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.05261635780334473] Updated in round 14! max:(0.2972972972972973, 'C=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.06453895568847656] Updated in round 15! max:(0.32432432432432434, 'C=CC=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.08023190498352051] Updated in round 16! max:(0.35135135135135137, 'C=CC(=C)C=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.0988459587097168] Updated in round 17! max:(0.35135135135135137, 'C=CC(=C)C=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.1014559268951416] Updated in round 18! max:(0.35135135135135137, 'C=CC(=C)C=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.10426974296569824] Updated in round 19! max:(0.35135135135135137, 'C=CC(=C)C=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.10824799537658691] Updated in round 20! max:(0.3783783783783784, 'C=CC(=C)C=C(C=C)C(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.13108062744140625] Updated in round 21! max:(0.40540540540540543, 'C=CC(=C)C=C(C=C)c1ccc2c(ccc3cc(C=C)ccc32)c1'), min:(-99999, '')
[0.15472674369812012] Updated in round 22! max:(0.40540540540540543, 'C=CC(=C)C=C(C=C)c1ccc2c(ccc3cc(C=C)ccc32)c1'), min:(-99999, '')
[0.1578519344329834] Updated in round 23! max:(0.43243243243243246, 'C=Cc1cccc(-c2ccc3c(ccc4cc(C=C)ccc43)c2)c1'), min:(-99999, '')
[0.18422865867614746] Updated in round 24! max:(0.4594594594594595, 'C=Cc1cccc(-c2ccc3c(ccc4cc(C=C)c(C=C)cc43)c2)c1'), min:(-99999, '')
[0.2151322364807129] Updated in round 25! max:(0.4864864864864865, 'C=Cc1cccc(-c2ccc3c(ccc4cc5ccccc5cc43)c2)c1'), min:(-99999, '')
[0.24943971633911133] Updated in round 26! max:(0.5135135135135135, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)cccc5cc43)c2)c1'), min:(-99999, '')
[0.28829121589660645] Updated in round 27! max:(0.5135135135135135, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)cccc5cc43)c2)c1'), min:(-99999, '')
[0.291642427444458] Updated in round 28! max:(0.5135135135135135, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)cccc5cc43)c2)c1'), min:(-99999, '')
[0.2956876754760742] Updated in round 29! max:(0.5135135135135135, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)cccc5cc43)c2)c1'), min:(-99999, '')
[0.30007219314575195] Updated in round 30! max:(0.5135135135135135, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)cccc5cc43)c2)c1'), min:(-99999, '')
[0.3047184944152832] Updated in round 31! max:(0.5405405405405406, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)c(C=C)ccc5cc43)c2)c1'), min:(-99999, '')
[0.3487706184387207] Updated in round 32! max:(0.5405405405405406, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)c(C=C)ccc5cc43)c2)c1'), min:(-99999, '')
[0.3527064323425293] Updated in round 33! max:(0.5405405405405406, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)c(C=C)ccc5cc43)c2)c1'), min:(-99999, '')
[0.3567166328430176] Updated in round 34! max:(0.5405405405405406, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)c(C=C)ccc5cc43)c2)c1'), min:(-99999, '')
[0.3603789806365967] Updated in round 35! max:(0.5405405405405406, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)c(C=C)ccc5cc43)c2)c1'), min:(-99999, '')
[0.36445021629333496] Updated in round 36! max:(0.5405405405405406, 'C=Cc1cccc(-c2ccc3c(ccc4cc5c(C=C)c(C=C)ccc5cc43)c2)c1'), min:(-99999, '')
[0.3693239688873291] Updated in round 37! max:(0.5675675675675675, 'C=CC=Cc1ccc2cc3c(ccc4cc(-c5cccc(C=C)c5)ccc43)cc2c1C=C'), min:(-99999, '')
[0.42611026763916016] Updated in round 38! max:(0.5675675675675675, 'C=CC=Cc1ccc2cc3c(ccc4cc(-c5cccc(C=C)c5)ccc43)cc2c1C=C'), min:(-99999, '')
[0.4318406581878662] Updated in round 39! max:(0.5945945945945946, 'C=CC=Cc1ccc2cc3c(ccc4cc(-c5cc(C=C)ccc5C=C)ccc43)cc2c1C=C'), min:(-99999, '')
[0.49714088439941406] Updated in round 40! max:(0.5945945945945946, 'C=CC=Cc1ccc2cc3c(ccc4cc(-c5cc(C=C)ccc5C=C)ccc43)cc2c1C=C'), min:(-99999, '')
[0.5018534660339355] Updated in round 41! max:(0.5945945945945946, 'C=CC=Cc1ccc2cc3c(ccc4cc(-c5cc(C=C)ccc5C=C)ccc43)cc2c1C=C'), min:(-99999, '')
[0.5069422721862793] Updated in round 42! max:(0.5945945945945946, 'C=CC=Cc1ccc2cc3c(ccc4cc(-c5cc(C=C)ccc5C=C)ccc43)cc2c1C=C'), min:(-99999, '')
[0.5120761394500732] Updated in round 43! max:(0.5945945945945946, 'C=CC=Cc1ccc2cc3c(ccc4cc(-c5cc(C=C)ccc5C=C)ccc43)cc2c1C=C'), min:(-99999, '')
[0.5183374881744385] Updated in round 44! max:(0.6216216216216216, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc(-c5cc(C=C)ccc5C=C)ccc43)cc2c1C=C'), min:(-99999, '')
[0.5967636108398438] Updated in round 45! max:(0.6216216216216216, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc(-c5cc(C=C)ccc5C=C)ccc43)cc2c1C=C'), min:(-99999, '')
[0.6036086082458496] Updated in round 46! max:(0.6216216216216216, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc(-c5cc(C=C)ccc5C=C)ccc43)cc2c1C=C'), min:(-99999, '')
[0.6102192401885986] Updated in round 47! max:(0.6216216216216216, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc(-c5cc(C=C)ccc5C=C)ccc43)cc2c1C=C'), min:(-99999, '')
[0.6183032989501953] Updated in round 48! max:(0.6486486486486487, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6ccc(C=C)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[0.7046988010406494] Updated in round 49! max:(0.6756756756756757, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(C=C)c(C=C)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[0.799187421798706] Updated in round 50! max:(0.6756756756756757, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(C=C)c(C=C)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[0.8064532279968262] Updated in round 51! max:(0.6756756756756757, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(C=C)c(C=C)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[0.8154056072235107] Updated in round 52! max:(0.7027027027027027, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(C=C)c(C=CC=C)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[0.9286935329437256] Updated in round 53! max:(0.7027027027027027, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(C=C)c(C=CC=C)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[0.9359033107757568] Updated in round 54! max:(0.7027027027027027, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(C=C)c(C=CC=C)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[0.9433653354644775] Updated in round 55! max:(0.7027027027027027, 'C=CC=CC=Cc1ccc2cc3c(ccc4cc5c(ccc6cc(C=C)c(C=CC=C)cc65)cc43)cc2c1C=C'), min:(-99999, '')
[0.9522218704223633] Updated in round 56! max:(0.7297297297297297, 'C=CC=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7ccccccccc76)cc54)cc32)cc1C=C'), min:(-99999, '')
[1.0708329677581787] Updated in round 57! max:(0.7297297297297297, 'C=CC=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7ccccccccc76)cc54)cc32)cc1C=C'), min:(-99999, '')
[1.0791537761688232] Updated in round 58! max:(0.7297297297297297, 'C=CC=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7ccccccccc76)cc54)cc32)cc1C=C'), min:(-99999, '')
[1.0871827602386475] Updated in round 59! max:(0.7297297297297297, 'C=CC=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7ccccccccc76)cc54)cc32)cc1C=C'), min:(-99999, '')
[1.096508264541626] Updated in round 60! max:(0.7297297297297297, 'C=CC=Cc1cc2c(ccc3cc4c(ccc5cc6c(ccc7ccccccccc76)cc54)cc32)cc1C=C'), min:(-99999, '')
[1.1071350574493408] Updated in round 61! max:(0.7567567567567568, 'C=CC=Cc1cc2ccc3cc4c(ccc5cc6c(ccc7ccccccccc76)cc54)cc3c2cc1C=CC=C'), min:(-99999, '')
[1.256840705871582] Updated in round 62! max:(0.7567567567567568, 'C=CC=Cc1cc2ccc3cc4c(ccc5cc6c(ccc7ccccccccc76)cc54)cc3c2cc1C=CC=C'), min:(-99999, '')
[1.265923261642456] Updated in round 63! max:(0.7567567567567568, 'C=CC=Cc1cc2ccc3cc4c(ccc5cc6c(ccc7ccccccccc76)cc54)cc3c2cc1C=CC=C'), min:(-99999, '')
