[0.05580949783325195]Start running EvoMol from [H][H]...
[0.057004690170288086] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.057767391204833984] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.05969595909118652] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.06258749961853027] Updated in round 4! max:(0.10810810810810811, 'c1ccccc1'), min:(-99999, '')
[0.0673666000366211] Updated in round 5! max:(0.13513513513513514, 'C=Cc1ccccc1'), min:(-99999, '')
[0.07071924209594727] Updated in round 6! max:(0.16216216216216217, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.07520771026611328] Updated in round 7! max:(0.1891891891891892, 'C=Cc1ccc(C=C)c(C=C)c1'), min:(-99999, '')
[0.08083367347717285] Updated in round 8! max:(0.21621621621621623, 'C=Cc1ccc2ccccc2c1'), min:(-99999, '')
[0.08665847778320312] Updated in round 9! max:(0.24324324324324326, 'C=Cc1ccc2cc(C=C)ccc2c1'), min:(-99999, '')
[0.09395813941955566] Updated in round 10! max:(0.24324324324324326, 'C=Cc1ccc2cc(C=C)ccc2c1'), min:(-99999, '')
[0.09724688529968262] Updated in round 11! max:(0.2702702702702703, 'C=Cc1ccc2cc(C=C)c(C=C)cc2c1'), min:(-99999, '')
[0.10623407363891602] Updated in round 12! max:(0.2702702702702703, 'C=Cc1ccc2cc(C=C)c(C=C)cc2c1'), min:(-99999, '')
[0.10844898223876953] Updated in round 13! max:(0.2972972972972973, 'C=Cc1cc2ccc(C=C)c(C=C)c2cc1C=C'), min:(-99999, '')
[0.11970806121826172] Updated in round 14! max:(0.32432432432432434, 'C=CC=Cc1c(C=C)ccc2cc(C=C)c(C=C)cc12'), min:(-99999, '')
[0.13504648208618164] Updated in round 15! max:(0.32432432432432434, 'C=CC=Cc1c(C=C)ccc2cc(C=C)c(C=C)cc12'), min:(-99999, '')
[0.13776612281799316] Updated in round 16! max:(0.35135135135135137, 'C=CC=Cc1c(C=C)ccc2cc(C(=C)C=C)c(C=C)cc12'), min:(-99999, '')
[0.15695476531982422] Updated in round 17! max:(0.3783783783783784, 'C=CC=CC(=C)c1cc2ccc(C=C)c(C=CC=C)c2cc1C=C'), min:(-99999, '')
[0.18144559860229492] Updated in round 18! max:(0.40540540540540543, 'C=CC=Cc1c(C=C)ccc2cc(-c3ccccc3)c(C=C)cc12'), min:(-99999, '')
[0.20684218406677246] Updated in round 19! max:(0.40540540540540543, 'C=CC=Cc1c(C=C)ccc2cc(-c3ccccc3)c(C=C)cc12'), min:(-99999, '')
[0.20929265022277832] Updated in round 20! max:(0.40540540540540543, 'C=CC=Cc1c(C=C)ccc2cc(-c3ccccc3)c(C=C)cc12'), min:(-99999, '')
[0.21196675300598145] Updated in round 21! max:(0.40540540540540543, 'C=CC=Cc1c(C=C)ccc2cc(-c3ccccc3)c(C=C)cc12'), min:(-99999, '')
[0.21546173095703125] Updated in round 22! max:(0.43243243243243246, 'C=CC=CC=Cc1c(C=C)ccc2cc(-c3ccccc3)c(C=C)cc12'), min:(-99999, '')
[0.24847698211669922] Updated in round 23! max:(0.4594594594594595, 'C=CC=CC=Cc1c(C=CC=C)ccc2cc(-c3ccccc3)c(C=C)cc12'), min:(-99999, '')
[0.29030394554138184] Updated in round 24! max:(0.4864864864864865, 'C=CC=Cc1cc2c(ccc3cc(-c4ccccc4)c(C=C)cc32)cc1C=C'), min:(-99999, '')
[0.3381803035736084] Updated in round 25! max:(0.4864864864864865, 'C=CC=Cc1cc2c(ccc3cc(-c4ccccc4)c(C=C)cc32)cc1C=C'), min:(-99999, '')
[0.3463599681854248] Updated in round 26! max:(0.5135135135135135, 'C=CC=Cc1cc2ccc3cc(-c4ccccc4)c(C=C)cc3c2cc1C=CC=C'), min:(-99999, '')
[0.39513087272644043] Updated in round 27! max:(0.5135135135135135, 'C=CC=Cc1cc2ccc3cc(-c4ccccc4)c(C=C)cc3c2cc1C=CC=C'), min:(-99999, '')
[0.39917945861816406] Updated in round 28! max:(0.5135135135135135, 'C=CC=Cc1cc2ccc3cc(-c4ccccc4)c(C=C)cc3c2cc1C=CC=C'), min:(-99999, '')
[0.4035794734954834] Updated in round 29! max:(0.5135135135135135, 'C=CC=Cc1cc2ccc3cc(-c4ccccc4)c(C=C)cc3c2cc1C=CC=C'), min:(-99999, '')
[0.4084932804107666] Updated in round 30! max:(0.5405405405405406, 'C=CC=CC=Cc1cc2c(ccc3cc(-c4ccccc4)c(C=C)cc32)cc1C=CC=C'), min:(-99999, '')
[0.469588041305542] Updated in round 31! max:(0.5405405405405406, 'C=CC=CC=Cc1cc2c(ccc3cc(-c4ccccc4)c(C=C)cc32)cc1C=CC=C'), min:(-99999, '')
