[6.628036499023438e-05]Start running EvoMol from [H][H]...
[0.012422323226928711] Updated in round 1! max:(0.10810810810810811, 'c1ccccc1'), min:(-99999, '')
[0.017995834350585938] Updated in round 2! max:(0.21621621621621623, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.03016829490661621] Updated in round 3! max:(0.32432432432432434, 'c1ccc(-c2ccccc2-c2ccccc2)cc1'), min:(-99999, '')
[0.05186939239501953] Updated in round 4! max:(0.35135135135135137, 'C=Cc1ccccc1-c1ccccc1-c1ccccc1'), min:(-99999, '')
[0.07763266563415527] Updated in round 5! max:(0.43243243243243246, 'C=Cc1c(-c2ccccc2-c2ccccc2)ccc2ccccc12'), min:(-99999, '')
[0.11583352088928223] Updated in round 6! max:(0.43243243243243246, 'C=Cc1c(-c2ccccc2-c2ccccc2)ccc2ccccc12'), min:(-99999, '')
[0.11952686309814453] Updated in round 7! max:(0.5405405405405406, 'C=Cc1c(-c2ccccc2-c2ccccc2-c2ccccc2)ccc2ccccc12'), min:(-99999, '')
[0.1823427677154541] Updated in round 8! max:(0.5405405405405406, 'C=Cc1c(-c2ccccc2-c2ccccc2-c2ccccc2)ccc2ccccc12'), min:(-99999, '')
[0.18836212158203125] Updated in round 9! max:(0.5675675675675675, 'C=Cc1cccc(-c2ccccc2)c1-c1ccccc1-c1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.2595040798187256] Updated in round 10! max:(0.5675675675675675, 'C=Cc1cccc(-c2ccccc2)c1-c1ccccc1-c1ccc2ccccc2c1C=C'), min:(-99999, '')
[0.2637019157409668] Updated in round 11! max:(0.6756756756756757, 'C=Cc1cccc(-c2ccccc2)c1-c1ccccc1-c1ccc2cccc(-c3ccccc3)c2c1C=C'), min:(-99999, '')
[0.37709569931030273] Updated in round 12! max:(0.6756756756756757, 'C=Cc1cccc(-c2ccccc2)c1-c1ccccc1-c1ccc2cccc(-c3ccccc3)c2c1C=C'), min:(-99999, '')
[0.38463354110717773] Updated in round 13! max:(0.6756756756756757, 'C=Cc1cccc(-c2ccccc2)c1-c1ccccc1-c1ccc2cccc(-c3ccccc3)c2c1C=C'), min:(-99999, '')
[0.39008665084838867] Updated in round 14! max:(0.7027027027027027, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4cccc(-c5ccccc5)c43)c12'), min:(-99999, '')
[0.5014045238494873] Updated in round 15! max:(0.7027027027027027, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4cccc(-c5ccccc5)c43)c12'), min:(-99999, '')
[0.506624698638916] Updated in round 16! max:(0.7027027027027027, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4cccc(-c5ccccc5)c43)c12'), min:(-99999, '')
[0.5142314434051514] Updated in round 17! max:(0.7027027027027027, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4cccc(-c5ccccc5)c43)c12'), min:(-99999, '')
[0.5199124813079834] Updated in round 18! max:(0.7027027027027027, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4cccc(-c5ccccc5)c43)c12'), min:(-99999, '')
[0.5263152122497559] Updated in round 19! max:(0.7027027027027027, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4cccc(-c5ccccc5)c43)c12'), min:(-99999, '')
[0.5330111980438232] Updated in round 20! max:(0.7567567567567568, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4ccc5ccc6ccccc6c5c43)c12'), min:(-99999, '')
[0.6559462547302246] Updated in round 21! max:(0.7567567567567568, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4ccc5ccc6ccccc6c5c43)c12'), min:(-99999, '')
[0.663074254989624] Updated in round 22! max:(0.8378378378378378, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4ccc5ccc6ccc7ccccc7c6c5c43)c12'), min:(-99999, '')
[0.8212084770202637] Updated in round 23! max:(0.8378378378378378, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4ccc5ccc6ccc7ccccc7c6c5c43)c12'), min:(-99999, '')
[0.8292686939239502] Updated in round 24! max:(0.8378378378378378, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4ccc5ccc6ccc7ccccc7c6c5c43)c12'), min:(-99999, '')
[0.8360342979431152] Updated in round 25! max:(0.8378378378378378, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4ccc5ccc6ccc7ccccc7c6c5c43)c12'), min:(-99999, '')
[0.8449187278747559] Updated in round 26! max:(0.8378378378378378, 'C=Cc1cccc(-c2ccccc2)c1-c1cccc2ccc3c(ccc4ccc5ccc6ccc7ccccc7c6c5c43)c12'), min:(-99999, '')
[0.8561410903930664] Updated in round 27! max:(0.8648648648648649, 'C=Cc1ccc2ccc3ccc4ccc5ccc6c(ccc7cccc(-c8c(C=C)cccc8-c8ccccc8)c76)c5c4c3c2c1'), min:(-99999, '')
[1.0392451286315918] Updated in round 28! max:(0.918918918918919, 'C=Cc1ccc2ccc3ccc4ccc5ccc6c(ccc7cccc(-c8c(C=C)ccc9ccc%10ccccc%10c89)c76)c5c4c3c2c1'), min:(-99999, '')
[1.228236198425293] Updated in round 29! max:(0.918918918918919, 'C=Cc1ccc2ccc3ccc4ccc5ccc6c(ccc7cccc(-c8c(C=C)ccc9ccc%10ccccc%10c89)c76)c5c4c3c2c1'), min:(-99999, '')
[1.2406258583068848] Updated in round 30! max:(0.918918918918919, 'C=Cc1ccc2ccc3ccc4ccc5ccc6c(ccc7cccc(-c8c(C=C)ccc9ccc%10ccccc%10c89)c76)c5c4c3c2c1'), min:(-99999, '')
[1.256281852722168] Updated in round 31! max:(0.918918918918919, 'C=Cc1ccc2ccc3ccc4ccc5ccc6c(ccc7cccc(-c8c(C=C)ccc9ccc%10ccccc%10c89)c76)c5c4c3c2c1'), min:(-99999, '')
[1.2797141075134277] Updated in round 32! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.4990386962890625] Updated in round 33! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.5096070766448975] Updated in round 34! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.5176424980163574] Updated in round 35! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.5286986827850342] Updated in round 36! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.5469577312469482] Updated in round 37! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.5612773895263672] Updated in round 38! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.5748322010040283] Updated in round 39! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.588444709777832] Updated in round 40! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6008973121643066] Updated in round 41! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6106505393981934] Updated in round 42! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6198036670684814] Updated in round 43! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6324431896209717] Updated in round 44! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6416664123535156] Updated in round 45! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6514458656311035] Updated in round 46! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6624667644500732] Updated in round 47! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6775779724121094] Updated in round 48! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6827425956726074] Updated in round 49! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.6903753280639648] Updated in round 50! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.7032675743103027] Updated in round 51! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.716174840927124] Updated in round 52! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.7247302532196045] Updated in round 53! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.7426300048828125] Updated in round 54! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
[1.7512385845184326] Updated in round 55! max:(0.9459459459459459, 'C=Cc1ccc2ccc3ccc4cc3c2c1c1cccc2ccc3c(ccc5ccc6ccc7ccc8ccc(C=C)c4c8c7c6c53)c21'), min:(-99999, '')
